,instrument,granularity,time,stringTime,volume,bidOpen,bidHigh,bidLow,bidClose,midOpen,midHigh,midLow,midClose,askOpen,askHigh,askLow,askClose,ao,bull_signal_ao,bear_signal_ao
0,AUDCHF,D1,2002-09-20,2002-09-20T00:00:00,140,0.8143,0.8193,0.8121,0.8138,0.8143,0.8193,0.8121,0.8138,0.8143,0.8193,0.8121,0.8138,,False,False
1,AUDCHF,D1,2002-09-23,2002-09-23T00:00:00,169,0.8144,0.8178,0.8091,0.8138,0.8144,0.8178,0.8091,0.8138,0.8144,0.8178,0.8091,0.8138,,False,False
2,AUDCHF,D1,2002-09-24,2002-09-24T00:00:00,114,0.8139,0.8155,0.8081,0.8104,0.8139,0.8155,0.8081,0.8104,0.8139,0.8155,0.8081,0.8104,,False,False
3,AUDCHF,D1,2002-09-25,2002-09-25T00:00:00,104,0.8101,0.8192,0.8097,0.8188,0.8101,0.8192,0.8097,0.8188,0.8101,0.8192,0.8097,0.8188,,False,False
4,AUDCHF,D1,2002-09-26,2002-09-26T00:00:00,223,0.8189,0.821,0.8095,0.8181,0.8189,0.821,0.8095,0.8181,0.8189,0.821,0.8095,0.8181,,False,False
5,AUDCHF,D1,2002-09-27,2002-09-27T00:00:00,147,0.8182,0.8216,0.8113,0.8122,0.8182,0.8216,0.8113,0.8122,0.8182,0.8216,0.8113,0.8122,,False,False
6,AUDCHF,D1,2002-09-30,2002-09-30T00:00:00,162,0.8108,0.8125,0.7992,0.8003,0.8108,0.8125,0.7992,0.8003,0.8108,0.8125,0.7992,0.8003,,False,False
7,AUDCHF,D1,2002-10-01,2002-10-01T00:00:00,189,0.8001,0.8111,0.7962,0.8111,0.8001,0.8111,0.7962,0.8111,0.8001,0.8111,0.7962,0.8111,,False,False
8,AUDCHF,D1,2002-10-02,2002-10-02T00:00:00,128,0.8114,0.8132,0.8031,0.8039,0.8114,0.8132,0.8031,0.8039,0.8114,0.8132,0.8031,0.8039,,False,False
9,AUDCHF,D1,2002-10-03,2002-10-03T00:00:00,125,0.8041,0.8091,0.801,0.8079,0.8041,0.8091,0.801,0.8079,0.8041,0.8091,0.801,0.8079,,False,False
10,AUDCHF,D1,2002-10-04,2002-10-04T00:00:00,135,0.8078,0.8173,0.8062,0.8166,0.8078,0.8173,0.8062,0.8166,0.8078,0.8173,0.8062,0.8166,,False,False
11,AUDCHF,D1,2002-10-07,2002-10-07T00:00:00,86,0.8155,0.821,0.8152,0.8186,0.8155,0.821,0.8152,0.8186,0.8155,0.821,0.8152,0.8186,,False,False
12,AUDCHF,D1,2002-10-08,2002-10-08T00:00:00,127,0.8187,0.8227,0.8161,0.8181,0.8187,0.8227,0.8161,0.8181,0.8187,0.8227,0.8161,0.8181,,False,False
13,AUDCHF,D1,2002-10-09,2002-10-09T00:00:00,161,0.8182,0.8219,0.8103,0.811,0.8182,0.8219,0.8103,0.811,0.8182,0.8219,0.8103,0.811,,False,False
14,AUDCHF,D1,2002-10-10,2002-10-10T00:00:00,123,0.8111,0.815,0.8077,0.8135,0.8111,0.815,0.8077,0.8135,0.8111,0.815,0.8077,0.8135,,False,False
15,AUDCHF,D1,2002-10-11,2002-10-11T00:00:00,104,0.8136,0.8164,0.8106,0.8149,0.8136,0.8164,0.8106,0.8149,0.8136,0.8164,0.8106,0.8149,,False,False
16,AUDCHF,D1,2002-10-14,2002-10-14T00:00:00,129,0.811,0.8133,0.8063,0.8098,0.811,0.8133,0.8063,0.8098,0.811,0.8133,0.8063,0.8098,,False,False
17,AUDCHF,D1,2002-10-15,2002-10-15T00:00:00,206,0.8099,0.8205,0.8066,0.8172,0.8099,0.8205,0.8066,0.8172,0.8099,0.8205,0.8066,0.8172,,False,False
18,AUDCHF,D1,2002-10-16,2002-10-16T00:00:00,79,0.8173,0.8213,0.8159,0.8203,0.8173,0.8213,0.8159,0.8203,0.8173,0.8213,0.8159,0.8203,,False,False
19,AUDCHF,D1,2002-10-17,2002-10-17T00:00:00,154,0.8202,0.8336,0.8196,0.8329,0.8202,0.8336,0.8196,0.8329,0.8202,0.8336,0.8196,0.8329,,False,False
20,AUDCHF,D1,2002-10-18,2002-10-18T00:00:00,100,0.8327,0.8347,0.8296,0.8324,0.8327,0.8347,0.8296,0.8324,0.8327,0.8347,0.8296,0.8324,,False,False
21,AUDCHF,D1,2002-10-21,2002-10-21T00:00:00,100,0.8317,0.8387,0.8309,0.8374,0.8317,0.8387,0.8309,0.8374,0.8317,0.8387,0.8309,0.8374,,False,False
22,AUDCHF,D1,2002-10-22,2002-10-22T00:00:00,220,0.8372,0.8418,0.8276,0.8307,0.8372,0.8418,0.8276,0.8307,0.8372,0.8418,0.8276,0.8307,,False,False
23,AUDCHF,D1,2002-10-23,2002-10-23T00:00:00,95,0.8308,0.8332,0.8276,0.8326,0.8308,0.8332,0.8276,0.8326,0.8308,0.8332,0.8276,0.8326,,False,False
24,AUDCHF,D1,2002-10-24,2002-10-24T00:00:00,138,0.8327,0.8382,0.831,0.832,0.8327,0.8382,0.831,0.832,0.8327,0.8382,0.831,0.832,,False,False
25,AUDCHF,D1,2002-10-25,2002-10-25T00:00:00,66,0.8322,0.8354,0.8306,0.8353,0.8322,0.8354,0.8306,0.8353,0.8322,0.8354,0.8306,0.8353,,False,False
26,AUDCHF,D1,2002-10-28,2002-10-28T00:00:00,157,0.8355,0.8397,0.8301,0.8319,0.8355,0.8397,0.8301,0.8319,0.8355,0.8397,0.8301,0.8319,,False,False
27,AUDCHF,D1,2002-10-29,2002-10-29T00:00:00,154,0.8318,0.8345,0.8259,0.8299,0.8318,0.8345,0.8259,0.8299,0.8318,0.8345,0.8259,0.8299,,False,False
28,AUDCHF,D1,2002-10-30,2002-10-30T00:00:00,139,0.8298,0.8314,0.8212,0.8232,0.8298,0.8314,0.8212,0.8232,0.8298,0.8314,0.8212,0.8232,,False,False
29,AUDCHF,D1,2002-10-31,2002-10-31T00:00:00,83,0.8229,0.8238,0.8177,0.8189,0.8229,0.8238,0.8177,0.8189,0.8229,0.8238,0.8177,0.8189,,False,False
30,AUDCHF,D1,2002-11-01,2002-11-01T00:00:00,145,0.8191,0.8224,0.8143,0.8209,0.8191,0.8224,0.8143,0.8209,0.8191,0.8224,0.8143,0.8209,,False,False
31,AUDCHF,D1,2002-11-04,2002-11-04T00:00:00,129,0.8212,0.828,0.8206,0.8232,0.8212,0.828,0.8206,0.8232,0.8212,0.828,0.8206,0.8232,,False,False
32,AUDCHF,D1,2002-11-05,2002-11-05T00:00:00,83,0.8231,0.8233,0.8182,0.8211,0.8231,0.8233,0.8182,0.8211,0.8231,0.8233,0.8182,0.8211,,False,False
