,instrument,granularity,time,stringTime,volume,bidOpen,bidHigh,bidLow,bidClose,midOpen,midHigh,midLow,midClose,askOpen,askHigh,askLow,askClose,ao,bull_signal_ao,bear_signal_ao
0,AUDCHF,H1,2021-07-06 16:00:00,2021-07-06T16:00:00,10179,0.69874,0.69878,0.69641,0.69643,0.69874,0.69878,0.69641,0.69643,0.69874,0.69878,0.69641,0.69643,,False,False
1,AUDCHF,H1,2021-07-06 17:00:00,2021-07-06T17:00:00,15992,0.69643,0.69656,0.69253,0.6928,0.69643,0.69656,0.69253,0.6928,0.69643,0.69656,0.69253,0.6928,,False,False
2,AUDCHF,H1,2021-07-06 18:00:00,2021-07-06T18:00:00,9001,0.69281,0.6934,0.69227,0.69299,0.69281,0.6934,0.69227,0.69299,0.69281,0.6934,0.69227,0.69299,,False,False
3,AUDCHF,H1,2021-07-06 19:00:00,2021-07-06T19:00:00,5819,0.693,0.69304,0.69189,0.6923,0.693,0.69304,0.69189,0.6923,0.693,0.69304,0.69189,0.6923,,False,False
4,AUDCHF,H1,2021-07-06 20:00:00,2021-07-06T20:00:00,2851,0.69231,0.69282,0.69223,0.69274,0.69231,0.69282,0.69223,0.69274,0.69231,0.69282,0.69223,0.69274,,False,False
5,AUDCHF,H1,2021-07-06 21:00:00,2021-07-06T21:00:00,2079,0.69274,0.69325,0.69235,0.69323,0.69274,0.69325,0.69235,0.69323,0.69274,0.69325,0.69235,0.69323,,False,False
6,AUDCHF,H1,2021-07-06 22:00:00,2021-07-06T22:00:00,1914,0.69324,0.69332,0.69254,0.69282,0.69324,0.69332,0.69254,0.69282,0.69324,0.69332,0.69254,0.69282,,False,False
7,AUDCHF,H1,2021-07-06 23:00:00,2021-07-06T23:00:00,976,0.69282,0.69305,0.69189,0.69243,0.69282,0.69305,0.69189,0.69243,0.69282,0.69305,0.69189,0.69243,,False,False
8,AUDCHF,H1,2021-07-07 00:00:00,2021-07-07T00:00:00,449,0.69243,0.69264,0.69166,0.69214,0.69243,0.69264,0.69166,0.69214,0.69243,0.69264,0.69166,0.69214,,False,False
9,AUDCHF,H1,2021-07-07 01:00:00,2021-07-07T01:00:00,939,0.69214,0.69301,0.69184,0.69276,0.69214,0.69301,0.69184,0.69276,0.69214,0.69301,0.69184,0.69276,,False,False
10,AUDCHF,H1,2021-07-07 02:00:00,2021-07-07T02:00:00,1593,0.69276,0.69321,0.6927,0.69297,0.69276,0.69321,0.6927,0.69297,0.69276,0.69321,0.6927,0.69297,,False,False
11,AUDCHF,H1,2021-07-07 03:00:00,2021-07-07T03:00:00,4220,0.69297,0.69301,0.69207,0.69264,0.69297,0.69301,0.69207,0.69264,0.69297,0.69301,0.69207,0.69264,,False,False
12,AUDCHF,H1,2021-07-07 04:00:00,2021-07-07T04:00:00,3119,0.69263,0.69285,0.69223,0.69233,0.69263,0.69285,0.69223,0.69233,0.69263,0.69285,0.69223,0.69233,,False,False
13,AUDCHF,H1,2021-07-07 05:00:00,2021-07-07T05:00:00,2020,0.69232,0.69236,0.69145,0.6918,0.69232,0.69236,0.69145,0.6918,0.69232,0.69236,0.69145,0.6918,,False,False
14,AUDCHF,H1,2021-07-07 06:00:00,2021-07-07T06:00:00,1043,0.69181,0.69238,0.6916,0.69204,0.69181,0.69238,0.6916,0.69204,0.69181,0.69238,0.6916,0.69204,,False,False
15,AUDCHF,H1,2021-07-07 07:00:00,2021-07-07T07:00:00,1223,0.69204,0.69257,0.69204,0.69225,0.69204,0.69257,0.69204,0.69225,0.69204,0.69257,0.69204,0.69225,,False,False
16,AUDCHF,H1,2021-07-07 08:00:00,2021-07-07T08:00:00,2292,0.69225,0.69298,0.69223,0.69289,0.69225,0.69298,0.69223,0.69289,0.69225,0.69298,0.69223,0.69289,,False,False
17,AUDCHF,H1,2021-07-07 09:00:00,2021-07-07T09:00:00,3287,0.69288,0.69353,0.69246,0.69332,0.69288,0.69353,0.69246,0.69332,0.69288,0.69353,0.69246,0.69332,,False,False
18,AUDCHF,H1,2021-07-07 10:00:00,2021-07-07T10:00:00,5601,0.69332,0.69351,0.69281,0.69311,0.69332,0.69351,0.69281,0.69311,0.69332,0.69351,0.69281,0.69311,,False,False
19,AUDCHF,H1,2021-07-07 11:00:00,2021-07-07T11:00:00,4754,0.69311,0.69341,0.69267,0.69287,0.69311,0.69341,0.69267,0.69287,0.69311,0.69341,0.69267,0.69287,,False,False
20,AUDCHF,H1,2021-07-07 12:00:00,2021-07-07T12:00:00,3727,0.69285,0.69373,0.69272,0.69363,0.69285,0.69373,0.69272,0.69363,0.69285,0.69373,0.69272,0.69363,,False,False
21,AUDCHF,H1,2021-07-07 13:00:00,2021-07-07T13:00:00,3819,0.69362,0.69434,0.69338,0.69428,0.69362,0.69434,0.69338,0.69428,0.69362,0.69434,0.69338,0.69428,,False,False
22,AUDCHF,H1,2021-07-07 14:00:00,2021-07-07T14:00:00,3175,0.69428,0.69486,0.69359,0.69478,0.69428,0.69486,0.69359,0.69478,0.69428,0.69486,0.69359,0.69478,,False,False
23,AUDCHF,H1,2021-07-07 15:00:00,2021-07-07T15:00:00,7033,0.69478,0.69509,0.69361,0.69365,0.69478,0.69509,0.69361,0.69365,0.69478,0.69509,0.69361,0.69365,,False,False
24,AUDCHF,H1,2021-07-07 16:00:00,2021-07-07T16:00:00,8113,0.69366,0.69511,0.69363,0.69406,0.69366,0.69511,0.69363,0.69406,0.69366,0.69511,0.69363,0.69406,,False,False
25,AUDCHF,H1,2021-07-07 17:00:00,2021-07-07T17:00:00,11641,0.69406,0.69416,0.69142,0.69187,0.69406,0.69416,0.69142,0.69187,0.69406,0.69416,0.69142,0.69187,,False,False
26,AUDCHF,H1,2021-07-07 18:00:00,2021-07-07T18:00:00,5973,0.69188,0.69283,0.69167,0.69241,0.69188,0.69283,0.69167,0.69241,0.69188,0.69283,0.69167,0.69241,,False,False
27,AUDCHF,H1,2021-07-07 19:00:00,2021-07-07T19:00:00,3119,0.69241,0.69298,0.69223,0.69293,0.69241,0.69298,0.69223,0.69293,0.69241,0.69298,0.69223,0.69293,,False,False
28,AUDCHF,H1,2021-07-07 20:00:00,2021-07-07T20:00:00,2378,0.69293,0.69296,0.69231,0.69248,0.69293,0.69296,0.69231,0.69248,0.69293,0.69296,0.69231,0.69248,,False,False
29,AUDCHF,H1,2021-07-07 21:00:00,2021-07-07T21:00:00,13442,0.69248,0.69371,0.69234,0.69244,0.69248,0.69371,0.69234,0.69244,0.69248,0.69371,0.69234,0.69244,,False,False
30,AUDCHF,H1,2021-07-07 22:00:00,2021-07-07T22:00:00,3326,0.69244,0.69255,0.69208,0.69245,0.69244,0.69255,0.69208,0.69245,0.69244,0.69255,0.69208,0.69245,,False,False
31,AUDCHF,H1,2021-07-07 23:00:00,2021-07-07T23:00:00,1219,0.69245,0.69281,0.6916,0.69246,0.69245,0.69281,0.6916,0.69246,0.69245,0.69281,0.6916,0.69246,,False,False
32,AUDCHF,H1,2021-07-08 00:00:00,2021-07-08T00:00:00,195,0.69255,0.69295,0.6917,0.69174,0.69255,0.69295,0.6917,0.69174,0.69255,0.69295,0.6917,0.69174,,False,False
33,AUDCHF,H1,2021-07-08 01:00:00,2021-07-08T01:00:00,869,0.69173,0.69291,0.69164,0.69272,0.69173,0.69291,0.69164,0.69272,0.69173,0.69291,0.69164,0.69272,-0.0005483529411766108,False,False
34,AUDCHF,H1,2021-07-08 02:00:00,2021-07-08T02:00:00,1174,0.69271,0.69274,0.69251,0.69266,0.69271,0.69274,0.69251,0.69266,0.69271,0.69274,0.69251,0.69266,-0.0004821764705883469,False,False
35,AUDCHF,H1,2021-07-08 03:00:00,2021-07-08T03:00:00,4591,0.69266,0.69271,0.69121,0.69143,0.69266,0.69271,0.69121,0.69143,0.69266,0.69271,0.69121,0.69143,-0.0004771470588235127,False,False
36,AUDCHF,H1,2021-07-08 04:00:00,2021-07-08T04:00:00,3995,0.69143,0.6915,0.69038,0.6904,0.69143,0.6915,0.69038,0.6904,0.69143,0.6915,0.69038,0.6904,-0.0006744117647060621,False,False
37,AUDCHF,H1,2021-07-08 05:00:00,2021-07-08T05:00:00,3283,0.69039,0.69086,0.69019,0.69084,0.69039,0.69086,0.69019,0.69084,0.69039,0.69086,0.69019,0.69084,-0.0009773529411765125,False,False
38,AUDCHF,H1,2021-07-08 06:00:00,2021-07-08T06:00:00,1901,0.69084,0.69097,0.69031,0.6907,0.69084,0.69097,0.69031,0.6907,0.69084,0.69097,0.69031,0.6907,-0.0012489117647058734,False,False
39,AUDCHF,H1,2021-07-08 07:00:00,2021-07-08T07:00:00,1571,0.6907,0.69101,0.69054,0.69069,0.6907,0.69101,0.69054,0.69069,0.6907,0.69101,0.69054,0.69069,-0.001559352941176373,False,False
40,AUDCHF,H1,2021-07-08 08:00:00,2021-07-08T08:00:00,3017,0.69068,0.69068,0.68945,0.68974,0.69068,0.69068,0.68945,0.68974,0.69068,0.69068,0.68945,0.68974,-0.0018540882352940935,False,False
41,AUDCHF,H1,2021-07-08 09:00:00,2021-07-08T09:00:00,5962,0.68974,0.68992,0.68776,0.68793,0.68974,0.68992,0.68776,0.68793,0.68974,0.68992,0.68776,0.68793,-0.0021673235294116244,False,False
42,AUDCHF,H1,2021-07-08 10:00:00,2021-07-08T10:00:00,10749,0.68793,0.68832,0.68423,0.68446,0.68793,0.68832,0.68423,0.68446,0.68793,0.68832,0.68423,0.68446,-0.002844529411764718,False,False
43,AUDCHF,H1,2021-07-08 11:00:00,2021-07-08T11:00:00,10559,0.68446,0.68446,0.68157,0.68246,0.68446,0.68446,0.68157,0.68246,0.68446,0.68446,0.68157,0.68246,-0.004092764705882379,False,False
44,AUDCHF,H1,2021-07-08 12:00:00,2021-07-08T12:00:00,6246,0.68246,0.68298,0.6816,0.68237,0.68246,0.68298,0.6816,0.68237,0.68246,0.68298,0.6816,0.68237,-0.005476088235294108,False,False
45,AUDCHF,H1,2021-07-08 13:00:00,2021-07-08T13:00:00,7802,0.68237,0.6824,0.68065,0.68175,0.68237,0.6824,0.68065,0.68175,0.68237,0.6824,0.68065,0.68175,-0.006860117647058739,False,False
46,AUDCHF,H1,2021-07-08 14:00:00,2021-07-08T14:00:00,6843,0.68174,0.68199,0.68056,0.6807,0.68174,0.68199,0.68056,0.6807,0.68174,0.68199,0.68056,0.6807,-0.00804179411764705,False,False
47,AUDCHF,H1,2021-07-08 15:00:00,2021-07-08T15:00:00,9759,0.6807,0.68084,0.67966,0.68036,0.6807,0.68084,0.67966,0.68036,0.6807,0.68084,0.67966,0.68036,-0.008903999999999912,False,False
48,AUDCHF,H1,2021-07-08 16:00:00,2021-07-08T16:00:00,12091,0.68036,0.68178,0.67992,0.68097,0.68036,0.68178,0.67992,0.68097,0.68036,0.68178,0.67992,0.68097,-0.00900935294117644,False,False
49,AUDCHF,H1,2021-07-08 17:00:00,2021-07-08T17:00:00,15083,0.68097,0.68126,0.6782,0.67845,0.68097,0.68126,0.6782,0.67845,0.68097,0.68126,0.6782,0.67845,-0.00915150000000009,False,False
50,AUDCHF,H1,2021-07-08 18:00:00,2021-07-08T18:00:00,8032,0.67845,0.68104,0.67809,0.6807,0.67845,0.68104,0.67809,0.6807,0.67845,0.68104,0.67809,0.6807,-0.009159970588235256,False,False
51,AUDCHF,H1,2021-07-08 19:00:00,2021-07-08T19:00:00,3067,0.6807,0.68134,0.68065,0.68126,0.6807,0.68134,0.68065,0.68126,0.6807,0.68134,0.68065,0.68126,-0.008863029411764645,False,False
52,AUDCHF,H1,2021-07-08 20:00:00,2021-07-08T20:00:00,3425,0.68126,0.68154,0.68091,0.68109,0.68126,0.68154,0.68091,0.68109,0.68126,0.68154,0.68091,0.68109,-0.00831700000000013,False,False
53,AUDCHF,H1,2021-07-08 21:00:00,2021-07-08T21:00:00,3391,0.68109,0.68113,0.67981,0.67986,0.68109,0.68113,0.67981,0.67986,0.68109,0.68113,0.67981,0.67986,-0.008023294117647128,False,False
54,AUDCHF,H1,2021-07-08 22:00:00,2021-07-08T22:00:00,5078,0.67986,0.68007,0.67946,0.67968,0.67986,0.68007,0.67946,0.67968,0.67986,0.68007,0.67946,0.67968,-0.007620411764705848,False,False
55,AUDCHF,H1,2021-07-08 23:00:00,2021-07-08T23:00:00,1428,0.67967,0.67987,0.67919,0.67937,0.67967,0.67987,0.67919,0.67937,0.67967,0.67987,0.67919,0.67937,-0.007205941176470665,False,False
56,AUDCHF,H1,2021-07-09 00:00:00,2021-07-09T00:00:00,1634,0.67937,0.67992,0.67837,0.67891,0.67937,0.67992,0.67837,0.67891,0.67937,0.67992,0.67837,0.67891,-0.007132411764706026,False,False
57,AUDCHF,H1,2021-07-09 01:00:00,2021-07-09T01:00:00,1180,0.67891,0.67992,0.67886,0.67966,0.67891,0.67992,0.67886,0.67966,0.67891,0.67992,0.67886,0.67966,-0.007059411764705925,False,False
