,instrument,granularity,time,stringTime,volume,bidOpen,bidHigh,bidLow,bidClose,midOpen,midHigh,midLow,midClose,askOpen,askHigh,askLow,askClose,ao,bull_signal_ao,bear_signal_ao
0,AUDUSD,H1,2021-07-06 16:00:00,2021-07-06T16:00:00,8512,0.75654,0.75667,0.75418,0.7544,0.75654,0.75667,0.75418,0.7544,0.75654,0.75667,0.75418,0.7544,,False,False
1,AUDUSD,H1,2021-07-06 17:00:00,2021-07-06T17:00:00,15110,0.7544,0.75468,0.74898,0.75003,0.7544,0.75468,0.74898,0.75003,0.7544,0.75468,0.74898,0.75003,,False,False
2,AUDUSD,H1,2021-07-06 18:00:00,2021-07-06T18:00:00,8466,0.75004,0.75074,0.74868,0.74974,0.75004,0.75074,0.74868,0.74974,0.75004,0.75074,0.74868,0.74974,,False,False
3,AUDUSD,H1,2021-07-06 19:00:00,2021-07-06T19:00:00,5889,0.74974,0.74975,0.74802,0.7486,0.74974,0.74975,0.74802,0.7486,0.74974,0.74975,0.74802,0.7486,,False,False
4,AUDUSD,H1,2021-07-06 20:00:00,2021-07-06T20:00:00,2606,0.7486,0.74954,0.7484,0.74949,0.7486,0.74954,0.7484,0.74949,0.7486,0.74954,0.7484,0.74949,,False,False
5,AUDUSD,H1,2021-07-06 21:00:00,2021-07-06T21:00:00,1643,0.74948,0.74985,0.74901,0.74961,0.74948,0.74985,0.74901,0.74961,0.74948,0.74985,0.74901,0.74961,,False,False
6,AUDUSD,H1,2021-07-06 22:00:00,2021-07-06T22:00:00,1363,0.74961,0.75001,0.74931,0.74935,0.74961,0.75001,0.74931,0.74935,0.74961,0.75001,0.74931,0.74935,,False,False
7,AUDUSD,H1,2021-07-06 23:00:00,2021-07-06T23:00:00,854,0.74935,0.74954,0.74913,0.7492,0.74935,0.74954,0.74913,0.7492,0.74935,0.74954,0.74913,0.7492,,False,False
8,AUDUSD,H1,2021-07-07 00:00:00,2021-07-07T00:00:00,150,0.7492,0.74938,0.74886,0.74934,0.7492,0.74938,0.74886,0.74934,0.7492,0.74938,0.74886,0.74934,,False,False
9,AUDUSD,H1,2021-07-07 01:00:00,2021-07-07T01:00:00,767,0.74936,0.74951,0.74886,0.74929,0.74936,0.74951,0.74886,0.74929,0.74936,0.74951,0.74886,0.74929,,False,False
10,AUDUSD,H1,2021-07-07 02:00:00,2021-07-07T02:00:00,1306,0.74929,0.74971,0.7492,0.74941,0.74929,0.74971,0.7492,0.74941,0.74929,0.74971,0.7492,0.74941,,False,False
11,AUDUSD,H1,2021-07-07 03:00:00,2021-07-07T03:00:00,3529,0.74941,0.74956,0.74825,0.74927,0.74941,0.74956,0.74825,0.74927,0.74941,0.74956,0.74825,0.74927,,False,False
12,AUDUSD,H1,2021-07-07 04:00:00,2021-07-07T04:00:00,2619,0.74927,0.74946,0.74866,0.74921,0.74927,0.74946,0.74866,0.74921,0.74927,0.74946,0.74866,0.74921,,False,False
13,AUDUSD,H1,2021-07-07 05:00:00,2021-07-07T05:00:00,1953,0.74921,0.74932,0.74831,0.74862,0.74921,0.74932,0.74831,0.74862,0.74921,0.74932,0.74831,0.74862,,False,False
14,AUDUSD,H1,2021-07-07 06:00:00,2021-07-07T06:00:00,1279,0.74862,0.74933,0.74839,0.74912,0.74862,0.74933,0.74839,0.74912,0.74862,0.74933,0.74839,0.74912,,False,False
15,AUDUSD,H1,2021-07-07 07:00:00,2021-07-07T07:00:00,992,0.74912,0.74978,0.74907,0.74945,0.74912,0.74978,0.74907,0.74945,0.74912,0.74978,0.74907,0.74945,,False,False
16,AUDUSD,H1,2021-07-07 08:00:00,2021-07-07T08:00:00,2028,0.74945,0.7506,0.7494,0.75044,0.74945,0.7506,0.7494,0.75044,0.74945,0.7506,0.7494,0.75044,,False,False
17,AUDUSD,H1,2021-07-07 09:00:00,2021-07-07T09:00:00,2449,0.75044,0.75084,0.74961,0.75066,0.75044,0.75084,0.74961,0.75066,0.75044,0.75084,0.74961,0.75066,,False,False
18,AUDUSD,H1,2021-07-07 10:00:00,2021-07-07T10:00:00,3708,0.75066,0.75123,0.74966,0.75089,0.75066,0.75123,0.74966,0.75089,0.75066,0.75123,0.74966,0.75089,,False,False
19,AUDUSD,H1,2021-07-07 11:00:00,2021-07-07T11:00:00,3331,0.75089,0.75153,0.74987,0.7505,0.75089,0.75153,0.74987,0.7505,0.75089,0.75153,0.74987,0.7505,,False,False
20,AUDUSD,H1,2021-07-07 12:00:00,2021-07-07T12:00:00,2567,0.7505,0.75171,0.75044,0.75166,0.7505,0.75171,0.75044,0.75166,0.7505,0.75171,0.75044,0.75166,,False,False
21,AUDUSD,H1,2021-07-07 13:00:00,2021-07-07T13:00:00,2570,0.75166,0.75174,0.75092,0.75159,0.75166,0.75174,0.75092,0.75159,0.75166,0.75174,0.75092,0.75159,,False,False
22,AUDUSD,H1,2021-07-07 14:00:00,2021-07-07T14:00:00,1966,0.75159,0.75257,0.75088,0.75231,0.75159,0.75257,0.75088,0.75231,0.75159,0.75257,0.75088,0.75231,,False,False
23,AUDUSD,H1,2021-07-07 15:00:00,2021-07-07T15:00:00,4208,0.75231,0.75334,0.75067,0.75075,0.75231,0.75334,0.75067,0.75075,0.75231,0.75334,0.75067,0.75075,,False,False
24,AUDUSD,H1,2021-07-07 16:00:00,2021-07-07T16:00:00,5912,0.75075,0.75171,0.75026,0.75066,0.75075,0.75171,0.75026,0.75066,0.75075,0.75171,0.75026,0.75066,,False,False
25,AUDUSD,H1,2021-07-07 17:00:00,2021-07-07T17:00:00,10983,0.75066,0.75076,0.74621,0.74766,0.75066,0.75076,0.74621,0.74766,0.75066,0.75076,0.74621,0.74766,,False,False
26,AUDUSD,H1,2021-07-07 18:00:00,2021-07-07T18:00:00,5125,0.74766,0.74866,0.74745,0.74839,0.74766,0.74866,0.74745,0.74839,0.74766,0.74866,0.74745,0.74839,,False,False
27,AUDUSD,H1,2021-07-07 19:00:00,2021-07-07T19:00:00,2977,0.74839,0.74877,0.74815,0.74871,0.74839,0.74877,0.74815,0.74871,0.74839,0.74877,0.74815,0.74871,,False,False
28,AUDUSD,H1,2021-07-07 20:00:00,2021-07-07T20:00:00,2120,0.7487,0.74873,0.74818,0.74842,0.7487,0.74873,0.74818,0.74842,0.7487,0.74873,0.74818,0.74842,,False,False
29,AUDUSD,H1,2021-07-07 21:00:00,2021-07-07T21:00:00,12845,0.74842,0.75065,0.748,0.74859,0.74842,0.75065,0.748,0.74859,0.74842,0.75065,0.748,0.74859,,False,False
30,AUDUSD,H1,2021-07-07 22:00:00,2021-07-07T22:00:00,3965,0.74859,0.74874,0.74777,0.74828,0.74859,0.74874,0.74777,0.74828,0.74859,0.74874,0.74777,0.74828,,False,False
31,AUDUSD,H1,2021-07-07 23:00:00,2021-07-07T23:00:00,1168,0.74828,0.74849,0.74777,0.74819,0.74828,0.74849,0.74777,0.74819,0.74828,0.74849,0.74777,0.74819,,False,False
32,AUDUSD,H1,2021-07-08 00:00:00,2021-07-08T00:00:00,182,0.74819,0.7486,0.74793,0.74815,0.74819,0.7486,0.74793,0.74815,0.74819,0.7486,0.74793,0.74815,,False,False
33,AUDUSD,H1,2021-07-08 01:00:00,2021-07-08T01:00:00,625,0.74832,0.74882,0.74817,0.74868,0.74832,0.74882,0.74817,0.74868,0.74832,0.74882,0.74817,0.74868,-0.0012261470588235124,False,False
34,AUDUSD,H1,2021-07-08 02:00:00,2021-07-08T02:00:00,1147,0.74868,0.74872,0.74821,0.74827,0.74868,0.74872,0.74821,0.74827,0.74868,0.74872,0.74821,0.74827,-0.0011934411764705777,False,False
35,AUDUSD,H1,2021-07-08 03:00:00,2021-07-08T03:00:00,4607,0.74827,0.74834,0.74657,0.74681,0.74827,0.74834,0.74657,0.74681,0.74827,0.74834,0.74657,0.74681,-0.0012247647058823974,False,False
36,AUDUSD,H1,2021-07-08 04:00:00,2021-07-08T04:00:00,3951,0.74681,0.74693,0.74555,0.74557,0.74681,0.74693,0.74555,0.74557,0.74681,0.74693,0.74555,0.74557,-0.0015007058823529595,False,False
37,AUDUSD,H1,2021-07-08 05:00:00,2021-07-08T05:00:00,3626,0.74557,0.74637,0.74542,0.74634,0.74557,0.74637,0.74542,0.74634,0.74557,0.74637,0.74542,0.74634,-0.0018867647058823378,False,False
38,AUDUSD,H1,2021-07-08 06:00:00,2021-07-08T06:00:00,2108,0.74634,0.74662,0.74585,0.74634,0.74634,0.74662,0.74585,0.74634,0.74634,0.74662,0.74585,0.74634,-0.0022583235294119097,False,False
