,instrument,granularity,time,stringTime,volume,bidOpen,bidHigh,bidLow,bidClose,midOpen,midHigh,midLow,midClose,askOpen,askHigh,askLow,askClose,ao,bull_signal_ao,bear_signal_ao
0,AUDUSD,M5,2022-03-28 03:15:00,2022-03-28T03:15:00,178,0.7518,0.75209,0.75169,0.75172,0.7518,0.75209,0.75169,0.75172,0.7518,0.75209,0.75169,0.75172,,False,False
1,AUDUSD,M5,2022-03-28 03:20:00,2022-03-28T03:20:00,99,0.75172,0.7518,0.75151,0.75151,0.75172,0.7518,0.75151,0.75151,0.75172,0.7518,0.75151,0.75151,,False,False
2,AUDUSD,M5,2022-03-28 03:25:00,2022-03-28T03:25:00,87,0.75151,0.75155,0.75133,0.75141,0.75151,0.75155,0.75133,0.75141,0.75151,0.75155,0.75133,0.75141,,False,False
3,AUDUSD,M5,2022-03-28 03:30:00,2022-03-28T03:30:00,72,0.7514,0.75146,0.7514,0.75143,0.7514,0.75146,0.7514,0.75143,0.7514,0.75146,0.7514,0.75143,,False,False
4,AUDUSD,M5,2022-03-28 03:35:00,2022-03-28T03:35:00,83,0.75143,0.75162,0.75131,0.75161,0.75143,0.75162,0.75131,0.75161,0.75143,0.75162,0.75131,0.75161,,False,False
5,AUDUSD,M5,2022-03-28 03:40:00,2022-03-28T03:40:00,73,0.75161,0.75172,0.75147,0.7517,0.75161,0.75172,0.75147,0.7517,0.75161,0.75172,0.75147,0.7517,,False,False
6,AUDUSD,M5,2022-03-28 03:45:00,2022-03-28T03:45:00,110,0.7517,0.75183,0.75145,0.7515,0.7517,0.75183,0.75145,0.7515,0.7517,0.75183,0.75145,0.7515,,False,False
7,AUDUSD,M5,2022-03-28 03:50:00,2022-03-28T03:50:00,74,0.7515,0.75171,0.7515,0.75171,0.7515,0.75171,0.7515,0.75171,0.7515,0.75171,0.7515,0.75171,,False,False
8,AUDUSD,M5,2022-03-28 03:55:00,2022-03-28T03:55:00,109,0.75171,0.7518,0.75164,0.75169,0.75171,0.7518,0.75164,0.75169,0.75171,0.7518,0.75164,0.75169,,False,False
9,AUDUSD,M5,2022-03-28 04:00:00,2022-03-28T04:00:00,196,0.75169,0.75203,0.75164,0.75195,0.75169,0.75203,0.75164,0.75195,0.75169,0.75203,0.75164,0.75195,,False,False
10,AUDUSD,M5,2022-03-28 04:05:00,2022-03-28T04:05:00,170,0.75193,0.75228,0.75188,0.75223,0.75193,0.75228,0.75188,0.75223,0.75193,0.75228,0.75188,0.75223,,False,False
11,AUDUSD,M5,2022-03-28 04:10:00,2022-03-28T04:10:00,183,0.75223,0.75235,0.75179,0.75181,0.75223,0.75235,0.75179,0.75181,0.75223,0.75235,0.75179,0.75181,,False,False
12,AUDUSD,M5,2022-03-28 04:15:00,2022-03-28T04:15:00,234,0.75181,0.75188,0.75156,0.75159,0.75181,0.75188,0.75156,0.75159,0.75181,0.75188,0.75156,0.75159,,False,False
13,AUDUSD,M5,2022-03-28 04:20:00,2022-03-28T04:20:00,258,0.75159,0.75172,0.75117,0.75127,0.75159,0.75172,0.75117,0.75127,0.75159,0.75172,0.75117,0.75127,,False,False
14,AUDUSD,M5,2022-03-28 04:25:00,2022-03-28T04:25:00,154,0.75127,0.75164,0.75126,0.75164,0.75127,0.75164,0.75126,0.75164,0.75127,0.75164,0.75126,0.75164,,False,False
15,AUDUSD,M5,2022-03-28 04:30:00,2022-03-28T04:30:00,116,0.75164,0.75168,0.75145,0.75145,0.75164,0.75168,0.75145,0.75145,0.75164,0.75168,0.75145,0.75145,,False,False
16,AUDUSD,M5,2022-03-28 04:35:00,2022-03-28T04:35:00,108,0.75143,0.75143,0.75117,0.75135,0.75143,0.75143,0.75117,0.75135,0.75143,0.75143,0.75117,0.75135,,False,False
17,AUDUSD,M5,2022-03-28 04:40:00,2022-03-28T04:40:00,68,0.75135,0.75146,0.75132,0.75134,0.75135,0.75146,0.75132,0.75134,0.75135,0.75146,0.75132,0.75134,,False,False
