,instrument,granularity,time,stringTime,volume,bidOpen,bidHigh,bidLow,bidClose,midOpen,midHigh,midLow,midClose,askOpen,askHigh,askLow,askClose,ao,bull_signal_ao,bear_signal_ao
0,BTCUSD,H1,2021-09-26 14:00:00,2021-09-26T14:00:00,1088,43182.5,43230.5,43028.5,43084.5,43182.5,43230.5,43028.5,43084.5,43182.5,43230.5,43028.5,43084.5,,False,False
1,BTCUSD,H1,2021-09-26 15:00:00,2021-09-26T15:00:00,2547,43084.5,43480.0,43084.5,43279.5,43084.5,43480.0,43084.5,43279.5,43084.5,43480.0,43084.5,43279.5,,False,False
2,BTCUSD,H1,2021-09-26 16:00:00,2021-09-26T16:00:00,1583,43279.5,43367.0,43137.5,43230.5,43279.5,43367.0,43137.5,43230.5,43279.5,43367.0,43137.5,43230.5,,False,False
3,BTCUSD,H1,2021-09-26 17:00:00,2021-09-26T17:00:00,1779,43230.5,43408.5,43107.5,43328.5,43230.5,43408.5,43107.5,43328.5,43230.5,43408.5,43107.5,43328.5,,False,False
4,BTCUSD,H1,2021-09-26 18:00:00,2021-09-26T18:00:00,1551,43328.5,43440.5,43219.5,43338.5,43328.5,43440.5,43219.5,43338.5,43328.5,43440.5,43219.5,43338.5,,False,False
5,BTCUSD,H1,2021-09-26 19:00:00,2021-09-26T19:00:00,1792,43338.5,43548.5,43150.5,43240.5,43338.5,43548.5,43150.5,43240.5,43338.5,43548.5,43150.5,43240.5,,False,False
6,BTCUSD,H1,2021-09-26 20:00:00,2021-09-26T20:00:00,1333,43240.5,43311.5,43087.5,43155.5,43240.5,43311.5,43087.5,43155.5,43240.5,43311.5,43087.5,43155.5,,False,False
7,BTCUSD,H1,2021-09-26 21:00:00,2021-09-26T21:00:00,755,43155.5,43298.5,43154.5,43204.5,43155.5,43298.5,43154.5,43204.5,43155.5,43298.5,43154.5,43204.5,,False,False
8,BTCUSD,H1,2021-09-26 22:00:00,2021-09-26T22:00:00,1233,43204.5,43444.5,43138.5,43251.5,43204.5,43444.5,43138.5,43251.5,43204.5,43444.5,43138.5,43251.5,,False,False
9,BTCUSD,H1,2021-09-26 23:00:00,2021-09-26T23:00:00,1488,43251.5,43692.5,43251.5,43585.5,43251.5,43692.5,43251.5,43585.5,43251.5,43692.5,43251.5,43585.5,,False,False
10,BTCUSD,H1,2021-09-27 00:00:00,2021-09-27T00:00:00,928,43620.5,43706.5,43365.5,43577.5,43620.5,43706.5,43365.5,43577.5,43620.5,43706.5,43365.5,43577.5,,False,False
