,instrument,granularity,time,stringTime,volume,bidOpen,bidHigh,bidLow,bidClose,midOpen,midHigh,midLow,midClose,askOpen,askHigh,askLow,askClose,ao,bull_signal_ao,bear_signal_ao
0,EURJPY,H1,2021-07-06 16:00:00,2021-07-06T16:00:00,15451,131.041,131.097,130.922,131.024,131.041,131.097,130.922,131.024,131.041,131.097,130.922,131.024,,False,False
1,EURJPY,H1,2021-07-06 17:00:00,2021-07-06T17:00:00,20546,131.022,131.038,130.732,130.788,131.022,131.038,130.732,130.788,131.022,131.038,130.732,130.788,,False,False
2,EURJPY,H1,2021-07-06 18:00:00,2021-07-06T18:00:00,12339,130.788,130.811,130.693,130.755,130.788,130.811,130.693,130.755,130.788,130.811,130.693,130.755,,False,False
3,EURJPY,H1,2021-07-06 19:00:00,2021-07-06T19:00:00,9632,130.755,130.769,130.613,130.701,130.755,130.769,130.613,130.701,130.755,130.769,130.613,130.701,,False,False
4,EURJPY,H1,2021-07-06 20:00:00,2021-07-06T20:00:00,6242,130.7,130.831,130.692,130.825,130.7,130.831,130.692,130.825,130.7,130.831,130.692,130.825,,False,False
5,EURJPY,H1,2021-07-06 21:00:00,2021-07-06T21:00:00,3773,130.825,130.843,130.769,130.781,130.825,130.843,130.769,130.781,130.825,130.843,130.769,130.781,,False,False
6,EURJPY,H1,2021-07-06 22:00:00,2021-07-06T22:00:00,3157,130.782,130.85,130.772,130.789,130.782,130.85,130.772,130.789,130.782,130.85,130.772,130.789,,False,False
7,EURJPY,H1,2021-07-06 23:00:00,2021-07-06T23:00:00,4250,130.789,130.82,130.763,130.777,130.789,130.82,130.763,130.777,130.789,130.82,130.763,130.777,,False,False
8,EURJPY,H1,2021-07-07 00:00:00,2021-07-07T00:00:00,339,130.777,130.791,130.689,130.767,130.777,130.791,130.689,130.767,130.777,130.791,130.689,130.767,,False,False
9,EURJPY,H1,2021-07-07 01:00:00,2021-07-07T01:00:00,6847,130.767,130.811,130.754,130.774,130.767,130.811,130.754,130.774,130.767,130.811,130.754,130.774,,False,False
10,EURJPY,H1,2021-07-07 02:00:00,2021-07-07T02:00:00,3787,130.774,130.806,130.714,130.752,130.774,130.806,130.714,130.752,130.774,130.806,130.714,130.752,,False,False
11,EURJPY,H1,2021-07-07 03:00:00,2021-07-07T03:00:00,13904,130.754,130.754,130.489,130.518,130.754,130.754,130.489,130.518,130.754,130.754,130.489,130.518,,False,False
12,EURJPY,H1,2021-07-07 04:00:00,2021-07-07T04:00:00,11132,130.518,130.595,130.496,130.56,130.518,130.595,130.496,130.56,130.518,130.595,130.496,130.56,,False,False
13,EURJPY,H1,2021-07-07 05:00:00,2021-07-07T05:00:00,4398,130.56,130.68,130.537,130.657,130.56,130.68,130.537,130.657,130.56,130.68,130.537,130.657,,False,False
