,instrument,granularity,time,stringTime,volume,bidOpen,bidHigh,bidLow,bidClose,midOpen,midHigh,midLow,midClose,askOpen,askHigh,askLow,askClose,ao,bull_signal_ao,bear_signal_ao
0,EURJPY,M5,2022-03-28 03:10:00,2022-03-28T03:10:00,200,134.326,134.331,134.292,134.314,134.326,134.331,134.292,134.314,134.326,134.331,134.292,134.314,,False,False
1,EURJPY,M5,2022-03-28 03:15:00,2022-03-28T03:15:00,343,134.314,134.328,134.26,134.265,134.314,134.328,134.26,134.265,134.314,134.328,134.26,134.265,,False,False
2,EURJPY,M5,2022-03-28 03:20:00,2022-03-28T03:20:00,312,134.262,134.296,134.262,134.277,134.262,134.296,134.262,134.277,134.262,134.296,134.262,134.277,,False,False
3,EURJPY,M5,2022-03-28 03:25:00,2022-03-28T03:25:00,368,134.277,134.279,134.226,134.26,134.277,134.279,134.226,134.26,134.277,134.279,134.226,134.26,,False,False
4,EURJPY,M5,2022-03-28 03:30:00,2022-03-28T03:30:00,348,134.26,134.288,134.233,134.246,134.26,134.288,134.233,134.246,134.26,134.288,134.233,134.246,,False,False
5,EURJPY,M5,2022-03-28 03:35:00,2022-03-28T03:35:00,288,134.246,134.277,134.241,134.262,134.246,134.277,134.241,134.262,134.246,134.277,134.241,134.262,,False,False
6,EURJPY,M5,2022-03-28 03:40:00,2022-03-28T03:40:00,363,134.262,134.287,134.254,134.286,134.262,134.287,134.254,134.286,134.262,134.287,134.254,134.286,,False,False
7,EURJPY,M5,2022-03-28 03:45:00,2022-03-28T03:45:00,412,134.286,134.305,134.252,134.264,134.286,134.305,134.252,134.264,134.286,134.305,134.252,134.264,,False,False
8,EURJPY,M5,2022-03-28 03:50:00,2022-03-28T03:50:00,445,134.267,134.326,134.267,134.325,134.267,134.326,134.267,134.325,134.267,134.326,134.267,134.325,,False,False
9,EURJPY,M5,2022-03-28 03:55:00,2022-03-28T03:55:00,429,134.325,134.325,134.262,134.266,134.325,134.325,134.262,134.266,134.325,134.325,134.262,134.266,,False,False
10,EURJPY,M5,2022-03-28 04:00:00,2022-03-28T04:00:00,757,134.266,134.305,134.207,134.232,134.266,134.305,134.207,134.232,134.266,134.305,134.207,134.232,,False,False
11,EURJPY,M5,2022-03-28 04:05:00,2022-03-28T04:05:00,675,134.232,134.246,134.144,134.212,134.232,134.246,134.144,134.212,134.232,134.246,134.144,134.212,,False,False
12,EURJPY,M5,2022-03-28 04:10:00,2022-03-28T04:10:00,460,134.211,134.22,134.148,134.148,134.211,134.22,134.148,134.148,134.211,134.22,134.148,134.148,,False,False
