,instrument,granularity,time,stringTime,volume,bidOpen,bidHigh,bidLow,bidClose,midOpen,midHigh,midLow,midClose,askOpen,askHigh,askLow,askClose,ao,bull_signal_ao,bear_signal_ao
0,GBPUSD,H1,2021-07-06 16:00:00,2021-07-06T16:00:00,10771,1.38601,1.3862700000000001,1.38267,1.38344,1.38601,1.3862700000000001,1.38267,1.38344,1.38601,1.3862700000000001,1.38267,1.38344,,False,False
1,GBPUSD,H1,2021-07-06 17:00:00,2021-07-06T17:00:00,18653,1.38344,1.38395,1.3796300000000001,1.38083,1.38344,1.38395,1.3796300000000001,1.38083,1.38344,1.38395,1.3796300000000001,1.38083,,False,False
2,GBPUSD,H1,2021-07-06 18:00:00,2021-07-06T18:00:00,13054,1.3808500000000001,1.3813,1.3787,1.37923,1.3808500000000001,1.3813,1.3787,1.37923,1.3808500000000001,1.3813,1.3787,1.37923,,False,False
3,GBPUSD,H1,2021-07-06 19:00:00,2021-07-06T19:00:00,8603,1.3792200000000001,1.37951,1.3772199999999999,1.37786,1.3792200000000001,1.37951,1.3772199999999999,1.37786,1.3792200000000001,1.37951,1.3772199999999999,1.37786,,False,False
4,GBPUSD,H1,2021-07-06 20:00:00,2021-07-06T20:00:00,5109,1.37786,1.3798300000000001,1.37769,1.3796300000000001,1.37786,1.3798300000000001,1.37769,1.3796300000000001,1.37786,1.3798300000000001,1.37769,1.3796300000000001,,False,False
5,GBPUSD,H1,2021-07-06 21:00:00,2021-07-06T21:00:00,3549,1.3796300000000001,1.38076,1.37933,1.37997,1.3796300000000001,1.38076,1.37933,1.37997,1.3796300000000001,1.38076,1.37933,1.37997,,False,False
6,GBPUSD,H1,2021-07-06 22:00:00,2021-07-06T22:00:00,2792,1.37998,1.38041,1.37973,1.37984,1.37998,1.38041,1.37973,1.37984,1.37998,1.38041,1.37973,1.37984,,False,False
7,GBPUSD,H1,2021-07-06 23:00:00,2021-07-06T23:00:00,1838,1.37984,1.38035,1.37928,1.3795600000000001,1.37984,1.38035,1.37928,1.3795600000000001,1.37984,1.38035,1.37928,1.3795600000000001,,False,False
8,GBPUSD,H1,2021-07-07 00:00:00,2021-07-07T00:00:00,6763,1.37934,1.38086,1.37872,1.37917,1.37934,1.38086,1.37872,1.37917,1.37934,1.38086,1.37872,1.37917,,False,False
9,GBPUSD,H1,2021-07-07 01:00:00,2021-07-07T01:00:00,751,1.37917,1.3801700000000001,1.37917,1.37995,1.37917,1.3801700000000001,1.37917,1.37995,1.37917,1.3801700000000001,1.37917,1.37995,,False,False
10,GBPUSD,H1,2021-07-07 02:00:00,2021-07-07T02:00:00,512,1.37995,1.38035,1.37985,1.38032,1.37995,1.38035,1.37985,1.38032,1.37995,1.38035,1.37985,1.38032,,False,False
11,GBPUSD,H1,2021-07-07 03:00:00,2021-07-07T03:00:00,3829,1.38032,1.38042,1.3789,1.3796300000000001,1.38032,1.38042,1.3789,1.3796300000000001,1.38032,1.38042,1.3789,1.3796300000000001,,False,False
12,GBPUSD,H1,2021-07-07 04:00:00,2021-07-07T04:00:00,4369,1.3796300000000001,1.3805,1.37939,1.3804,1.3796300000000001,1.3805,1.37939,1.3804,1.3796300000000001,1.3805,1.37939,1.3804,,False,False
13,GBPUSD,H1,2021-07-07 05:00:00,2021-07-07T05:00:00,2863,1.3804,1.38053,1.3794,1.37943,1.3804,1.38053,1.3794,1.37943,1.3804,1.38053,1.3794,1.37943,,False,False
14,GBPUSD,H1,2021-07-07 06:00:00,2021-07-07T06:00:00,1912,1.37943,1.38009,1.37919,1.38007,1.37943,1.38009,1.37919,1.38007,1.37943,1.38009,1.37919,1.38007,,False,False
15,GBPUSD,H1,2021-07-07 07:00:00,2021-07-07T07:00:00,2300,1.38007,1.38046,1.37949,1.38011,1.38007,1.38046,1.37949,1.38011,1.38007,1.38046,1.37949,1.38011,,False,False
16,GBPUSD,H1,2021-07-07 08:00:00,2021-07-07T08:00:00,3311,1.38011,1.3813,1.37989,1.38107,1.38011,1.3813,1.37989,1.38107,1.38011,1.3813,1.37989,1.38107,,False,False
17,GBPUSD,H1,2021-07-07 09:00:00,2021-07-07T09:00:00,4876,1.38107,1.38148,1.38,1.38074,1.38107,1.38148,1.38,1.38074,1.38107,1.38148,1.38,1.38074,,False,False
18,GBPUSD,H1,2021-07-07 10:00:00,2021-07-07T10:00:00,8389,1.38074,1.38123,1.37857,1.38001,1.38074,1.38123,1.37857,1.38001,1.38074,1.38123,1.37857,1.38001,,False,False
19,GBPUSD,H1,2021-07-07 11:00:00,2021-07-07T11:00:00,7623,1.38001,1.38097,1.37765,1.37788,1.38001,1.38097,1.37765,1.37788,1.38001,1.38097,1.37765,1.37788,,False,False
20,GBPUSD,H1,2021-07-07 12:00:00,2021-07-07T12:00:00,5302,1.37788,1.38097,1.3778299999999999,1.38097,1.37788,1.38097,1.3778299999999999,1.38097,1.37788,1.38097,1.3778299999999999,1.38097,,False,False
21,GBPUSD,H1,2021-07-07 13:00:00,2021-07-07T13:00:00,5181,1.38097,1.38249,1.38057,1.38228,1.38097,1.38249,1.38057,1.38228,1.38097,1.38249,1.38057,1.38228,,False,False
22,GBPUSD,H1,2021-07-07 14:00:00,2021-07-07T14:00:00,4577,1.38228,1.38354,1.38175,1.38296,1.38228,1.38354,1.38175,1.38296,1.38228,1.38354,1.38175,1.38296,,False,False
23,GBPUSD,H1,2021-07-07 15:00:00,2021-07-07T15:00:00,10083,1.38296,1.38411,1.38178,1.3820999999999999,1.38296,1.38411,1.38178,1.3820999999999999,1.38296,1.38411,1.38178,1.3820999999999999,,False,False
24,GBPUSD,H1,2021-07-07 16:00:00,2021-07-07T16:00:00,9868,1.3820999999999999,1.3823400000000001,1.38029,1.38089,1.3820999999999999,1.3823400000000001,1.38029,1.38089,1.3820999999999999,1.3823400000000001,1.38029,1.38089,,False,False
25,GBPUSD,H1,2021-07-07 17:00:00,2021-07-07T17:00:00,13169,1.38089,1.38097,1.3753199999999999,1.37771,1.38089,1.38097,1.3753199999999999,1.37771,1.38089,1.38097,1.3753199999999999,1.37771,,False,False
26,GBPUSD,H1,2021-07-07 18:00:00,2021-07-07T18:00:00,9626,1.3777,1.37921,1.37686,1.37915,1.3777,1.37921,1.37686,1.37915,1.3777,1.37921,1.37686,1.37915,,False,False
27,GBPUSD,H1,2021-07-07 19:00:00,2021-07-07T19:00:00,5829,1.37915,1.37999,1.37866,1.37964,1.37915,1.37999,1.37866,1.37964,1.37915,1.37999,1.37866,1.37964,,False,False
28,GBPUSD,H1,2021-07-07 20:00:00,2021-07-07T20:00:00,3805,1.37964,1.38011,1.37899,1.37941,1.37964,1.38011,1.37899,1.37941,1.37964,1.38011,1.37899,1.37941,,False,False
29,GBPUSD,H1,2021-07-07 21:00:00,2021-07-07T21:00:00,17133,1.37941,1.3817,1.37886,1.37999,1.37941,1.3817,1.37886,1.37999,1.37941,1.3817,1.37886,1.37999,,False,False
30,GBPUSD,H1,2021-07-07 22:00:00,2021-07-07T22:00:00,7597,1.37999,1.38076,1.3793199999999999,1.37985,1.37999,1.38076,1.3793199999999999,1.37985,1.37999,1.38076,1.3793199999999999,1.37985,,False,False
31,GBPUSD,H1,2021-07-07 23:00:00,2021-07-07T23:00:00,2712,1.3798599999999999,1.38022,1.37949,1.37971,1.3798599999999999,1.38022,1.37949,1.37971,1.3798599999999999,1.38022,1.37949,1.37971,,False,False
32,GBPUSD,H1,2021-07-08 00:00:00,2021-07-08T00:00:00,356,1.37971,1.38011,1.37936,1.37988,1.37971,1.38011,1.37936,1.37988,1.37971,1.38011,1.37936,1.37988,,False,False
33,GBPUSD,H1,2021-07-08 01:00:00,2021-07-08T01:00:00,367,1.37988,1.38033,1.37975,1.3803,1.37988,1.38033,1.37975,1.3803,1.37988,1.38033,1.37975,1.3803,-0.0001701470588235665,False,False
34,GBPUSD,H1,2021-07-08 02:00:00,2021-07-08T02:00:00,442,1.3803,1.3804,1.37975,1.37989,1.3803,1.3804,1.37975,1.37989,1.3803,1.3804,1.37975,1.37989,-8.188235294115387e-05,False,False
35,GBPUSD,H1,2021-07-08 03:00:00,2021-07-08T03:00:00,2361,1.37989,1.38011,1.37883,1.37891,1.37989,1.38011,1.37883,1.37891,1.37989,1.38011,1.37883,1.37891,-0.0001276470588233991,False,False
