,instrument,granularity,time,stringTime,volume,bidOpen,bidHigh,bidLow,bidClose,midOpen,midHigh,midLow,midClose,askOpen,askHigh,askLow,askClose,ao,bull_signal_ao,bear_signal_ao
0,GBPUSD,M5,2022-03-28 03:15:00,2022-03-28T03:15:00,76,1.31741,1.31751,1.31725,1.31726,1.31741,1.31751,1.31725,1.31726,1.31741,1.31751,1.31725,1.31726,,False,False
1,GBPUSD,M5,2022-03-28 03:20:00,2022-03-28T03:20:00,90,1.31726,1.3174000000000001,1.3170899999999999,1.3171,1.31726,1.3174000000000001,1.3170899999999999,1.3171,1.31726,1.3174000000000001,1.3170899999999999,1.3171,,False,False
2,GBPUSD,M5,2022-03-28 03:25:00,2022-03-28T03:25:00,141,1.3171,1.3171599999999999,1.31695,1.3170600000000001,1.3171,1.3171599999999999,1.31695,1.3170600000000001,1.3171,1.3171599999999999,1.31695,1.3170600000000001,,False,False
3,GBPUSD,M5,2022-03-28 03:30:00,2022-03-28T03:30:00,109,1.3170600000000001,1.31717,1.31696,1.31708,1.3170600000000001,1.31717,1.31696,1.31708,1.3170600000000001,1.31717,1.31696,1.31708,,False,False
4,GBPUSD,M5,2022-03-28 03:35:00,2022-03-28T03:35:00,83,1.3170899999999999,1.31725,1.317,1.31721,1.3170899999999999,1.31725,1.317,1.31721,1.3170899999999999,1.31725,1.317,1.31721,,False,False
5,GBPUSD,M5,2022-03-28 03:40:00,2022-03-28T03:40:00,157,1.31721,1.31725,1.31705,1.31722,1.31721,1.31725,1.31705,1.31722,1.31721,1.31725,1.31705,1.31722,,False,False
6,GBPUSD,M5,2022-03-28 03:45:00,2022-03-28T03:45:00,98,1.31722,1.3173,1.31684,1.31696,1.31722,1.3173,1.31684,1.31696,1.31722,1.3173,1.31684,1.31696,,False,False
7,GBPUSD,M5,2022-03-28 03:50:00,2022-03-28T03:50:00,72,1.31699,1.31701,1.31685,1.31699,1.31699,1.31701,1.31685,1.31699,1.31699,1.31701,1.31685,1.31699,,False,False
8,GBPUSD,M5,2022-03-28 03:55:00,2022-03-28T03:55:00,76,1.31699,1.3173,1.31699,1.31724,1.31699,1.3173,1.31699,1.31724,1.31699,1.3173,1.31699,1.31724,,False,False
9,GBPUSD,M5,2022-03-28 04:00:00,2022-03-28T04:00:00,198,1.31725,1.31757,1.31725,1.31744,1.31725,1.31757,1.31725,1.31744,1.31725,1.31757,1.31725,1.31744,,False,False
10,GBPUSD,M5,2022-03-28 04:05:00,2022-03-28T04:05:00,159,1.3174299999999999,1.31762,1.31732,1.3173599999999999,1.3174299999999999,1.31762,1.31732,1.3173599999999999,1.3174299999999999,1.31762,1.31732,1.3173599999999999,,False,False
