,instrument,granularity,time,stringTime,volume,bidOpen,bidHigh,bidLow,bidClose,midOpen,midHigh,midLow,midClose,askOpen,askHigh,askLow,askClose,ao,bull_signal_ao,bear_signal_ao,apo_5_10,bull_signal_apo_5_10,bear_signal_apo_5_10,apo_5_15,bull_signal_apo_5_15,bear_signal_apo_5_15,apo_5_20,bull_signal_apo_5_20,bear_signal_apo_5_20,apo_5_25,bull_signal_apo_5_25,bear_signal_apo_5_25,apo_5_30,bull_signal_apo_5_30,bear_signal_apo_5_30,apo_5_35,bull_signal_apo_5_35,bear_signal_apo_5_35,apo_5_40,bull_signal_apo_5_40,bear_signal_apo_5_40,apo_5_45,bull_signal_apo_5_45,bear_signal_apo_5_45,apo_5_50,bull_signal_apo_5_50,bear_signal_apo_5_50,apo_5_55,bull_signal_apo_5_55,bear_signal_apo_5_55,apo_10_15,bull_signal_apo_10_15,bear_signal_apo_10_15,apo_10_20,bull_signal_apo_10_20,bear_signal_apo_10_20,apo_10_25,bull_signal_apo_10_25,bear_signal_apo_10_25,apo_10_30,bull_signal_apo_10_30,bear_signal_apo_10_30,apo_10_35,bull_signal_apo_10_35,bear_signal_apo_10_35,apo_10_40,bull_signal_apo_10_40,bear_signal_apo_10_40,apo_10_45,bull_signal_apo_10_45,bear_signal_apo_10_45,apo_10_50,bull_signal_apo_10_50,bear_signal_apo_10_50,apo_10_55,bull_signal_apo_10_55,bear_signal_apo_10_55,apo_15_20,bull_signal_apo_15_20,bear_signal_apo_15_20,apo_15_25,bull_signal_apo_15_25,bear_signal_apo_15_25,apo_15_30,bull_signal_apo_15_30,bear_signal_apo_15_30,apo_15_35,bull_signal_apo_15_35,bear_signal_apo_15_35,apo_15_40,bull_signal_apo_15_40,bear_signal_apo_15_40,apo_15_45,bull_signal_apo_15_45,bear_signal_apo_15_45,apo_15_50,bull_signal_apo_15_50,bear_signal_apo_15_50,apo_15_55,bull_signal_apo_15_55,bear_signal_apo_15_55,apo_20_25,bull_signal_apo_20_25,bear_signal_apo_20_25,apo_20_30,bull_signal_apo_20_30,bear_signal_apo_20_30,apo_20_35,bull_signal_apo_20_35,bear_signal_apo_20_35,apo_20_40,bull_signal_apo_20_40,bear_signal_apo_20_40,apo_20_45,bull_signal_apo_20_45,bear_signal_apo_20_45,apo_20_50,bull_signal_apo_20_50,bear_signal_apo_20_50,apo_20_55,bull_signal_apo_20_55,bear_signal_apo_20_55,apo_25_30,bull_signal_apo_25_30,bear_signal_apo_25_30,apo_25_35,bull_signal_apo_25_35,bear_signal_apo_25_35,apo_25_40,bull_signal_apo_25_40,bear_signal_apo_25_40,apo_25_45,bull_signal_apo_25_45,bear_signal_apo_25_45,apo_25_50,bull_signal_apo_25_50,bear_signal_apo_25_50,apo_25_55,bull_signal_apo_25_55,bear_signal_apo_25_55
0,TSLA,D1,2021-09-03,2021-09-03T00:00:00,55064,729.09,733.31,724.1,730.82,729.09,733.31,724.1,730.82,729.09,733.31,724.1,730.82,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False
1,TSLA,D1,2021-09-07,2021-09-07T00:00:00,81568,748.01,760.15,748.0,752.1,748.01,760.15,748.0,752.1,748.01,760.15,748.0,752.1,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False
2,TSLA,D1,2021-09-08,2021-09-08T00:00:00,62640,757.61,761.19,740.84,753.74,757.61,761.19,740.84,753.74,757.61,761.19,740.84,753.74,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False
3,TSLA,D1,2021-09-09,2021-09-09T00:00:00,48271,759.66,761.96,751.5,754.84,759.66,761.96,751.5,754.84,759.66,761.96,751.5,754.84,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False
4,TSLA,D1,2021-09-10,2021-09-10T00:00:00,40520,758.59,759.98,734.49,735.21,758.59,759.98,734.49,735.21,758.59,759.98,734.49,735.21,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False
5,TSLA,D1,2021-09-13,2021-09-13T00:00:00,62017,734.69,744.73,708.3,744.03,734.69,744.73,708.3,744.03,734.69,744.73,708.3,744.03,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False
6,TSLA,D1,2021-09-14,2021-09-14T00:00:00,65247,748.2,754.37,736.37,744.94,748.2,754.37,736.37,744.94,748.2,754.37,736.37,744.94,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False
7,TSLA,D1,2021-09-15,2021-09-15T00:00:00,55628,743.91,756.81,738.24,755.71,743.91,756.81,738.24,755.71,743.91,756.81,738.24,755.71,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False
8,TSLA,D1,2021-09-16,2021-09-16T00:00:00,38814,753.76,758.87,747.5,757.83,753.76,758.87,747.5,757.83,753.76,758.87,747.5,757.83,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False
9,TSLA,D1,2021-09-17,2021-09-17T00:00:00,39588,755.77,760.86,750.06,758.0,755.77,760.86,750.06,758.0,755.77,760.86,750.06,758.0,,False,False,3.380000000000109,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False
