,instrument,granularity,time,stringTime,volume,bidOpen,bidHigh,bidLow,bidClose,midOpen,midHigh,midLow,midClose,askOpen,askHigh,askLow,askClose,ao,bull_signal_ao,bear_signal_ao
0,TSLA,M5,2022-01-19 16:35:00,2022-01-19T16:35:00,953,1047.57,1051.88,1040.0,1041.04,1047.57,1051.88,1040.0,1041.04,1047.57,1051.88,1040.0,1041.04,,False,False
1,TSLA,M5,2022-01-19 16:40:00,2022-01-19T16:40:00,784,1041.04,1044.5,1036.45,1038.3,1041.04,1044.5,1036.45,1038.3,1041.04,1044.5,1036.45,1038.3,,False,False
2,TSLA,M5,2022-01-19 16:45:00,2022-01-19T16:45:00,883,1038.58,1048.48,1036.0,1037.29,1038.58,1048.48,1036.0,1037.29,1038.58,1048.48,1036.0,1037.29,,False,False
3,TSLA,M5,2022-01-19 16:50:00,2022-01-19T16:50:00,854,1037.8,1041.77,1034.32,1036.54,1037.8,1041.77,1034.32,1036.54,1037.8,1041.77,1034.32,1036.54,,False,False
4,TSLA,M5,2022-01-19 16:55:00,2022-01-19T16:55:00,607,1036.46,1039.74,1032.0,1035.5,1036.46,1039.74,1032.0,1035.5,1036.46,1039.74,1032.0,1035.5,,False,False
5,TSLA,M5,2022-01-19 17:00:00,2022-01-19T17:00:00,815,1034.74,1036.78,1026.69,1031.27,1034.74,1036.78,1026.69,1031.27,1034.74,1036.78,1026.69,1031.27,,False,False
6,TSLA,M5,2022-01-19 17:05:00,2022-01-19T17:05:00,874,1031.28,1032.81,1027.0,1028.8,1031.28,1032.81,1027.0,1028.8,1031.28,1032.81,1027.0,1028.8,,False,False
7,TSLA,M5,2022-01-19 17:10:00,2022-01-19T17:10:00,962,1028.55,1037.47,1028.55,1035.87,1028.55,1037.47,1028.55,1035.87,1028.55,1037.47,1028.55,1035.87,,False,False
8,TSLA,M5,2022-01-19 17:15:00,2022-01-19T17:15:00,717,1035.87,1036.05,1029.0,1031.83,1035.87,1036.05,1029.0,1031.83,1035.87,1036.05,1029.0,1031.83,,False,False
9,TSLA,M5,2022-01-19 17:20:00,2022-01-19T17:20:00,617,1031.84,1032.73,1026.03,1026.53,1031.84,1032.73,1026.03,1026.53,1031.84,1032.73,1026.03,1026.53,,False,False
10,TSLA,M5,2022-01-19 17:25:00,2022-01-19T17:25:00,625,1026.53,1027.75,1021.4,1023.05,1026.53,1027.75,1021.4,1023.05,1026.53,1027.75,1021.4,1023.05,,False,False
11,TSLA,M5,2022-01-19 17:30:00,2022-01-19T17:30:00,631,1023.05,1024.65,1019.11,1020.13,1023.05,1024.65,1019.11,1020.13,1023.05,1024.65,1019.11,1020.13,,False,False
12,TSLA,M5,2022-01-19 17:35:00,2022-01-19T17:35:00,651,1020.13,1020.32,1011.6,1011.6,1020.13,1020.32,1011.6,1011.6,1020.13,1020.32,1011.6,1011.6,,False,False
13,TSLA,M5,2022-01-19 17:40:00,2022-01-19T17:40:00,884,1012.07,1015.57,1009.06,1014.33,1012.07,1015.57,1009.06,1014.33,1012.07,1015.57,1009.06,1014.33,,False,False
