,instrument,granularity,time,stringTime,volume,bidOpen,bidHigh,bidLow,bidClose,midOpen,midHigh,midLow,midClose,askOpen,askHigh,askLow,askClose,ao,bull_signal_ao,bear_signal_ao
0,USDCAD,H1,2021-07-06 16:00:00,2021-07-06T16:00:00,12837,1.23779,1.24173,1.23769,1.24058,1.23779,1.24173,1.23769,1.24058,1.23779,1.24173,1.23769,1.24058,,False,False
1,USDCAD,H1,2021-07-06 17:00:00,2021-07-06T17:00:00,23778,1.24058,1.24929,1.24042,1.24813,1.24058,1.24929,1.24042,1.24813,1.24058,1.24929,1.24042,1.24813,,False,False
2,USDCAD,H1,2021-07-06 18:00:00,2021-07-06T18:00:00,12475,1.2481200000000001,1.24942,1.24617,1.24643,1.2481200000000001,1.24942,1.24617,1.24643,1.2481200000000001,1.24942,1.24617,1.24643,,False,False
3,USDCAD,H1,2021-07-06 19:00:00,2021-07-06T19:00:00,9396,1.24643,1.24933,1.24624,1.24851,1.24643,1.24933,1.24624,1.24851,1.24643,1.24933,1.24624,1.24851,,False,False
4,USDCAD,H1,2021-07-06 20:00:00,2021-07-06T20:00:00,4120,1.24851,1.24916,1.24501,1.24511,1.24851,1.24916,1.24501,1.24511,1.24851,1.24916,1.24501,1.24511,,False,False
5,USDCAD,H1,2021-07-06 21:00:00,2021-07-06T21:00:00,4324,1.24511,1.24669,1.24511,1.24623,1.24511,1.24669,1.24511,1.24623,1.24511,1.24669,1.24511,1.24623,,False,False
6,USDCAD,H1,2021-07-06 22:00:00,2021-07-06T22:00:00,2592,1.24623,1.24658,1.24523,1.24636,1.24623,1.24658,1.24523,1.24636,1.24623,1.24658,1.24523,1.24636,,False,False
7,USDCAD,H1,2021-07-06 23:00:00,2021-07-06T23:00:00,1493,1.24634,1.24634,1.24538,1.24566,1.24634,1.24634,1.24538,1.24566,1.24634,1.24634,1.24538,1.24566,,False,False
8,USDCAD,H1,2021-07-07 00:00:00,2021-07-07T00:00:00,301,1.24566,1.24611,1.24535,1.24552,1.24566,1.24611,1.24535,1.24552,1.24566,1.24611,1.24535,1.24552,,False,False
9,USDCAD,H1,2021-07-07 01:00:00,2021-07-07T01:00:00,809,1.24555,1.24641,1.24549,1.24602,1.24555,1.24641,1.24549,1.24602,1.24555,1.24641,1.24549,1.24602,,False,False
10,USDCAD,H1,2021-07-07 02:00:00,2021-07-07T02:00:00,590,1.24603,1.24604,1.24557,1.24577,1.24603,1.24604,1.24557,1.24577,1.24603,1.24604,1.24557,1.24577,,False,False
11,USDCAD,H1,2021-07-07 03:00:00,2021-07-07T03:00:00,5099,1.24577,1.24711,1.24574,1.24696,1.24577,1.24711,1.24574,1.24696,1.24577,1.24711,1.24574,1.24696,,False,False
12,USDCAD,H1,2021-07-07 04:00:00,2021-07-07T04:00:00,4072,1.24696,1.24741,1.24631,1.24683,1.24696,1.24741,1.24631,1.24683,1.24696,1.24741,1.24631,1.24683,,False,False
13,USDCAD,H1,2021-07-07 05:00:00,2021-07-07T05:00:00,2661,1.24683,1.24734,1.24665,1.24721,1.24683,1.24734,1.24665,1.24721,1.24683,1.24734,1.24665,1.24721,,False,False
14,USDCAD,H1,2021-07-07 06:00:00,2021-07-07T06:00:00,1755,1.24721,1.24728,1.24636,1.24638,1.24721,1.24728,1.24636,1.24638,1.24721,1.24728,1.24636,1.24638,,False,False
15,USDCAD,H1,2021-07-07 07:00:00,2021-07-07T07:00:00,1607,1.24638,1.2472,1.24596,1.24709,1.24638,1.2472,1.24596,1.24709,1.24638,1.2472,1.24596,1.24709,,False,False
16,USDCAD,H1,2021-07-07 08:00:00,2021-07-07T08:00:00,2803,1.24709,1.24721,1.24582,1.24609,1.24709,1.24721,1.24582,1.24609,1.24709,1.24721,1.24582,1.24609,,False,False
17,USDCAD,H1,2021-07-07 09:00:00,2021-07-07T09:00:00,3842,1.24609,1.24663,1.24526,1.2453400000000001,1.24609,1.24663,1.24526,1.2453400000000001,1.24609,1.24663,1.24526,1.2453400000000001,,False,False
18,USDCAD,H1,2021-07-07 10:00:00,2021-07-07T10:00:00,4813,1.2453400000000001,1.24619,1.24399,1.24418,1.2453400000000001,1.24619,1.24399,1.24418,1.2453400000000001,1.24619,1.24399,1.24418,,False,False
19,USDCAD,H1,2021-07-07 11:00:00,2021-07-07T11:00:00,3979,1.24418,1.24533,1.24347,1.2445,1.24418,1.24533,1.24347,1.2445,1.24418,1.24533,1.24347,1.2445,,False,False
20,USDCAD,H1,2021-07-07 12:00:00,2021-07-07T12:00:00,4602,1.2445,1.2448299999999999,1.24326,1.24337,1.2445,1.2448299999999999,1.24326,1.24337,1.2445,1.2448299999999999,1.24326,1.24337,,False,False
21,USDCAD,H1,2021-07-07 13:00:00,2021-07-07T13:00:00,5224,1.24337,1.24429,1.2432400000000001,1.24381,1.24337,1.24429,1.2432400000000001,1.24381,1.24337,1.24429,1.2432400000000001,1.24381,,False,False
22,USDCAD,H1,2021-07-07 14:00:00,2021-07-07T14:00:00,4178,1.24381,1.24457,1.24285,1.24306,1.24381,1.24457,1.24285,1.24306,1.24381,1.24457,1.24285,1.24306,,False,False
23,USDCAD,H1,2021-07-07 15:00:00,2021-07-07T15:00:00,6671,1.24306,1.24487,1.24224,1.2447300000000001,1.24306,1.24487,1.24224,1.2447300000000001,1.24306,1.24487,1.24224,1.2447300000000001,,False,False
24,USDCAD,H1,2021-07-07 16:00:00,2021-07-07T16:00:00,10064,1.2447300000000001,1.24542,1.24273,1.24445,1.2447300000000001,1.24542,1.24273,1.24445,1.2447300000000001,1.24542,1.24273,1.24445,,False,False
25,USDCAD,H1,2021-07-07 17:00:00,2021-07-07T17:00:00,21901,1.2444600000000001,1.25187,1.24439,1.25064,1.2444600000000001,1.25187,1.24439,1.25064,1.2444600000000001,1.25187,1.24439,1.25064,,False,False
26,USDCAD,H1,2021-07-07 18:00:00,2021-07-07T18:00:00,8719,1.2506300000000001,1.25107,1.24997,1.2507,1.2506300000000001,1.25107,1.24997,1.2507,1.2506300000000001,1.25107,1.24997,1.2507,,False,False
27,USDCAD,H1,2021-07-07 19:00:00,2021-07-07T19:00:00,6386,1.25071,1.25072,1.24806,1.24823,1.25071,1.25072,1.24806,1.24823,1.25071,1.25072,1.24806,1.24823,,False,False
28,USDCAD,H1,2021-07-07 20:00:00,2021-07-07T20:00:00,5871,1.24823,1.24861,1.24681,1.24859,1.24823,1.24861,1.24681,1.24859,1.24823,1.24861,1.24681,1.24859,,False,False
29,USDCAD,H1,2021-07-07 21:00:00,2021-07-07T21:00:00,21150,1.24859,1.24881,1.24478,1.24754,1.24859,1.24881,1.24478,1.24754,1.24859,1.24881,1.24478,1.24754,,False,False
30,USDCAD,H1,2021-07-07 22:00:00,2021-07-07T22:00:00,6320,1.24753,1.24889,1.24738,1.24843,1.24753,1.24889,1.24738,1.24843,1.24753,1.24889,1.24738,1.24843,,False,False
31,USDCAD,H1,2021-07-07 23:00:00,2021-07-07T23:00:00,1918,1.24843,1.24887,1.2475100000000001,1.2475100000000001,1.24843,1.24887,1.2475100000000001,1.2475100000000001,1.24843,1.24887,1.2475100000000001,1.2475100000000001,,False,False
32,USDCAD,H1,2021-07-08 00:00:00,2021-07-08T00:00:00,309,1.2475100000000001,1.24847,1.24664,1.24784,1.2475100000000001,1.24847,1.24664,1.24784,1.2475100000000001,1.24847,1.24664,1.24784,,False,False
33,USDCAD,H1,2021-07-08 01:00:00,2021-07-08T01:00:00,515,1.24784,1.24826,1.24784,1.24791,1.24784,1.24826,1.24784,1.24791,1.24784,1.24826,1.24784,1.24791,0.001520441176470655,False,False
34,USDCAD,H1,2021-07-08 02:00:00,2021-07-08T02:00:00,725,1.24791,1.24835,1.24774,1.24814,1.24791,1.24835,1.24774,1.24814,1.24791,1.24835,1.24774,1.24814,0.0015252941176471246,False,False
35,USDCAD,H1,2021-07-08 03:00:00,2021-07-08T03:00:00,3509,1.24814,1.25017,1.2477800000000001,1.24991,1.24814,1.25017,1.2477800000000001,1.24991,1.24814,1.25017,1.2477800000000001,1.24991,0.0015721176470588905,False,False
36,USDCAD,H1,2021-07-08 04:00:00,2021-07-08T04:00:00,3983,1.24991,1.2515,1.24961,1.25138,1.24991,1.2515,1.24961,1.25138,1.24991,1.2515,1.24961,1.25138,0.001963941176470696,False,False
37,USDCAD,H1,2021-07-08 05:00:00,2021-07-08T05:00:00,3562,1.25138,1.25165,1.25085,1.2509299999999999,1.25138,1.25165,1.25085,1.2509299999999999,1.25138,1.25165,1.25085,1.2509299999999999,0.002601029411764877,False,False
38,USDCAD,H1,2021-07-08 06:00:00,2021-07-08T06:00:00,2873,1.2509299999999999,1.25195,1.25051,1.25186,1.2509299999999999,1.25195,1.25051,1.25186,1.2509299999999999,1.25195,1.25051,1.25186,0.0031151176470589625,False,False
39,USDCAD,H1,2021-07-08 07:00:00,2021-07-08T07:00:00,2211,1.25186,1.25257,1.25176,1.2521499999999999,1.25186,1.25257,1.25176,1.2521499999999999,1.25186,1.25257,1.25176,1.2521499999999999,0.00375485294117639,False,False
40,USDCAD,H1,2021-07-08 08:00:00,2021-07-08T08:00:00,3112,1.2521499999999999,1.25292,1.25195,1.25208,1.2521499999999999,1.25292,1.25195,1.25208,1.2521499999999999,1.25292,1.25195,1.25208,0.004254794117647176,False,False
41,USDCAD,H1,2021-07-08 09:00:00,2021-07-08T09:00:00,5605,1.25208,1.2548,1.2518799999999999,1.25458,1.25208,1.2548,1.2518799999999999,1.25458,1.25208,1.2548,1.2518799999999999,1.25458,0.004591794117646986,False,False
42,USDCAD,H1,2021-07-08 10:00:00,2021-07-08T10:00:00,11315,1.25458,1.2563900000000001,1.25427,1.2548300000000001,1.25458,1.2563900000000001,1.25427,1.2548300000000001,1.25458,1.2563900000000001,1.25427,1.2548300000000001,0.005125441176470513,False,False
43,USDCAD,H1,2021-07-08 11:00:00,2021-07-08T11:00:00,10734,1.2548300000000001,1.2573699999999999,1.2548300000000001,1.25645,1.2548300000000001,1.2573699999999999,1.2548300000000001,1.25645,1.2548300000000001,1.2573699999999999,1.2548300000000001,1.25645,0.005800911764705763,False,False
44,USDCAD,H1,2021-07-08 12:00:00,2021-07-08T12:00:00,9405,1.25645,1.2573699999999999,1.2551,1.25641,1.25645,1.2573699999999999,1.2551,1.25641,1.25645,1.2573699999999999,1.2551,1.25641,0.006308147058823543,False,False
45,USDCAD,H1,2021-07-08 13:00:00,2021-07-08T13:00:00,11936,1.25641,1.25898,1.25514,1.25565,1.25641,1.25898,1.25514,1.25565,1.25641,1.25898,1.25514,1.25565,0.006920352941176322,False,False
46,USDCAD,H1,2021-07-08 14:00:00,2021-07-08T14:00:00,9512,1.25564,1.2563,1.25378,1.25628,1.25564,1.2563,1.25378,1.25628,1.25564,1.2563,1.25378,1.25628,0.007019764705882281,False,False
47,USDCAD,H1,2021-07-08 15:00:00,2021-07-08T15:00:00,14533,1.25628,1.25842,1.25555,1.25824,1.25628,1.25842,1.25555,1.25824,1.25628,1.25842,1.25555,1.25824,0.00705694117647071,False,False
48,USDCAD,H1,2021-07-08 16:00:00,2021-07-08T16:00:00,18630,1.25824,1.2582900000000001,1.25319,1.25374,1.25824,1.2582900000000001,1.25319,1.25374,1.25824,1.2582900000000001,1.25319,1.25374,0.006722588235294369,False,False
49,USDCAD,H1,2021-07-08 17:00:00,2021-07-08T17:00:00,20092,1.25373,1.25574,1.25296,1.25498,1.25373,1.25574,1.25296,1.25498,1.25373,1.25574,1.25296,1.25498,0.006117058823529309,False,False
50,USDCAD,H1,2021-07-08 18:00:00,2021-07-08T18:00:00,10986,1.25495,1.2551,1.2524899999999999,1.2533699999999999,1.25495,1.2551,1.2524899999999999,1.2533699999999999,1.25495,1.2551,1.2524899999999999,1.2533699999999999,0.005249941176470596,False,False
51,USDCAD,H1,2021-07-08 19:00:00,2021-07-08T19:00:00,5397,1.2533699999999999,1.25356,1.25221,1.25241,1.2533699999999999,1.25356,1.25221,1.25241,1.2533699999999999,1.25356,1.25221,1.25241,0.004614823529411671,False,False
52,USDCAD,H1,2021-07-08 20:00:00,2021-07-08T20:00:00,5751,1.25241,1.25343,1.25168,1.25176,1.25241,1.25343,1.25168,1.25176,1.25241,1.25343,1.25168,1.25176,0.003509264705882309,False,False
53,USDCAD,H1,2021-07-08 21:00:00,2021-07-08T21:00:00,4904,1.25176,1.25329,1.25174,1.25323,1.25176,1.25329,1.25174,1.25323,1.25176,1.25329,1.25174,1.25323,0.0026255882352943516,False,False
