,instrument,granularity,time,stringTime,volume,bidOpen,bidHigh,bidLow,bidClose,midOpen,midHigh,midLow,midClose,askOpen,askHigh,askLow,askClose,ao,bull_signal_ao,bear_signal_ao
0,USDCAD,M5,2022-03-28 03:15:00,2022-03-28T03:15:00,121,1.24821,1.2482199999999999,1.24773,1.24797,1.24821,1.2482199999999999,1.24773,1.24797,1.24821,1.2482199999999999,1.24773,1.24797,,False,False
1,USDCAD,M5,2022-03-28 03:20:00,2022-03-28T03:20:00,53,1.24797,1.2482,1.24791,1.2482,1.24797,1.2482,1.24791,1.2482,1.24797,1.2482,1.24791,1.2482,,False,False
2,USDCAD,M5,2022-03-28 03:25:00,2022-03-28T03:25:00,125,1.2482,1.24839,1.24794,1.24803,1.2482,1.24839,1.24794,1.24803,1.2482,1.24839,1.24794,1.24803,,False,False
3,USDCAD,M5,2022-03-28 03:30:00,2022-03-28T03:30:00,63,1.24808,1.24836,1.24808,1.24831,1.24808,1.24836,1.24808,1.24831,1.24808,1.24836,1.24808,1.24831,,False,False
4,USDCAD,M5,2022-03-28 03:35:00,2022-03-28T03:35:00,59,1.24831,1.24841,1.24825,1.24832,1.24831,1.24841,1.24825,1.24832,1.24831,1.24841,1.24825,1.24832,,False,False
5,USDCAD,M5,2022-03-28 03:40:00,2022-03-28T03:40:00,46,1.24832,1.24844,1.24824,1.24824,1.24832,1.24844,1.24824,1.24824,1.24832,1.24844,1.24824,1.24824,,False,False
6,USDCAD,M5,2022-03-28 03:45:00,2022-03-28T03:45:00,60,1.24824,1.2486,1.24817,1.2486,1.24824,1.2486,1.24817,1.2486,1.24824,1.2486,1.24817,1.2486,,False,False
7,USDCAD,M5,2022-03-28 03:50:00,2022-03-28T03:50:00,45,1.24859,1.24859,1.24851,1.24854,1.24859,1.24859,1.24851,1.24854,1.24859,1.24859,1.24851,1.24854,,False,False
8,USDCAD,M5,2022-03-28 03:55:00,2022-03-28T03:55:00,74,1.24853,1.24864,1.24851,1.24864,1.24853,1.24864,1.24851,1.24864,1.24853,1.24864,1.24851,1.24864,,False,False
9,USDCAD,M5,2022-03-28 04:00:00,2022-03-28T04:00:00,166,1.24864,1.24864,1.24795,1.24807,1.24864,1.24864,1.24795,1.24807,1.24864,1.24864,1.24795,1.24807,,False,False
10,USDCAD,M5,2022-03-28 04:05:00,2022-03-28T04:05:00,168,1.24807,1.24817,1.24786,1.24793,1.24807,1.24817,1.24786,1.24793,1.24807,1.24817,1.24786,1.24793,,False,False
11,USDCAD,M5,2022-03-28 04:10:00,2022-03-28T04:10:00,135,1.24793,1.24801,1.24766,1.24799,1.24793,1.24801,1.24766,1.24799,1.24793,1.24801,1.24766,1.24799,,False,False
12,USDCAD,M5,2022-03-28 04:15:00,2022-03-28T04:15:00,119,1.24799,1.24816,1.24776,1.24811,1.24799,1.24816,1.24776,1.24811,1.24799,1.24816,1.24776,1.24811,,False,False
13,USDCAD,M5,2022-03-28 04:20:00,2022-03-28T04:20:00,159,1.24811,1.24865,1.24798,1.24851,1.24811,1.24865,1.24798,1.24851,1.24811,1.24865,1.24798,1.24851,,False,False
14,USDCAD,M5,2022-03-28 04:25:00,2022-03-28T04:25:00,190,1.24851,1.24871,1.2485,1.24862,1.24851,1.24871,1.2485,1.24862,1.24851,1.24871,1.2485,1.24862,,False,False
15,USDCAD,M5,2022-03-28 04:30:00,2022-03-28T04:30:00,125,1.24862,1.24918,1.24861,1.24918,1.24862,1.24918,1.24861,1.24918,1.24862,1.24918,1.24861,1.24918,,False,False
16,USDCAD,M5,2022-03-28 04:35:00,2022-03-28T04:35:00,116,1.24918,1.24945,1.24918,1.24943,1.24918,1.24945,1.24918,1.24943,1.24918,1.24945,1.24918,1.24943,,False,False
17,USDCAD,M5,2022-03-28 04:40:00,2022-03-28T04:40:00,111,1.24943,1.24946,1.24927,1.24933,1.24943,1.24946,1.24927,1.24933,1.24943,1.24946,1.24927,1.24933,,False,False
18,USDCAD,M5,2022-03-28 04:45:00,2022-03-28T04:45:00,119,1.24933,1.24958,1.24929,1.24958,1.24933,1.24958,1.24929,1.24958,1.24933,1.24958,1.24929,1.24958,,False,False
19,USDCAD,M5,2022-03-28 04:50:00,2022-03-28T04:50:00,161,1.24958,1.24979,1.24952,1.24975,1.24958,1.24979,1.24952,1.24975,1.24958,1.24979,1.24952,1.24975,,False,False
20,USDCAD,M5,2022-03-28 04:55:00,2022-03-28T04:55:00,224,1.24975,1.24985,1.24933,1.24942,1.24975,1.24985,1.24933,1.24942,1.24975,1.24985,1.24933,1.24942,,False,False
21,USDCAD,M5,2022-03-28 05:00:00,2022-03-28T05:00:00,208,1.24942,1.24965,1.24937,1.24956,1.24942,1.24965,1.24937,1.24956,1.24942,1.24965,1.24937,1.24956,,False,False
22,USDCAD,M5,2022-03-28 05:05:00,2022-03-28T05:05:00,147,1.24957,1.24959,1.24897,1.24897,1.24957,1.24959,1.24897,1.24897,1.24957,1.24959,1.24897,1.24897,,False,False
23,USDCAD,M5,2022-03-28 05:10:00,2022-03-28T05:10:00,303,1.24896,1.24942,1.24884,1.24918,1.24896,1.24942,1.24884,1.24918,1.24896,1.24942,1.24884,1.24918,,False,False
24,USDCAD,M5,2022-03-28 05:15:00,2022-03-28T05:15:00,388,1.24921,1.24951,1.24902,1.24941,1.24921,1.24951,1.24902,1.24941,1.24921,1.24951,1.24902,1.24941,,False,False
25,USDCAD,M5,2022-03-28 05:20:00,2022-03-28T05:20:00,215,1.24941,1.2496800000000001,1.24936,1.24958,1.24941,1.2496800000000001,1.24936,1.24958,1.24941,1.2496800000000001,1.24936,1.24958,,False,False
26,USDCAD,M5,2022-03-28 05:25:00,2022-03-28T05:25:00,232,1.2496,1.2499,1.24955,1.24973,1.2496,1.2499,1.24955,1.24973,1.2496,1.2499,1.24955,1.24973,,False,False
27,USDCAD,M5,2022-03-28 05:30:00,2022-03-28T05:30:00,196,1.24973,1.24979,1.24946,1.2496800000000001,1.24973,1.24979,1.24946,1.2496800000000001,1.24973,1.24979,1.24946,1.2496800000000001,,False,False
28,USDCAD,M5,2022-03-28 05:35:00,2022-03-28T05:35:00,174,1.2496800000000001,1.24988,1.24942,1.24942,1.2496800000000001,1.24988,1.24942,1.24942,1.2496800000000001,1.24988,1.24942,1.24942,,False,False
29,USDCAD,M5,2022-03-28 05:40:00,2022-03-28T05:40:00,93,1.24942,1.24969,1.24942,1.24965,1.24942,1.24969,1.24942,1.24965,1.24942,1.24969,1.24942,1.24965,,False,False
30,USDCAD,M5,2022-03-28 05:45:00,2022-03-28T05:45:00,170,1.24965,1.2499500000000001,1.24958,1.24981,1.24965,1.2499500000000001,1.24958,1.24981,1.24965,1.2499500000000001,1.24958,1.24981,,False,False
31,USDCAD,M5,2022-03-28 05:50:00,2022-03-28T05:50:00,205,1.24981,1.24991,1.24965,1.2496800000000001,1.24981,1.24991,1.24965,1.2496800000000001,1.24981,1.24991,1.24965,1.2496800000000001,,False,False
32,USDCAD,M5,2022-03-28 05:55:00,2022-03-28T05:55:00,235,1.2496800000000001,1.24972,1.24925,1.24937,1.2496800000000001,1.24972,1.24925,1.24937,1.2496800000000001,1.24972,1.24925,1.24937,,False,False
33,USDCAD,M5,2022-03-28 06:00:00,2022-03-28T06:00:00,410,1.24938,1.24942,1.24843,1.24856,1.24938,1.24942,1.24843,1.24856,1.24938,1.24942,1.24843,1.24856,0.0005875882352941453,False,False
34,USDCAD,M5,2022-03-28 06:05:00,2022-03-28T06:05:00,260,1.24856,1.24863,1.24821,1.24831,1.24856,1.24863,1.24821,1.24831,1.24856,1.24863,1.24821,1.24831,0.00034749999999972303,False,False
