,instrument,granularity,time,stringTime,volume,bidOpen,bidHigh,bidLow,bidClose,midOpen,midHigh,midLow,midClose,askOpen,askHigh,askLow,askClose,ao,bull_signal_ao,bear_signal_ao
0,USDCHF,H1,2021-07-06 16:00:00,2021-07-06T16:00:00,9521,0.92358,0.9245,0.92299,0.92327,0.92358,0.9245,0.92299,0.92327,0.92358,0.9245,0.92299,0.92327,,False,False
1,USDCHF,H1,2021-07-06 17:00:00,2021-07-06T17:00:00,13292,0.92328,0.92479,0.92267,0.92368,0.92328,0.92479,0.92267,0.92368,0.92328,0.92479,0.92267,0.92368,,False,False
2,USDCHF,H1,2021-07-06 18:00:00,2021-07-06T18:00:00,7598,0.92368,0.92483,0.92345,0.92432,0.92368,0.92483,0.92345,0.92432,0.92368,0.92483,0.92345,0.92432,,False,False
3,USDCHF,H1,2021-07-06 19:00:00,2021-07-06T19:00:00,6442,0.92432,0.92509,0.9243,0.92479,0.92432,0.92509,0.9243,0.92479,0.92432,0.92509,0.9243,0.92479,,False,False
4,USDCHF,H1,2021-07-06 20:00:00,2021-07-06T20:00:00,2919,0.92479,0.925,0.9242,0.92431,0.92479,0.925,0.9242,0.92431,0.92479,0.925,0.9242,0.92431,,False,False
5,USDCHF,H1,2021-07-06 21:00:00,2021-07-06T21:00:00,2187,0.92431,0.92478,0.92393,0.92475,0.92431,0.92478,0.92393,0.92475,0.92431,0.92478,0.92393,0.92475,,False,False
6,USDCHF,H1,2021-07-06 22:00:00,2021-07-06T22:00:00,1010,0.92476,0.92477,0.924,0.92453,0.92476,0.92477,0.924,0.92453,0.92476,0.92477,0.924,0.92453,,False,False
7,USDCHF,H1,2021-07-06 23:00:00,2021-07-06T23:00:00,1014,0.92453,0.9248,0.92375,0.92384,0.92453,0.9248,0.92375,0.92384,0.92453,0.9248,0.92375,0.92384,,False,False
8,USDCHF,H1,2021-07-07 00:00:00,2021-07-07T00:00:00,341,0.92384,0.92434,0.9229,0.92394,0.92384,0.92434,0.9229,0.92394,0.92384,0.92434,0.9229,0.92394,,False,False
9,USDCHF,H1,2021-07-07 01:00:00,2021-07-07T01:00:00,356,0.92394,0.92476,0.92359,0.92456,0.92394,0.92476,0.92359,0.92456,0.92394,0.92476,0.92359,0.92456,,False,False
