,instrument,granularity,time,stringTime,volume,bidOpen,bidHigh,bidLow,bidClose,midOpen,midHigh,midLow,midClose,askOpen,askHigh,askLow,askClose,ao,bull_signal_ao,bear_signal_ao
0,USDCHF,M5,2022-03-28 03:15:00,2022-03-28T03:15:00,44,0.93118,0.93139,0.93115,0.93133,0.93118,0.93139,0.93115,0.93133,0.93118,0.93139,0.93115,0.93133,,False,False
1,USDCHF,M5,2022-03-28 03:20:00,2022-03-28T03:20:00,24,0.93133,0.93133,0.93119,0.93123,0.93133,0.93133,0.93119,0.93123,0.93133,0.93133,0.93119,0.93123,,False,False
2,USDCHF,M5,2022-03-28 03:25:00,2022-03-28T03:25:00,31,0.93123,0.93129,0.93103,0.93111,0.93123,0.93129,0.93103,0.93111,0.93123,0.93129,0.93103,0.93111,,False,False
3,USDCHF,M5,2022-03-28 03:30:00,2022-03-28T03:30:00,21,0.93111,0.93118,0.93108,0.93116,0.93111,0.93118,0.93108,0.93116,0.93111,0.93118,0.93108,0.93116,,False,False
4,USDCHF,M5,2022-03-28 03:35:00,2022-03-28T03:35:00,42,0.93116,0.93121,0.93104,0.93105,0.93116,0.93121,0.93104,0.93105,0.93116,0.93121,0.93104,0.93105,,False,False
5,USDCHF,M5,2022-03-28 03:40:00,2022-03-28T03:40:00,45,0.93105,0.93109,0.93096,0.93101,0.93105,0.93109,0.93096,0.93101,0.93105,0.93109,0.93096,0.93101,,False,False
6,USDCHF,M5,2022-03-28 03:45:00,2022-03-28T03:45:00,61,0.93101,0.93119,0.93094,0.93118,0.93101,0.93119,0.93094,0.93118,0.93101,0.93119,0.93094,0.93118,,False,False
7,USDCHF,M5,2022-03-28 03:50:00,2022-03-28T03:50:00,52,0.93118,0.93134,0.93118,0.93129,0.93118,0.93134,0.93118,0.93129,0.93118,0.93134,0.93118,0.93129,,False,False
8,USDCHF,M5,2022-03-28 03:55:00,2022-03-28T03:55:00,50,0.93129,0.93129,0.93117,0.93123,0.93129,0.93129,0.93117,0.93123,0.93129,0.93129,0.93117,0.93123,,False,False
9,USDCHF,M5,2022-03-28 04:00:00,2022-03-28T04:00:00,101,0.93123,0.93124,0.93083,0.93089,0.93123,0.93124,0.93083,0.93089,0.93123,0.93124,0.93083,0.93089,,False,False
10,USDCHF,M5,2022-03-28 04:05:00,2022-03-28T04:05:00,73,0.93091,0.931,0.93074,0.93094,0.93091,0.931,0.93074,0.93094,0.93091,0.931,0.93074,0.93094,,False,False
11,USDCHF,M5,2022-03-28 04:10:00,2022-03-28T04:10:00,44,0.93094,0.93098,0.93082,0.93089,0.93094,0.93098,0.93082,0.93089,0.93094,0.93098,0.93082,0.93089,,False,False
12,USDCHF,M5,2022-03-28 04:15:00,2022-03-28T04:15:00,65,0.93089,0.93109,0.93089,0.93107,0.93089,0.93109,0.93089,0.93107,0.93089,0.93109,0.93089,0.93107,,False,False
13,USDCHF,M5,2022-03-28 04:20:00,2022-03-28T04:20:00,79,0.93108,0.93127,0.93108,0.93127,0.93108,0.93127,0.93108,0.93127,0.93108,0.93127,0.93108,0.93127,,False,False
14,USDCHF,M5,2022-03-28 04:25:00,2022-03-28T04:25:00,67,0.93127,0.93133,0.93119,0.93126,0.93127,0.93133,0.93119,0.93126,0.93127,0.93133,0.93119,0.93126,,False,False
15,USDCHF,M5,2022-03-28 04:30:00,2022-03-28T04:30:00,90,0.93126,0.93151,0.93125,0.93143,0.93126,0.93151,0.93125,0.93143,0.93126,0.93151,0.93125,0.93143,,False,False
