,instrument,granularity,time,stringTime,volume,bidOpen,bidHigh,bidLow,bidClose,midOpen,midHigh,midLow,midClose,askOpen,askHigh,askLow,askClose,ao,bull_signal_ao,bear_signal_ao
0,USDJPY,H1,2021-07-06 16:00:00,2021-07-06T16:00:00,9704,110.712,110.799,110.657,110.727,110.712,110.799,110.657,110.727,110.712,110.799,110.657,110.727,,False,False
1,USDJPY,H1,2021-07-06 17:00:00,2021-07-06T17:00:00,13219,110.727,110.727,110.514,110.563,110.727,110.727,110.514,110.563,110.727,110.727,110.514,110.563,,False,False
2,USDJPY,H1,2021-07-06 18:00:00,2021-07-06T18:00:00,8683,110.563,110.683,110.52,110.65,110.563,110.683,110.52,110.65,110.563,110.683,110.52,110.65,,False,False
3,USDJPY,H1,2021-07-06 19:00:00,2021-07-06T19:00:00,2865,110.65,110.675,110.593,110.625,110.65,110.675,110.593,110.625,110.65,110.675,110.593,110.625,,False,False
4,USDJPY,H1,2021-07-06 20:00:00,2021-07-06T20:00:00,1965,110.625,110.683,110.622,110.647,110.625,110.683,110.622,110.647,110.625,110.683,110.622,110.647,,False,False
5,USDJPY,H1,2021-07-06 21:00:00,2021-07-06T21:00:00,1569,110.647,110.666,110.597,110.609,110.647,110.666,110.597,110.609,110.647,110.666,110.597,110.609,,False,False
6,USDJPY,H1,2021-07-06 22:00:00,2021-07-06T22:00:00,1149,110.609,110.662,110.597,110.628,110.609,110.662,110.597,110.628,110.609,110.662,110.597,110.628,,False,False
7,USDJPY,H1,2021-07-06 23:00:00,2021-07-06T23:00:00,1904,110.628,110.651,110.591,110.61,110.628,110.651,110.591,110.61,110.628,110.651,110.591,110.61,,False,False
8,USDJPY,H1,2021-07-07 00:00:00,2021-07-07T00:00:00,171,110.61,110.624,110.592,110.622,110.61,110.624,110.592,110.622,110.61,110.624,110.592,110.622,,False,False
9,USDJPY,H1,2021-07-07 01:00:00,2021-07-07T01:00:00,6046,110.622,110.66,110.612,110.634,110.622,110.66,110.612,110.634,110.622,110.66,110.612,110.634,,False,False
10,USDJPY,H1,2021-07-07 02:00:00,2021-07-07T02:00:00,2713,110.634,110.655,110.56,110.596,110.634,110.655,110.56,110.596,110.634,110.655,110.56,110.596,,False,False
11,USDJPY,H1,2021-07-07 03:00:00,2021-07-07T03:00:00,8050,110.595,110.603,110.396,110.411,110.595,110.603,110.396,110.411,110.595,110.603,110.396,110.411,,False,False
12,USDJPY,H1,2021-07-07 04:00:00,2021-07-07T04:00:00,5944,110.411,110.478,110.389,110.424,110.411,110.478,110.389,110.424,110.411,110.478,110.389,110.424,,False,False
13,USDJPY,H1,2021-07-07 05:00:00,2021-07-07T05:00:00,2779,110.424,110.556,110.407,110.54,110.424,110.556,110.407,110.54,110.424,110.556,110.407,110.54,,False,False
14,USDJPY,H1,2021-07-07 06:00:00,2021-07-07T06:00:00,1661,110.54,110.616,110.519,110.593,110.54,110.616,110.519,110.593,110.54,110.616,110.519,110.593,,False,False
15,USDJPY,H1,2021-07-07 07:00:00,2021-07-07T07:00:00,3131,110.593,110.638,110.475,110.52,110.593,110.638,110.475,110.52,110.593,110.638,110.475,110.52,,False,False
16,USDJPY,H1,2021-07-07 08:00:00,2021-07-07T08:00:00,2964,110.52,110.6,110.508,110.588,110.52,110.6,110.508,110.588,110.52,110.6,110.508,110.588,,False,False
17,USDJPY,H1,2021-07-07 09:00:00,2021-07-07T09:00:00,3456,110.588,110.728,110.584,110.701,110.588,110.728,110.584,110.701,110.588,110.728,110.584,110.701,,False,False
18,USDJPY,H1,2021-07-07 10:00:00,2021-07-07T10:00:00,7029,110.701,110.735,110.597,110.628,110.701,110.735,110.597,110.628,110.701,110.735,110.597,110.628,,False,False
19,USDJPY,H1,2021-07-07 11:00:00,2021-07-07T11:00:00,3964,110.628,110.778,110.628,110.744,110.628,110.778,110.628,110.744,110.628,110.778,110.628,110.744,,False,False
20,USDJPY,H1,2021-07-07 12:00:00,2021-07-07T12:00:00,2738,110.744,110.787,110.709,110.738,110.744,110.787,110.709,110.738,110.744,110.787,110.709,110.738,,False,False
21,USDJPY,H1,2021-07-07 13:00:00,2021-07-07T13:00:00,2879,110.738,110.81,110.73,110.743,110.738,110.81,110.73,110.743,110.738,110.81,110.73,110.743,,False,False
22,USDJPY,H1,2021-07-07 14:00:00,2021-07-07T14:00:00,3769,110.743,110.754,110.645,110.676,110.743,110.754,110.645,110.676,110.743,110.754,110.645,110.676,,False,False
23,USDJPY,H1,2021-07-07 15:00:00,2021-07-07T15:00:00,8930,110.676,110.682,110.501,110.58,110.676,110.682,110.501,110.58,110.676,110.682,110.501,110.58,,False,False
24,USDJPY,H1,2021-07-07 16:00:00,2021-07-07T16:00:00,9577,110.58,110.796,110.568,110.691,110.58,110.796,110.568,110.691,110.58,110.796,110.568,110.691,,False,False
25,USDJPY,H1,2021-07-07 17:00:00,2021-07-07T17:00:00,9137,110.691,110.808,110.629,110.654,110.691,110.808,110.629,110.654,110.691,110.808,110.629,110.654,,False,False
26,USDJPY,H1,2021-07-07 18:00:00,2021-07-07T18:00:00,3900,110.654,110.708,110.599,110.616,110.654,110.708,110.599,110.616,110.654,110.708,110.599,110.616,,False,False
27,USDJPY,H1,2021-07-07 19:00:00,2021-07-07T19:00:00,1430,110.616,110.681,110.599,110.665,110.616,110.681,110.599,110.665,110.616,110.681,110.599,110.665,,False,False
28,USDJPY,H1,2021-07-07 20:00:00,2021-07-07T20:00:00,1972,110.665,110.72,110.64,110.654,110.665,110.72,110.64,110.654,110.665,110.72,110.64,110.654,,False,False
29,USDJPY,H1,2021-07-07 21:00:00,2021-07-07T21:00:00,8114,110.654,110.687,110.532,110.612,110.654,110.687,110.532,110.612,110.654,110.687,110.532,110.612,,False,False
30,USDJPY,H1,2021-07-07 22:00:00,2021-07-07T22:00:00,2363,110.612,110.628,110.562,110.602,110.612,110.628,110.562,110.602,110.612,110.628,110.562,110.602,,False,False
31,USDJPY,H1,2021-07-07 23:00:00,2021-07-07T23:00:00,1835,110.602,110.652,110.579,110.589,110.602,110.652,110.579,110.589,110.602,110.652,110.579,110.589,,False,False
32,USDJPY,H1,2021-07-08 00:00:00,2021-07-08T00:00:00,385,110.658,110.658,110.555,110.63,110.658,110.658,110.555,110.63,110.658,110.658,110.555,110.63,,False,False
33,USDJPY,H1,2021-07-08 01:00:00,2021-07-08T01:00:00,1486,110.629,110.667,110.588,110.599,110.629,110.667,110.588,110.599,110.629,110.667,110.588,110.599,-0.016391176470591517,False,False
34,USDJPY,H1,2021-07-08 02:00:00,2021-07-08T02:00:00,1020,110.599,110.63,110.587,110.63,110.599,110.63,110.587,110.63,110.599,110.63,110.587,110.63,-0.01307647058823136,False,False
35,USDJPY,H1,2021-07-08 03:00:00,2021-07-08T03:00:00,5107,110.631,110.645,110.502,110.535,110.631,110.645,110.502,110.535,110.631,110.645,110.502,110.535,-0.01599411764705394,False,False
36,USDJPY,H1,2021-07-08 04:00:00,2021-07-08T04:00:00,5120,110.535,110.538,110.454,110.495,110.535,110.538,110.454,110.495,110.535,110.538,110.454,110.495,-0.036791176470586606,False,False
37,USDJPY,H1,2021-07-08 05:00:00,2021-07-08T05:00:00,4414,110.496,110.602,110.416,110.576,110.496,110.602,110.416,110.576,110.496,110.602,110.416,110.576,-0.05261470588237671,False,False
38,USDJPY,H1,2021-07-08 06:00:00,2021-07-08T06:00:00,2319,110.575,110.617,110.55,110.56,110.575,110.617,110.55,110.56,110.575,110.617,110.55,110.56,-0.05938529411764648,False,False
39,USDJPY,H1,2021-07-08 07:00:00,2021-07-08T07:00:00,2528,110.56,110.561,110.514,110.524,110.56,110.561,110.514,110.524,110.56,110.561,110.514,110.524,-0.07082058823527859,False,False
