,instrument,granularity,time,stringTime,volume,bidOpen,bidHigh,bidLow,bidClose,midOpen,midHigh,midLow,midClose,askOpen,askHigh,askLow,askClose,ao,bull_signal_ao,bear_signal_ao
0,XAUUSD,D1,2003-05-09,2003-05-09T00:00:00,1959,348.65,349.62,346.2,348.55,348.65,349.62,346.2,348.55,348.65,349.62,346.2,348.55,,False,False
1,XAUUSD,D1,2003-05-12,2003-05-12T00:00:00,2133,348.8,352.85,348.47,351.25,348.8,352.85,348.47,351.25,348.8,352.85,348.47,351.25,,False,False
2,XAUUSD,D1,2003-05-13,2003-05-13T00:00:00,1627,351.5,352.25,348.55,349.71,351.5,352.25,348.55,349.71,351.5,352.25,348.55,349.71,,False,False
3,XAUUSD,D1,2003-05-14,2003-05-14T00:00:00,2536,350.0,355.85,348.05,352.45,350.0,355.85,348.05,352.45,350.0,355.85,348.05,352.45,,False,False
4,XAUUSD,D1,2003-05-15,2003-05-15T00:00:00,2155,352.5,356.3,350.7,352.0,352.5,356.3,350.7,352.0,352.5,356.3,350.7,352.0,,False,False
5,XAUUSD,D1,2003-05-16,2003-05-16T00:00:00,2203,351.65,357.5,351.07,354.75,351.65,357.5,351.07,354.75,351.65,357.5,351.07,354.75,,False,False
6,XAUUSD,D1,2003-05-19,2003-05-19T00:00:00,1572,357.0,365.75,356.4,365.75,357.0,365.75,356.4,365.75,357.0,365.75,356.4,365.75,,False,False
7,XAUUSD,D1,2003-05-20,2003-05-20T00:00:00,2716,366.34,370.6,363.8,367.95,366.34,370.6,363.8,367.95,366.34,370.6,363.8,367.95,,False,False
8,XAUUSD,D1,2003-05-21,2003-05-21T00:00:00,2935,368.05,373.65,363.36,372.34,368.05,373.65,363.36,372.34,368.05,373.65,363.36,372.34,,False,False
9,XAUUSD,D1,2003-05-22,2003-05-22T00:00:00,2422,371.84,373.3,366.4,368.34,371.84,373.3,366.4,368.34,371.84,373.3,366.4,368.34,,False,False
10,XAUUSD,D1,2003-05-23,2003-05-23T00:00:00,2089,368.25,371.3,365.0,368.75,368.25,371.3,365.0,368.75,368.25,371.3,365.0,368.75,,False,False
11,XAUUSD,D1,2003-05-26,2003-05-26T00:00:00,434,368.0,371.36,367.3,370.65,368.0,371.36,367.3,370.65,368.0,371.36,367.3,370.65,,False,False
12,XAUUSD,D1,2003-05-27,2003-05-27T00:00:00,2327,370.61,375.02,364.5,365.11,370.61,375.02,364.5,365.11,370.61,375.02,364.5,365.11,,False,False
13,XAUUSD,D1,2003-05-28,2003-05-28T00:00:00,2150,364.95,367.3,358.3,364.52,364.95,367.3,358.3,364.52,364.95,367.3,358.3,364.52,,False,False
14,XAUUSD,D1,2003-05-29,2003-05-29T00:00:00,2266,366.11,370.35,359.4,369.25,366.11,370.35,359.4,369.25,366.11,370.35,359.4,369.25,,False,False
