,instrument,granularity,time,stringTime,volume,bidOpen,bidHigh,bidLow,bidClose,midOpen,midHigh,midLow,midClose,askOpen,askHigh,askLow,askClose,ao,bull_signal_ao,bear_signal_ao
0,XAUUSD,H1,2021-06-18 22:00:00,2021-06-18T22:00:00,14045,1770.68,1772.56,1761.55,1761.9,1770.68,1772.56,1761.55,1761.9,1770.68,1772.56,1761.55,1761.9,,False,False
1,XAUUSD,H1,2021-06-18 23:00:00,2021-06-18T23:00:00,6318,1761.93,1765.75,1760.91,1763.92,1761.93,1765.75,1760.91,1763.92,1761.93,1765.75,1760.91,1763.92,,False,False
2,XAUUSD,H1,2021-06-21 01:00:00,2021-06-21T01:00:00,5256,1766.98,1769.88,1766.75,1768.55,1766.98,1769.88,1766.75,1768.55,1766.98,1769.88,1766.75,1768.55,,False,False
3,XAUUSD,H1,2021-06-21 02:00:00,2021-06-21T02:00:00,5388,1768.57,1770.07,1766.7,1769.35,1768.57,1770.07,1766.7,1769.35,1768.57,1770.07,1766.7,1769.35,,False,False
4,XAUUSD,H1,2021-06-21 03:00:00,2021-06-21T03:00:00,48149,1769.35,1773.25,1768.54,1773.16,1769.35,1773.25,1768.54,1773.16,1769.35,1773.25,1768.54,1773.16,,False,False
5,XAUUSD,H1,2021-06-21 04:00:00,2021-06-21T04:00:00,35339,1773.18,1773.93,1770.71,1771.45,1773.18,1773.93,1770.71,1771.45,1773.18,1773.93,1770.71,1771.45,,False,False
6,XAUUSD,H1,2021-06-21 05:00:00,2021-06-21T05:00:00,34012,1771.45,1776.03,1771.2,1775.91,1771.45,1776.03,1771.2,1775.91,1771.45,1776.03,1771.2,1775.91,,False,False
7,XAUUSD,H1,2021-06-21 06:00:00,2021-06-21T06:00:00,28214,1775.91,1776.86,1773.85,1774.54,1775.91,1776.86,1773.85,1774.54,1775.91,1776.86,1773.85,1774.54,,False,False
8,XAUUSD,H1,2021-06-21 07:00:00,2021-06-21T07:00:00,11016,1774.53,1775.4,1772.8,1773.18,1774.53,1775.4,1772.8,1773.18,1774.53,1775.4,1772.8,1773.18,,False,False
9,XAUUSD,H1,2021-06-21 08:00:00,2021-06-21T08:00:00,26571,1773.19,1773.58,1766.43,1773.23,1773.19,1773.58,1766.43,1773.23,1773.19,1773.58,1766.43,1773.23,,False,False
10,XAUUSD,H1,2021-06-21 09:00:00,2021-06-21T09:00:00,32796,1773.23,1780.07,1772.51,1778.4,1773.23,1780.07,1772.51,1778.4,1773.23,1780.07,1772.51,1778.4,,False,False
11,XAUUSD,H1,2021-06-21 10:00:00,2021-06-21T10:00:00,22950,1778.4,1779.95,1774.2,1778.69,1778.4,1779.95,1774.2,1778.69,1778.4,1779.95,1774.2,1778.69,,False,False
12,XAUUSD,H1,2021-06-21 11:00:00,2021-06-21T11:00:00,19223,1778.69,1785.66,1777.87,1784.95,1778.69,1785.66,1777.87,1784.95,1778.69,1785.66,1777.87,1784.95,,False,False
13,XAUUSD,H1,2021-06-21 12:00:00,2021-06-21T12:00:00,17562,1784.96,1785.84,1782.19,1783.97,1784.96,1785.84,1782.19,1783.97,1784.96,1785.84,1782.19,1783.97,,False,False
14,XAUUSD,H1,2021-06-21 13:00:00,2021-06-21T13:00:00,15720,1783.98,1784.82,1781.82,1782.98,1783.98,1784.82,1781.82,1782.98,1783.98,1784.82,1781.82,1782.98,,False,False
15,XAUUSD,H1,2021-06-21 14:00:00,2021-06-21T14:00:00,15404,1783.0,1784.54,1782.04,1782.62,1783.0,1784.54,1782.04,1782.62,1783.0,1784.54,1782.04,1782.62,,False,False
16,XAUUSD,H1,2021-06-21 15:00:00,2021-06-21T15:00:00,37213,1782.62,1782.97,1773.83,1775.01,1782.62,1782.97,1773.83,1775.01,1782.62,1782.97,1773.83,1775.01,,False,False
17,XAUUSD,H1,2021-06-21 16:00:00,2021-06-21T16:00:00,58279,1775.03,1779.77,1773.68,1775.15,1775.03,1779.77,1773.68,1775.15,1775.03,1779.77,1773.68,1775.15,,False,False
18,XAUUSD,H1,2021-06-21 17:00:00,2021-06-21T17:00:00,49375,1775.15,1783.64,1773.5,1782.6,1775.15,1783.64,1773.5,1782.6,1775.15,1783.64,1773.5,1782.6,,False,False
19,XAUUSD,H1,2021-06-21 18:00:00,2021-06-21T18:00:00,22492,1782.6,1786.55,1781.69,1783.46,1782.6,1786.55,1781.69,1783.46,1782.6,1786.55,1781.69,1783.46,,False,False
20,XAUUSD,H1,2021-06-21 19:00:00,2021-06-21T19:00:00,11603,1783.46,1784.15,1782.04,1783.16,1783.46,1784.15,1782.04,1783.16,1783.46,1784.15,1782.04,1783.16,,False,False
21,XAUUSD,H1,2021-06-21 20:00:00,2021-06-21T20:00:00,13423,1783.16,1783.61,1782.08,1782.84,1783.16,1783.61,1782.08,1782.84,1783.16,1783.61,1782.08,1782.84,,False,False
22,XAUUSD,H1,2021-06-21 21:00:00,2021-06-21T21:00:00,11915,1782.84,1784.39,1782.4,1783.85,1782.84,1784.39,1782.4,1783.85,1782.84,1784.39,1782.4,1783.85,,False,False
