,instrument,granularity,time,stringTime,volume,bidOpen,bidHigh,bidLow,bidClose,midOpen,midHigh,midLow,midClose,askOpen,askHigh,askLow,askClose,ao,bull_signal_ao,bear_signal_ao
0,XAUUSD,M5,2022-03-28 20:45:00,2022-03-28T20:45:00,454,1938.49,1938.69,1937.97,1937.98,1938.49,1938.69,1937.97,1937.98,1938.49,1938.69,1937.97,1937.98,,False,False
1,XAUUSD,M5,2022-03-28 20:50:00,2022-03-28T20:50:00,414,1938.01,1938.82,1938.01,1938.39,1938.01,1938.82,1938.01,1938.39,1938.01,1938.82,1938.01,1938.39,,False,False
2,XAUUSD,M5,2022-03-28 20:55:00,2022-03-28T20:55:00,466,1938.39,1938.91,1937.98,1938.47,1938.39,1938.91,1937.98,1938.47,1938.39,1938.91,1937.98,1938.47,,False,False
3,XAUUSD,M5,2022-03-28 21:00:00,2022-03-28T21:00:00,842,1938.46,1939.63,1938.33,1938.78,1938.46,1939.63,1938.33,1938.78,1938.46,1939.63,1938.33,1938.78,,False,False
4,XAUUSD,M5,2022-03-28 21:05:00,2022-03-28T21:05:00,637,1938.77,1939.85,1938.75,1939.5,1938.77,1939.85,1938.75,1939.5,1938.77,1939.85,1938.75,1939.5,,False,False
5,XAUUSD,M5,2022-03-28 21:10:00,2022-03-28T21:10:00,562,1939.5,1939.52,1938.63,1938.75,1939.5,1939.52,1938.63,1938.75,1939.5,1939.52,1938.63,1938.75,,False,False
6,XAUUSD,M5,2022-03-28 21:15:00,2022-03-28T21:15:00,498,1938.76,1939.35,1938.64,1939.34,1938.76,1939.35,1938.64,1939.34,1938.76,1939.35,1938.64,1939.34,,False,False
7,XAUUSD,M5,2022-03-28 21:20:00,2022-03-28T21:20:00,570,1939.35,1939.52,1938.62,1938.71,1939.35,1939.52,1938.62,1938.71,1939.35,1939.52,1938.62,1938.71,,False,False
8,XAUUSD,M5,2022-03-28 21:25:00,2022-03-28T21:25:00,931,1938.71,1939.84,1938.69,1939.73,1938.71,1939.84,1938.69,1939.73,1938.71,1939.84,1938.69,1939.73,,False,False
9,XAUUSD,M5,2022-03-28 21:30:00,2022-03-28T21:30:00,612,1939.73,1940.08,1938.09,1938.1,1939.73,1940.08,1938.09,1938.1,1939.73,1940.08,1938.09,1938.1,,False,False
10,XAUUSD,M5,2022-03-28 21:35:00,2022-03-28T21:35:00,535,1938.11,1938.52,1937.16,1937.2,1938.11,1938.52,1937.16,1937.2,1938.11,1938.52,1937.16,1937.2,,False,False
11,XAUUSD,M5,2022-03-28 21:40:00,2022-03-28T21:40:00,458,1937.2,1937.24,1935.2,1935.75,1937.2,1937.24,1935.2,1935.75,1937.2,1937.24,1935.2,1935.75,,False,False
12,XAUUSD,M5,2022-03-28 21:45:00,2022-03-28T21:45:00,446,1935.75,1935.95,1935.32,1935.42,1935.75,1935.95,1935.32,1935.42,1935.75,1935.95,1935.32,1935.42,,False,False
13,XAUUSD,M5,2022-03-28 21:50:00,2022-03-28T21:50:00,407,1935.42,1935.61,1934.06,1934.85,1935.42,1935.61,1934.06,1934.85,1935.42,1935.61,1934.06,1934.85,,False,False
14,XAUUSD,M5,2022-03-28 21:55:00,2022-03-28T21:55:00,471,1934.84,1934.86,1933.6,1933.73,1934.84,1934.86,1933.6,1933.73,1934.84,1934.86,1933.6,1933.73,,False,False
15,XAUUSD,M5,2022-03-28 22:00:00,2022-03-28T22:00:00,476,1933.76,1934.12,1933.28,1933.34,1933.76,1934.12,1933.28,1933.34,1933.76,1934.12,1933.28,1933.34,,False,False
16,XAUUSD,M5,2022-03-28 22:05:00,2022-03-28T22:05:00,521,1933.34,1933.75,1932.86,1932.97,1933.34,1933.75,1932.86,1932.97,1933.34,1933.75,1932.86,1932.97,,False,False
17,XAUUSD,M5,2022-03-28 22:10:00,2022-03-28T22:10:00,533,1932.97,1934.02,1932.95,1933.59,1932.97,1934.02,1932.95,1933.59,1932.97,1934.02,1932.95,1933.59,,False,False
18,XAUUSD,M5,2022-03-28 22:15:00,2022-03-28T22:15:00,466,1933.59,1933.9,1932.8,1933.02,1933.59,1933.9,1932.8,1933.02,1933.59,1933.9,1932.8,1933.02,,False,False
19,XAUUSD,M5,2022-03-28 22:20:00,2022-03-28T22:20:00,466,1933.02,1933.03,1931.68,1931.86,1933.02,1933.03,1931.68,1931.86,1933.02,1933.03,1931.68,1931.86,,False,False
20,XAUUSD,M5,2022-03-28 22:25:00,2022-03-28T22:25:00,466,1931.86,1932.99,1931.77,1932.84,1931.86,1932.99,1931.77,1932.84,1931.86,1932.99,1931.77,1932.84,,False,False
21,XAUUSD,M5,2022-03-28 22:30:00,2022-03-28T22:30:00,346,1932.84,1933.88,1932.53,1933.87,1932.84,1933.88,1932.53,1933.87,1932.84,1933.88,1932.53,1933.87,,False,False
22,XAUUSD,M5,2022-03-28 22:35:00,2022-03-28T22:35:00,310,1933.87,1934.08,1933.41,1933.41,1933.87,1934.08,1933.41,1933.41,1933.87,1934.08,1933.41,1933.41,,False,False
23,XAUUSD,M5,2022-03-28 22:40:00,2022-03-28T22:40:00,355,1933.4,1934.45,1933.19,1933.48,1933.4,1934.45,1933.19,1933.48,1933.4,1934.45,1933.19,1933.48,,False,False
24,XAUUSD,M5,2022-03-28 22:45:00,2022-03-28T22:45:00,288,1933.5,1933.59,1932.6,1932.6,1933.5,1933.59,1932.6,1932.6,1933.5,1933.59,1932.6,1932.6,,False,False
25,XAUUSD,M5,2022-03-28 22:50:00,2022-03-28T22:50:00,777,1932.65,1932.67,1928.46,1929.17,1932.65,1932.67,1928.46,1929.17,1932.65,1932.67,1928.46,1929.17,,False,False
26,XAUUSD,M5,2022-03-28 22:55:00,2022-03-28T22:55:00,1112,1929.15,1929.25,1926.15,1927.5,1929.15,1929.25,1926.15,1927.5,1929.15,1929.25,1926.15,1927.5,,False,False
27,XAUUSD,M5,2022-03-28 23:00:00,2022-03-28T23:00:00,904,1927.5,1927.84,1926.03,1926.25,1927.5,1927.84,1926.03,1926.25,1927.5,1927.84,1926.03,1926.25,,False,False
28,XAUUSD,M5,2022-03-28 23:05:00,2022-03-28T23:05:00,1117,1926.25,1926.27,1922.05,1924.19,1926.25,1926.27,1922.05,1924.19,1926.25,1926.27,1922.05,1924.19,,False,False
29,XAUUSD,M5,2022-03-28 23:10:00,2022-03-28T23:10:00,666,1924.19,1926.67,1924.0,1926.33,1924.19,1926.67,1924.0,1926.33,1924.19,1926.67,1924.0,1926.33,,False,False
30,XAUUSD,M5,2022-03-28 23:15:00,2022-03-28T23:15:00,702,1926.32,1927.28,1925.83,1926.74,1926.32,1927.28,1925.83,1926.74,1926.32,1927.28,1925.83,1926.74,,False,False
31,XAUUSD,M5,2022-03-28 23:20:00,2022-03-28T23:20:00,724,1926.74,1926.74,1923.65,1923.89,1926.74,1926.74,1923.65,1923.89,1926.74,1926.74,1923.65,1923.89,,False,False
32,XAUUSD,M5,2022-03-28 23:25:00,2022-03-28T23:25:00,820,1923.86,1923.86,1921.7,1921.75,1923.86,1923.86,1921.7,1921.75,1923.86,1923.86,1921.7,1921.75,,False,False
33,XAUUSD,M5,2022-03-28 23:30:00,2022-03-28T23:30:00,976,1921.64,1922.09,1919.98,1921.7,1921.64,1922.09,1919.98,1921.7,1921.64,1922.09,1919.98,1921.7,-9.067647058823695,False,False
34,XAUUSD,M5,2022-03-28 23:35:00,2022-03-28T23:35:00,918,1921.7,1922.06,1920.27,1920.33,1921.7,1922.06,1920.27,1920.33,1921.7,1922.06,1920.27,1920.33,-9.396794117647232,False,False
35,XAUUSD,M5,2022-03-28 23:40:00,2022-03-28T23:40:00,1163,1920.26,1920.57,1917.19,1918.15,1920.26,1920.57,1917.19,1918.15,1920.26,1920.57,1917.19,1918.15,-10.357235294117572,False,False
36,XAUUSD,M5,2022-03-28 23:45:00,2022-03-28T23:45:00,1021,1918.12,1919.21,1917.02,1919.02,1918.12,1919.21,1917.02,1919.02,1918.12,1919.21,1917.02,1919.02,-11.175294117647127,False,False
37,XAUUSD,M5,2022-03-28 23:50:00,2022-03-28T23:50:00,669,1919.08,1920.16,1918.32,1919.24,1919.08,1920.16,1918.32,1919.24,1919.08,1920.16,1918.32,1919.24,-11.302705882352939,False,False
38,XAUUSD,M5,2022-03-28 23:55:00,2022-03-28T23:55:00,722,1919.31,1919.65,1918.84,1919.2,1919.31,1919.65,1918.84,1919.2,1919.31,1919.65,1918.84,1919.2,-11.070852941176327,False,False
39,XAUUSD,M5,2022-03-29 02:00:00,2022-03-29T02:00:00,62,1922.33,1922.52,1921.97,1922.51,1922.33,1922.52,1921.97,1922.51,1922.33,1922.52,1921.97,1922.51,-10.359852941176314,False,False
40,XAUUSD,M5,2022-03-29 02:05:00,2022-03-29T02:05:00,200,1922.51,1923.23,1922.45,1922.93,1922.51,1923.23,1922.45,1922.93,1922.51,1923.23,1922.45,1922.93,-9.092705882352902,False,False
41,XAUUSD,M5,2022-03-29 02:10:00,2022-03-29T02:10:00,239,1922.91,1923.23,1922.56,1923.06,1922.91,1923.23,1922.56,1923.06,1922.91,1923.23,1922.56,1923.06,-7.660970588235159,False,False
42,XAUUSD,M5,2022-03-29 02:15:00,2022-03-29T02:15:00,271,1923.09,1923.21,1922.4,1923.11,1923.09,1923.21,1922.4,1923.11,1923.09,1923.21,1922.4,1923.11,-6.46385294117681,False,False
43,XAUUSD,M5,2022-03-29 02:20:00,2022-03-29T02:20:00,114,1923.11,1923.28,1922.43,1922.6,1923.11,1923.28,1922.43,1922.6,1923.11,1923.28,1922.43,1922.6,-5.264499999999998,False,False
44,XAUUSD,M5,2022-03-29 02:25:00,2022-03-29T02:25:00,158,1922.6,1922.82,1922.09,1922.51,1922.6,1922.82,1922.09,1922.51,1922.6,1922.82,1922.09,1922.51,-4.769999999999982,False,False
