,instrument,granularity,time,stringTime,volume,bidOpen,bidHigh,bidLow,bidClose,midOpen,midHigh,midLow,midClose,askOpen,askHigh,askLow,askClose
0,AUDCHF,H1,2021-07-01 17:00:00,2021-07-01T17:00:00,11815,0.69295,0.6932,0.69104,0.69137,0.69295,0.6932,0.69104,0.69137,0.69295,0.6932,0.69104,0.69137
1,AUDCHF,H1,2021-07-01 18:00:00,2021-07-01T18:00:00,8137,0.69137,0.69149,0.69061,0.69128,0.69137,0.69149,0.69061,0.69128,0.69137,0.69149,0.69061,0.69128
2,AUDCHF,H1,2021-07-01 19:00:00,2021-07-01T19:00:00,3965,0.69127,0.69177,0.6912,0.69134,0.69127,0.69177,0.6912,0.69134,0.69127,0.69177,0.6912,0.69134
3,AUDCHF,H1,2021-07-01 20:00:00,2021-07-01T20:00:00,2534,0.69134,0.69151,0.69083,0.69088,0.69134,0.69151,0.69083,0.69088,0.69134,0.69151,0.69083,0.69088
4,AUDCHF,H1,2021-07-01 21:00:00,2021-07-01T21:00:00,2453,0.69088,0.6913,0.69088,0.6911,0.69088,0.6913,0.69088,0.6911,0.69088,0.6913,0.69088,0.6911
5,AUDCHF,H1,2021-07-01 22:00:00,2021-07-01T22:00:00,1990,0.69111,0.69127,0.69098,0.6912,0.69111,0.69127,0.69098,0.6912,0.69111,0.69127,0.69098,0.6912
6,AUDCHF,H1,2021-07-01 23:00:00,2021-07-01T23:00:00,1101,0.6912,0.69146,0.69036,0.69134,0.6912,0.69146,0.69036,0.69134,0.6912,0.69146,0.69036,0.69134
7,AUDCHF,H1,2021-07-02 00:00:00,2021-07-02T00:00:00,5821,0.69136,0.69138,0.69025,0.69091,0.69136,0.69138,0.69025,0.69091,0.69136,0.69138,0.69025,0.69091
8,AUDCHF,H1,2021-07-02 01:00:00,2021-07-02T01:00:00,882,0.69092,0.69142,0.69083,0.69136,0.69092,0.69142,0.69083,0.69136,0.69092,0.69142,0.69083,0.69136
9,AUDCHF,H1,2021-07-02 02:00:00,2021-07-02T02:00:00,1196,0.69136,0.69145,0.69105,0.69118,0.69136,0.69145,0.69105,0.69118,0.69136,0.69145,0.69105,0.69118
10,AUDCHF,H1,2021-07-02 03:00:00,2021-07-02T03:00:00,2288,0.69118,0.69149,0.69092,0.69092,0.69118,0.69149,0.69092,0.69092,0.69118,0.69149,0.69092,0.69092
11,AUDCHF,H1,2021-07-02 04:00:00,2021-07-02T04:00:00,3163,0.69092,0.69131,0.69073,0.69104,0.69092,0.69131,0.69073,0.69104,0.69092,0.69131,0.69073,0.69104
12,AUDCHF,H1,2021-07-02 05:00:00,2021-07-02T05:00:00,1938,0.69104,0.69142,0.69085,0.69129,0.69104,0.69142,0.69085,0.69129,0.69104,0.69142,0.69085,0.69129
13,AUDCHF,H1,2021-07-02 06:00:00,2021-07-02T06:00:00,1290,0.69129,0.69142,0.6911,0.69116,0.69129,0.69142,0.6911,0.69116,0.69129,0.69142,0.6911,0.69116
14,AUDCHF,H1,2021-07-02 07:00:00,2021-07-02T07:00:00,987,0.69116,0.69162,0.69114,0.69148,0.69116,0.69162,0.69114,0.69148,0.69116,0.69162,0.69114,0.69148
15,AUDCHF,H1,2021-07-02 08:00:00,2021-07-02T08:00:00,1291,0.69148,0.69172,0.69131,0.69142,0.69148,0.69172,0.69131,0.69142,0.69148,0.69172,0.69131,0.69142
16,AUDCHF,H1,2021-07-02 09:00:00,2021-07-02T09:00:00,3001,0.69142,0.69164,0.69093,0.6911,0.69142,0.69164,0.69093,0.6911,0.69142,0.69164,0.69093,0.6911
17,AUDCHF,H1,2021-07-02 10:00:00,2021-07-02T10:00:00,5083,0.6911,0.69142,0.6908,0.69101,0.6911,0.69142,0.6908,0.69101,0.6911,0.69142,0.6908,0.69101
18,AUDCHF,H1,2021-07-02 11:00:00,2021-07-02T11:00:00,5368,0.69101,0.69119,0.6901,0.6901,0.69101,0.69119,0.6901,0.6901,0.69101,0.69119,0.6901,0.6901
19,AUDCHF,H1,2021-07-02 12:00:00,2021-07-02T12:00:00,3787,0.6901,0.69087,0.68986,0.69041,0.6901,0.69087,0.68986,0.69041,0.6901,0.69087,0.68986,0.69041
20,AUDCHF,H1,2021-07-02 13:00:00,2021-07-02T13:00:00,3516,0.69041,0.69085,0.6902,0.6905,0.69041,0.69085,0.6902,0.6905,0.69041,0.69085,0.6902,0.6905
21,AUDCHF,H1,2021-07-02 14:00:00,2021-07-02T14:00:00,3798,0.6905,0.69084,0.69018,0.69071,0.6905,0.69084,0.69018,0.69071,0.6905,0.69084,0.69018,0.69071
22,AUDCHF,H1,2021-07-02 15:00:00,2021-07-02T15:00:00,19842,0.69071,0.69187,0.68889,0.69128,0.69071,0.69187,0.68889,0.69128,0.69071,0.69187,0.68889,0.69128
23,AUDCHF,H1,2021-07-02 16:00:00,2021-07-02T16:00:00,17553,0.69128,0.69259,0.69107,0.69206,0.69128,0.69259,0.69107,0.69206,0.69128,0.69259,0.69107,0.69206
24,AUDCHF,H1,2021-07-02 17:00:00,2021-07-02T17:00:00,11076,0.69206,0.69251,0.69151,0.69178,0.69206,0.69251,0.69151,0.69178,0.69206,0.69251,0.69151,0.69178
25,AUDCHF,H1,2021-07-02 18:00:00,2021-07-02T18:00:00,6047,0.69178,0.6921,0.69142,0.69163,0.69178,0.6921,0.69142,0.69163,0.69178,0.6921,0.69142,0.69163
26,AUDCHF,H1,2021-07-02 19:00:00,2021-07-02T19:00:00,2820,0.69163,0.69215,0.69132,0.6919,0.69163,0.69215,0.69132,0.6919,0.69163,0.69215,0.69132,0.6919
27,AUDCHF,H1,2021-07-02 20:00:00,2021-07-02T20:00:00,3505,0.6919,0.69289,0.69174,0.69283,0.6919,0.69289,0.69174,0.69283,0.6919,0.69289,0.69174,0.69283
28,AUDCHF,H1,2021-07-02 21:00:00,2021-07-02T21:00:00,2866,0.69283,0.6932,0.6928,0.69314,0.69283,0.6932,0.6928,0.69314,0.69283,0.6932,0.6928,0.69314
29,AUDCHF,H1,2021-07-02 22:00:00,2021-07-02T22:00:00,1630,0.69314,0.69319,0.69285,0.6931,0.69314,0.69319,0.69285,0.6931,0.69314,0.69319,0.69285,0.6931
30,AUDCHF,H1,2021-07-02 23:00:00,2021-07-02T23:00:00,1416,0.6931,0.69322,0.69186,0.69275,0.6931,0.69322,0.69186,0.69275,0.6931,0.69322,0.69186,0.69275
31,AUDCHF,H1,2021-07-05 00:00:00,2021-07-05T00:00:00,211,0.69225,0.6928,0.69193,0.69266,0.69225,0.6928,0.69193,0.69266,0.69225,0.6928,0.69193,0.69266
32,AUDCHF,H1,2021-07-05 01:00:00,2021-07-05T01:00:00,1912,0.69266,0.69326,0.69198,0.6929,0.69266,0.69326,0.69198,0.6929,0.69266,0.69326,0.69198,0.6929
33,AUDCHF,H1,2021-07-05 02:00:00,2021-07-05T02:00:00,2881,0.6929,0.69325,0.69287,0.69291,0.6929,0.69325,0.69287,0.69291,0.6929,0.69325,0.69287,0.69291
34,AUDCHF,H1,2021-07-05 03:00:00,2021-07-05T03:00:00,2227,0.69292,0.69298,0.69254,0.69283,0.69292,0.69298,0.69254,0.69283,0.69292,0.69298,0.69254,0.69283
35,AUDCHF,H1,2021-07-05 04:00:00,2021-07-05T04:00:00,2347,0.69283,0.69306,0.69231,0.69292,0.69283,0.69306,0.69231,0.69292,0.69283,0.69306,0.69231,0.69292
36,AUDCHF,H1,2021-07-05 05:00:00,2021-07-05T05:00:00,1208,0.69292,0.69342,0.69268,0.69337,0.69292,0.69342,0.69268,0.69337,0.69292,0.69342,0.69268,0.69337
37,AUDCHF,H1,2021-07-05 06:00:00,2021-07-05T06:00:00,1471,0.69337,0.69362,0.69281,0.69287,0.69337,0.69362,0.69281,0.69287,0.69337,0.69362,0.69281,0.69287
38,AUDCHF,H1,2021-07-05 07:00:00,2021-07-05T07:00:00,1204,0.69287,0.69324,0.69264,0.69312,0.69287,0.69324,0.69264,0.69312,0.69287,0.69324,0.69264,0.69312
39,AUDCHF,H1,2021-07-05 08:00:00,2021-07-05T08:00:00,1758,0.69313,0.6933,0.69256,0.6928,0.69313,0.6933,0.69256,0.6928,0.69313,0.6933,0.69256,0.6928
40,AUDCHF,H1,2021-07-05 09:00:00,2021-07-05T09:00:00,3894,0.6928,0.69391,0.69267,0.69384,0.6928,0.69391,0.69267,0.69384,0.6928,0.69391,0.69267,0.69384
41,AUDCHF,H1,2021-07-05 10:00:00,2021-07-05T10:00:00,4934,0.69383,0.69437,0.69339,0.69386,0.69383,0.69437,0.69339,0.69386,0.69383,0.69437,0.69339,0.69386
42,AUDCHF,H1,2021-07-05 11:00:00,2021-07-05T11:00:00,2976,0.69385,0.69443,0.69376,0.69409,0.69385,0.69443,0.69376,0.69409,0.69385,0.69443,0.69376,0.69409
43,AUDCHF,H1,2021-07-05 12:00:00,2021-07-05T12:00:00,2957,0.69409,0.69419,0.69351,0.69381,0.69409,0.69419,0.69351,0.69381,0.69409,0.69419,0.69351,0.69381
44,AUDCHF,H1,2021-07-05 13:00:00,2021-07-05T13:00:00,2689,0.69381,0.69392,0.69329,0.69345,0.69381,0.69392,0.69329,0.69345,0.69381,0.69392,0.69329,0.69345
45,AUDCHF,H1,2021-07-05 14:00:00,2021-07-05T14:00:00,2107,0.69345,0.69398,0.6934,0.69372,0.69345,0.69398,0.6934,0.69372,0.69345,0.69398,0.6934,0.69372
46,AUDCHF,H1,2021-07-05 15:00:00,2021-07-05T15:00:00,3347,0.69373,0.69412,0.69329,0.69354,0.69373,0.69412,0.69329,0.69354,0.69373,0.69412,0.69329,0.69354
47,AUDCHF,H1,2021-07-05 16:00:00,2021-07-05T16:00:00,2544,0.69354,0.69403,0.69338,0.6939,0.69354,0.69403,0.69338,0.6939,0.69354,0.69403,0.69338,0.6939
48,AUDCHF,H1,2021-07-05 17:00:00,2021-07-05T17:00:00,2722,0.6939,0.6943,0.69364,0.69417,0.6939,0.6943,0.69364,0.69417,0.6939,0.6943,0.69364,0.69417
49,AUDCHF,H1,2021-07-05 18:00:00,2021-07-05T18:00:00,2042,0.69416,0.69458,0.69406,0.69432,0.69416,0.69458,0.69406,0.69432,0.69416,0.69458,0.69406,0.69432
50,AUDCHF,H1,2021-07-05 19:00:00,2021-07-05T19:00:00,1102,0.69432,0.6946,0.69425,0.69442,0.69432,0.6946,0.69425,0.69442,0.69432,0.6946,0.69425,0.69442
51,AUDCHF,H1,2021-07-05 20:00:00,2021-07-05T20:00:00,2284,0.69441,0.69447,0.69385,0.69408,0.69441,0.69447,0.69385,0.69408,0.69441,0.69447,0.69385,0.69408
52,AUDCHF,H1,2021-07-05 21:00:00,2021-07-05T21:00:00,4699,0.69407,0.69455,0.69396,0.69417,0.69407,0.69455,0.69396,0.69417,0.69407,0.69455,0.69396,0.69417
53,AUDCHF,H1,2021-07-05 22:00:00,2021-07-05T22:00:00,2402,0.69417,0.69458,0.69405,0.69455,0.69417,0.69458,0.69405,0.69455,0.69417,0.69458,0.69405,0.69455
54,AUDCHF,H1,2021-07-05 23:00:00,2021-07-05T23:00:00,2669,0.69453,0.69466,0.69344,0.69349,0.69453,0.69466,0.69344,0.69349,0.69453,0.69466,0.69344,0.69349
55,AUDCHF,H1,2021-07-06 00:00:00,2021-07-06T00:00:00,507,0.69349,0.69422,0.69336,0.69408,0.69349,0.69422,0.69336,0.69408,0.69349,0.69422,0.69336,0.69408
56,AUDCHF,H1,2021-07-06 01:00:00,2021-07-06T01:00:00,1467,0.69407,0.69569,0.6939,0.69557,0.69407,0.69569,0.6939,0.69557,0.69407,0.69569,0.6939,0.69557
57,AUDCHF,H1,2021-07-06 02:00:00,2021-07-06T02:00:00,1241,0.69555,0.69576,0.69526,0.69536,0.69555,0.69576,0.69526,0.69536,0.69555,0.69576,0.69526,0.69536
58,AUDCHF,H1,2021-07-06 03:00:00,2021-07-06T03:00:00,2108,0.69536,0.69583,0.6951,0.6953,0.69536,0.69583,0.6951,0.6953,0.69536,0.69583,0.6951,0.6953
59,AUDCHF,H1,2021-07-06 04:00:00,2021-07-06T04:00:00,1903,0.6953,0.69615,0.69521,0.69611,0.6953,0.69615,0.69521,0.69611,0.6953,0.69615,0.69521,0.69611
60,AUDCHF,H1,2021-07-06 05:00:00,2021-07-06T05:00:00,1949,0.6961,0.69665,0.69599,0.69611,0.6961,0.69665,0.69599,0.69611,0.6961,0.69665,0.69599,0.69611
61,AUDCHF,H1,2021-07-06 06:00:00,2021-07-06T06:00:00,1953,0.69611,0.69686,0.69579,0.69675,0.69611,0.69686,0.69579,0.69675,0.69611,0.69686,0.69579,0.69675
62,AUDCHF,H1,2021-07-06 07:00:00,2021-07-06T07:00:00,4379,0.69675,0.69711,0.69484,0.69615,0.69675,0.69711,0.69484,0.69615,0.69675,0.69711,0.69484,0.69615
63,AUDCHF,H1,2021-07-06 08:00:00,2021-07-06T08:00:00,2403,0.69615,0.69734,0.69614,0.69733,0.69615,0.69734,0.69614,0.69733,0.69615,0.69734,0.69614,0.69733
64,AUDCHF,H1,2021-07-06 09:00:00,2021-07-06T09:00:00,5886,0.69732,0.69872,0.69707,0.69855,0.69732,0.69872,0.69707,0.69855,0.69732,0.69872,0.69707,0.69855
65,AUDCHF,H1,2021-07-06 10:00:00,2021-07-06T10:00:00,5710,0.69856,0.69857,0.69781,0.69829,0.69856,0.69857,0.69781,0.69829,0.69856,0.69857,0.69781,0.69829
66,AUDCHF,H1,2021-07-06 11:00:00,2021-07-06T11:00:00,6889,0.69829,0.69987,0.69818,0.6998,0.69829,0.69987,0.69818,0.6998,0.69829,0.69987,0.69818,0.6998
67,AUDCHF,H1,2021-07-06 12:00:00,2021-07-06T12:00:00,5115,0.6998,0.7002,0.69945,0.69986,0.6998,0.7002,0.69945,0.69986,0.6998,0.7002,0.69945,0.69986
68,AUDCHF,H1,2021-07-06 13:00:00,2021-07-06T13:00:00,3346,0.69986,0.70021,0.69891,0.69898,0.69986,0.70021,0.69891,0.69898,0.69986,0.70021,0.69891,0.69898
