,instrument,granularity,time,stringTime,volume,bidOpen,bidHigh,bidLow,bidClose,midOpen,midHigh,midLow,midClose,askOpen,askHigh,askLow,askClose
0,AUDCHF,M5,2022-03-25 16:05:00,2022-03-25T16:05:00,187,0.6971,0.69744,0.69701,0.6974,0.6971,0.69744,0.69701,0.6974,0.6971,0.69744,0.69701,0.6974
1,AUDCHF,M5,2022-03-25 16:10:00,2022-03-25T16:10:00,294,0.6974,0.69792,0.69738,0.69785,0.6974,0.69792,0.69738,0.69785,0.6974,0.69792,0.69738,0.69785
2,AUDCHF,M5,2022-03-25 16:15:00,2022-03-25T16:15:00,239,0.69785,0.69798,0.69758,0.69772,0.69785,0.69798,0.69758,0.69772,0.69785,0.69798,0.69758,0.69772
3,AUDCHF,M5,2022-03-25 16:20:00,2022-03-25T16:20:00,509,0.69772,0.69782,0.69735,0.69748,0.69772,0.69782,0.69735,0.69748,0.69772,0.69782,0.69735,0.69748
4,AUDCHF,M5,2022-03-25 16:25:00,2022-03-25T16:25:00,523,0.69748,0.69771,0.69714,0.69743,0.69748,0.69771,0.69714,0.69743,0.69748,0.69771,0.69714,0.69743
5,AUDCHF,M5,2022-03-25 16:30:00,2022-03-25T16:30:00,599,0.69744,0.69775,0.69736,0.69753,0.69744,0.69775,0.69736,0.69753,0.69744,0.69775,0.69736,0.69753
6,AUDCHF,M5,2022-03-25 16:35:00,2022-03-25T16:35:00,681,0.69753,0.69763,0.69726,0.69737,0.69753,0.69763,0.69726,0.69737,0.69753,0.69763,0.69726,0.69737
7,AUDCHF,M5,2022-03-25 16:40:00,2022-03-25T16:40:00,553,0.69737,0.69781,0.69737,0.69759,0.69737,0.69781,0.69737,0.69759,0.69737,0.69781,0.69737,0.69759
8,AUDCHF,M5,2022-03-25 16:45:00,2022-03-25T16:45:00,466,0.69759,0.69832,0.69755,0.69831,0.69759,0.69832,0.69755,0.69831,0.69759,0.69832,0.69755,0.69831
9,AUDCHF,M5,2022-03-25 16:50:00,2022-03-25T16:50:00,569,0.69831,0.69856,0.69782,0.69783,0.69831,0.69856,0.69782,0.69783,0.69831,0.69856,0.69782,0.69783
10,AUDCHF,M5,2022-03-25 16:55:00,2022-03-25T16:55:00,566,0.69783,0.69788,0.69674,0.69742,0.69783,0.69788,0.69674,0.69742,0.69783,0.69788,0.69674,0.69742
