,instrument,granularity,time,stringTime,volume,bidOpen,bidHigh,bidLow,bidClose,midOpen,midHigh,midLow,midClose,askOpen,askHigh,askLow,askClose
0,AUDUSD,D1,2003-01-22,2003-01-22T00:00:00,5389,0.5884,0.59,0.5844,0.5856,0.5884,0.59,0.5844,0.5856,0.5884,0.59,0.5844,0.5856
1,AUDUSD,D1,2003-01-23,2003-01-23T00:00:00,5482,0.5857,0.5926,0.5851,0.5922,0.5857,0.5926,0.5851,0.5922,0.5857,0.5926,0.5851,0.5922
2,AUDUSD,D1,2003-01-24,2003-01-24T00:00:00,4712,0.5921,0.594,0.5904,0.5923,0.5921,0.594,0.5904,0.5923,0.5921,0.594,0.5904,0.5923
3,AUDUSD,D1,2003-01-27,2003-01-27T00:00:00,5687,0.592,0.5945,0.5878,0.589,0.592,0.5945,0.5878,0.589,0.592,0.5945,0.5878,0.589
4,AUDUSD,D1,2003-01-28,2003-01-28T00:00:00,5805,0.5893,0.59,0.5862,0.5884,0.5893,0.59,0.5862,0.5884,0.5893,0.59,0.5862,0.5884
5,AUDUSD,D1,2003-01-29,2003-01-29T00:00:00,5956,0.5882,0.5918,0.588,0.5903,0.5882,0.5918,0.588,0.5903,0.5882,0.5918,0.588,0.5903
6,AUDUSD,D1,2003-01-30,2003-01-30T00:00:00,6129,0.5903,0.5904,0.5855,0.5893,0.5903,0.5904,0.5855,0.5893,0.5903,0.5904,0.5855,0.5893
7,AUDUSD,D1,2003-01-31,2003-01-31T00:00:00,5647,0.5895,0.5908,0.5856,0.5882,0.5895,0.5908,0.5856,0.5882,0.5895,0.5908,0.5856,0.5882
8,AUDUSD,D1,2003-02-03,2003-02-03T00:00:00,5437,0.586,0.5873,0.5821,0.5857,0.586,0.5873,0.5821,0.5857,0.586,0.5873,0.5821,0.5857
9,AUDUSD,D1,2003-02-04,2003-02-04T00:00:00,6004,0.5855,0.5927,0.5839,0.5911,0.5855,0.5927,0.5839,0.5911,0.5855,0.5927,0.5839,0.5911
10,AUDUSD,D1,2003-02-05,2003-02-05T00:00:00,5832,0.591,0.5936,0.588,0.5902,0.591,0.5936,0.588,0.5902,0.591,0.5936,0.588,0.5902
11,AUDUSD,D1,2003-02-06,2003-02-06T00:00:00,4792,0.5903,0.5924,0.5883,0.5914,0.5903,0.5924,0.5883,0.5914,0.5903,0.5924,0.5883,0.5914
12,AUDUSD,D1,2003-02-07,2003-02-07T00:00:00,4431,0.5916,0.5932,0.5884,0.5901,0.5916,0.5932,0.5884,0.5901,0.5916,0.5932,0.5884,0.5901
13,AUDUSD,D1,2003-02-10,2003-02-10T00:00:00,5282,0.5903,0.5938,0.5888,0.5892,0.5903,0.5938,0.5888,0.5892,0.5903,0.5938,0.5888,0.5892
14,AUDUSD,D1,2003-02-11,2003-02-11T00:00:00,6009,0.5893,0.592,0.5867,0.5915,0.5893,0.592,0.5867,0.5915,0.5893,0.592,0.5867,0.5915
15,AUDUSD,D1,2003-02-12,2003-02-12T00:00:00,5694,0.5916,0.5934,0.5871,0.5873,0.5916,0.5934,0.5871,0.5873,0.5916,0.5934,0.5871,0.5873
16,AUDUSD,D1,2003-02-13,2003-02-13T00:00:00,5848,0.5877,0.5973,0.5871,0.5953,0.5877,0.5973,0.5871,0.5953,0.5877,0.5973,0.5871,0.5953
17,AUDUSD,D1,2003-02-14,2003-02-14T00:00:00,5709,0.5954,0.5971,0.5905,0.5923,0.5954,0.5971,0.5905,0.5923,0.5954,0.5971,0.5905,0.5923
18,AUDUSD,D1,2003-02-17,2003-02-17T00:00:00,4604,0.5914,0.5933,0.5882,0.5898,0.5914,0.5933,0.5882,0.5898,0.5914,0.5933,0.5882,0.5898
19,AUDUSD,D1,2003-02-18,2003-02-18T00:00:00,5962,0.5899,0.5924,0.5887,0.5896,0.5899,0.5924,0.5887,0.5896,0.5899,0.5924,0.5887,0.5896
20,AUDUSD,D1,2003-02-19,2003-02-19T00:00:00,5829,0.5896,0.595,0.589,0.5947,0.5896,0.595,0.589,0.5947,0.5896,0.595,0.589,0.5947
21,AUDUSD,D1,2003-02-20,2003-02-20T00:00:00,5597,0.5946,0.599,0.5936,0.5982,0.5946,0.599,0.5936,0.5982,0.5946,0.599,0.5936,0.5982
22,AUDUSD,D1,2003-02-21,2003-02-21T00:00:00,5545,0.5982,0.5998,0.5959,0.5975,0.5982,0.5998,0.5959,0.5975,0.5982,0.5998,0.5959,0.5975
23,AUDUSD,D1,2003-02-24,2003-02-24T00:00:00,5971,0.5975,0.6068,0.5959,0.6046,0.5975,0.6068,0.5959,0.6046,0.5975,0.6068,0.5959,0.6046
24,AUDUSD,D1,2003-02-25,2003-02-25T00:00:00,6267,0.6045,0.6084,0.604,0.6051,0.6045,0.6084,0.604,0.6051,0.6045,0.6084,0.604,0.6051
25,AUDUSD,D1,2003-02-26,2003-02-26T00:00:00,5462,0.6052,0.6081,0.6041,0.6074,0.6052,0.6081,0.6041,0.6074,0.6052,0.6081,0.6041,0.6074
26,AUDUSD,D1,2003-02-27,2003-02-27T00:00:00,5409,0.6073,0.6091,0.6046,0.6058,0.6073,0.6091,0.6046,0.6058,0.6073,0.6091,0.6046,0.6058
27,AUDUSD,D1,2003-02-28,2003-02-28T00:00:00,6049,0.6057,0.6091,0.6029,0.609,0.6057,0.6091,0.6029,0.609,0.6057,0.6091,0.6029,0.609
28,AUDUSD,D1,2003-03-03,2003-03-03T00:00:00,5619,0.6076,0.615,0.6061,0.614,0.6076,0.615,0.6061,0.614,0.6076,0.615,0.6061,0.614
29,AUDUSD,D1,2003-03-04,2003-03-04T00:00:00,5769,0.6139,0.6163,0.6115,0.6157,0.6139,0.6163,0.6115,0.6157,0.6139,0.6163,0.6115,0.6157
30,AUDUSD,D1,2003-03-05,2003-03-05T00:00:00,6473,0.6157,0.6182,0.6146,0.6159,0.6157,0.6182,0.6146,0.6159,0.6157,0.6182,0.6146,0.6159
31,AUDUSD,D1,2003-03-06,2003-03-06T00:00:00,5993,0.6158,0.617,0.6124,0.6139,0.6158,0.617,0.6124,0.6139,0.6158,0.617,0.6124,0.6139
32,AUDUSD,D1,2003-03-07,2003-03-07T00:00:00,5216,0.6138,0.6177,0.613,0.6134,0.6138,0.6177,0.613,0.6134,0.6138,0.6177,0.613,0.6134
33,AUDUSD,D1,2003-03-10,2003-03-10T00:00:00,5471,0.6134,0.6169,0.6124,0.6146,0.6134,0.6169,0.6124,0.6146,0.6134,0.6169,0.6124,0.6146
34,AUDUSD,D1,2003-03-11,2003-03-11T00:00:00,5702,0.6147,0.6157,0.6015,0.6036,0.6147,0.6157,0.6015,0.6036,0.6147,0.6157,0.6015,0.6036
35,AUDUSD,D1,2003-03-12,2003-03-12T00:00:00,7371,0.6036,0.6063,0.5914,0.5933,0.6036,0.6063,0.5914,0.5933,0.6036,0.6063,0.5914,0.5933
36,AUDUSD,D1,2003-03-13,2003-03-13T00:00:00,7217,0.5932,0.5956,0.5892,0.595,0.5932,0.5956,0.5892,0.595,0.5932,0.5956,0.5892,0.595
37,AUDUSD,D1,2003-03-14,2003-03-14T00:00:00,6039,0.5949,0.599,0.5939,0.5979,0.5949,0.599,0.5939,0.5979,0.5949,0.599,0.5939,0.5979
38,AUDUSD,D1,2003-03-17,2003-03-17T00:00:00,7293,0.5982,0.6027,0.5907,0.5921,0.5982,0.6027,0.5907,0.5921,0.5982,0.6027,0.5907,0.5921
39,AUDUSD,D1,2003-03-18,2003-03-18T00:00:00,6866,0.5918,0.5953,0.5877,0.594,0.5918,0.5953,0.5877,0.594,0.5918,0.5953,0.5877,0.594
40,AUDUSD,D1,2003-03-19,2003-03-19T00:00:00,6686,0.5941,0.5945,0.588,0.5909,0.5941,0.5945,0.588,0.5909,0.5941,0.5945,0.588,0.5909
41,AUDUSD,D1,2003-03-20,2003-03-20T00:00:00,6328,0.5909,0.5957,0.5891,0.5937,0.5909,0.5957,0.5891,0.5937,0.5909,0.5957,0.5891,0.5937
42,AUDUSD,D1,2003-03-21,2003-03-21T00:00:00,6285,0.5937,0.5941,0.5889,0.5908,0.5937,0.5941,0.5889,0.5908,0.5937,0.5941,0.5889,0.5908
43,AUDUSD,D1,2003-03-24,2003-03-24T00:00:00,5781,0.5927,0.5957,0.5922,0.5949,0.5927,0.5957,0.5922,0.5949,0.5927,0.5957,0.5922,0.5949
44,AUDUSD,D1,2003-03-25,2003-03-25T00:00:00,5876,0.595,0.5983,0.5938,0.5975,0.595,0.5983,0.5938,0.5975,0.595,0.5983,0.5938,0.5975
45,AUDUSD,D1,2003-03-26,2003-03-26T00:00:00,5899,0.5975,0.5994,0.5962,0.5991,0.5975,0.5994,0.5962,0.5991,0.5975,0.5994,0.5962,0.5991
46,AUDUSD,D1,2003-03-27,2003-03-27T00:00:00,5856,0.599,0.602,0.5982,0.6008,0.599,0.602,0.5982,0.6008,0.599,0.602,0.5982,0.6008
47,AUDUSD,D1,2003-03-28,2003-03-28T00:00:00,5341,0.601,0.6021,0.5985,0.6002,0.601,0.6021,0.5985,0.6002,0.601,0.6021,0.5985,0.6002
48,AUDUSD,D1,2003-03-31,2003-03-31T00:00:00,6080,0.6,0.6056,0.5999,0.6046,0.6,0.6056,0.5999,0.6046,0.6,0.6056,0.5999,0.6046
49,AUDUSD,D1,2003-04-01,2003-04-01T00:00:00,5610,0.6045,0.6063,0.6023,0.6046,0.6045,0.6063,0.6023,0.6046,0.6045,0.6063,0.6023,0.6046
50,AUDUSD,D1,2003-04-02,2003-04-02T00:00:00,6178,0.6048,0.6066,0.5991,0.6022,0.6048,0.6066,0.5991,0.6022,0.6048,0.6066,0.5991,0.6022
51,AUDUSD,D1,2003-04-03,2003-04-03T00:00:00,6553,0.6022,0.6027,0.5956,0.6017,0.6022,0.6027,0.5956,0.6017,0.6022,0.6027,0.5956,0.6017
52,AUDUSD,D1,2003-04-04,2003-04-04T00:00:00,6429,0.6016,0.6025,0.5988,0.6007,0.6016,0.6025,0.5988,0.6007,0.6016,0.6025,0.5988,0.6007
53,AUDUSD,D1,2003-04-07,2003-04-07T00:00:00,5785,0.5995,0.6011,0.5925,0.599,0.5995,0.6011,0.5925,0.599,0.5995,0.6011,0.5925,0.599
54,AUDUSD,D1,2003-04-08,2003-04-08T00:00:00,6170,0.599,0.6019,0.5972,0.6018,0.599,0.6019,0.5972,0.6018,0.599,0.6019,0.5972,0.6018
55,AUDUSD,D1,2003-04-09,2003-04-09T00:00:00,6051,0.6018,0.606,0.6008,0.6055,0.6018,0.606,0.6008,0.6055,0.6018,0.606,0.6008,0.6055
56,AUDUSD,D1,2003-04-10,2003-04-10T00:00:00,6605,0.6056,0.6078,0.6036,0.6064,0.6056,0.6078,0.6036,0.6064,0.6056,0.6078,0.6036,0.6064
57,AUDUSD,D1,2003-04-11,2003-04-11T00:00:00,5832,0.6069,0.6081,0.6015,0.6055,0.6069,0.6081,0.6015,0.6055,0.6069,0.6081,0.6015,0.6055
