,instrument,granularity,time,stringTime,volume,bidOpen,bidHigh,bidLow,bidClose,midOpen,midHigh,midLow,midClose,askOpen,askHigh,askLow,askClose
0,AUDUSD,H1,2021-07-02 03:00:00,2021-07-02T03:00:00,2027,0.74649,0.74686,0.74624,0.74624,0.74649,0.74686,0.74624,0.74624,0.74649,0.74686,0.74624,0.74624
1,AUDUSD,H1,2021-07-02 04:00:00,2021-07-02T04:00:00,3057,0.74624,0.74676,0.74599,0.74616,0.74624,0.74676,0.74599,0.74616,0.74624,0.74676,0.74599,0.74616
2,AUDUSD,H1,2021-07-02 05:00:00,2021-07-02T05:00:00,1878,0.74616,0.74641,0.74598,0.74625,0.74616,0.74641,0.74598,0.74625,0.74616,0.74641,0.74598,0.74625
3,AUDUSD,H1,2021-07-02 06:00:00,2021-07-02T06:00:00,1043,0.74625,0.74641,0.74616,0.7463,0.74625,0.74641,0.74616,0.7463,0.74625,0.74641,0.74616,0.7463
4,AUDUSD,H1,2021-07-02 07:00:00,2021-07-02T07:00:00,909,0.7463,0.74682,0.74627,0.74661,0.7463,0.74682,0.74627,0.74661,0.7463,0.74682,0.74627,0.74661
5,AUDUSD,H1,2021-07-02 08:00:00,2021-07-02T08:00:00,973,0.74661,0.74703,0.74646,0.74656,0.74661,0.74703,0.74646,0.74656,0.74661,0.74703,0.74646,0.74656
6,AUDUSD,H1,2021-07-02 09:00:00,2021-07-02T09:00:00,2052,0.74656,0.74682,0.74587,0.74614,0.74656,0.74682,0.74587,0.74614,0.74656,0.74682,0.74587,0.74614
7,AUDUSD,H1,2021-07-02 10:00:00,2021-07-02T10:00:00,3286,0.74614,0.74617,0.74498,0.74522,0.74614,0.74617,0.74498,0.74522,0.74614,0.74617,0.74498,0.74522
8,AUDUSD,H1,2021-07-02 11:00:00,2021-07-02T11:00:00,3341,0.74522,0.74634,0.74503,0.74522,0.74522,0.74634,0.74503,0.74522,0.74522,0.74634,0.74503,0.74522
9,AUDUSD,H1,2021-07-02 12:00:00,2021-07-02T12:00:00,3393,0.74522,0.74557,0.74486,0.74493,0.74522,0.74557,0.74486,0.74493,0.74522,0.74557,0.74486,0.74493
10,AUDUSD,H1,2021-07-02 13:00:00,2021-07-02T13:00:00,1902,0.74493,0.74656,0.74485,0.74628,0.74493,0.74656,0.74485,0.74628,0.74493,0.74656,0.74485,0.74628
11,AUDUSD,H1,2021-07-02 14:00:00,2021-07-02T14:00:00,2699,0.74628,0.74672,0.74614,0.74635,0.74628,0.74672,0.74614,0.74635,0.74628,0.74672,0.74614,0.74635
12,AUDUSD,H1,2021-07-02 15:00:00,2021-07-02T15:00:00,18140,0.74635,0.74915,0.74435,0.74888,0.74635,0.74915,0.74435,0.74888,0.74635,0.74915,0.74435,0.74888
13,AUDUSD,H1,2021-07-02 16:00:00,2021-07-02T16:00:00,11899,0.74888,0.74957,0.74791,0.74902,0.74888,0.74957,0.74791,0.74902,0.74888,0.74957,0.74791,0.74902
14,AUDUSD,H1,2021-07-02 17:00:00,2021-07-02T17:00:00,8935,0.74902,0.74973,0.74817,0.74911,0.74902,0.74973,0.74817,0.74911,0.74902,0.74973,0.74817,0.74911
15,AUDUSD,H1,2021-07-02 18:00:00,2021-07-02T18:00:00,4295,0.74912,0.75004,0.74876,0.7497,0.74912,0.75004,0.74876,0.7497,0.74912,0.75004,0.74876,0.7497
16,AUDUSD,H1,2021-07-02 19:00:00,2021-07-02T19:00:00,2391,0.7497,0.75007,0.74926,0.75002,0.7497,0.75007,0.74926,0.75002,0.7497,0.75007,0.74926,0.75002
17,AUDUSD,H1,2021-07-02 20:00:00,2021-07-02T20:00:00,2253,0.75002,0.75259,0.74971,0.75251,0.75002,0.75259,0.74971,0.75251,0.75002,0.75259,0.74971,0.75251
18,AUDUSD,H1,2021-07-02 21:00:00,2021-07-02T21:00:00,2244,0.75251,0.75325,0.75249,0.75294,0.75251,0.75325,0.75249,0.75294,0.75251,0.75325,0.75249,0.75294
19,AUDUSD,H1,2021-07-02 22:00:00,2021-07-02T22:00:00,1651,0.75294,0.75294,0.75254,0.75278,0.75294,0.75294,0.75254,0.75278,0.75294,0.75294,0.75254,0.75278
20,AUDUSD,H1,2021-07-02 23:00:00,2021-07-02T23:00:00,1468,0.75278,0.75298,0.75212,0.75263,0.75278,0.75298,0.75212,0.75263,0.75278,0.75298,0.75212,0.75263
21,AUDUSD,H1,2021-07-05 00:00:00,2021-07-05T00:00:00,141,0.75224,0.75236,0.75176,0.75234,0.75224,0.75236,0.75176,0.75234,0.75224,0.75236,0.75176,0.75234
22,AUDUSD,H1,2021-07-05 01:00:00,2021-07-05T01:00:00,1076,0.75248,0.75289,0.75189,0.75191,0.75248,0.75289,0.75189,0.75191,0.75248,0.75289,0.75189,0.75191
23,AUDUSD,H1,2021-07-05 02:00:00,2021-07-05T02:00:00,1796,0.75191,0.75234,0.7517,0.75175,0.75191,0.75234,0.7517,0.75175,0.75191,0.75234,0.7517,0.75175
24,AUDUSD,H1,2021-07-05 03:00:00,2021-07-05T03:00:00,1697,0.75175,0.75181,0.75118,0.7514,0.75175,0.75181,0.75118,0.7514,0.75175,0.75181,0.75118,0.7514
25,AUDUSD,H1,2021-07-05 04:00:00,2021-07-05T04:00:00,2482,0.7514,0.75204,0.75086,0.75181,0.7514,0.75204,0.75086,0.75181,0.7514,0.75204,0.75086,0.75181
26,AUDUSD,H1,2021-07-05 05:00:00,2021-07-05T05:00:00,1534,0.75181,0.75186,0.75125,0.75172,0.75181,0.75186,0.75125,0.75172,0.75181,0.75186,0.75125,0.75172
27,AUDUSD,H1,2021-07-05 06:00:00,2021-07-05T06:00:00,1418,0.75173,0.75231,0.75109,0.75116,0.75173,0.75231,0.75109,0.75116,0.75173,0.75231,0.75109,0.75116
28,AUDUSD,H1,2021-07-05 07:00:00,2021-07-05T07:00:00,1138,0.75116,0.7517,0.75084,0.75163,0.75116,0.7517,0.75084,0.75163,0.75116,0.7517,0.75084,0.75163
29,AUDUSD,H1,2021-07-05 08:00:00,2021-07-05T08:00:00,1643,0.75163,0.75202,0.751,0.75117,0.75163,0.75202,0.751,0.75117,0.75163,0.75202,0.751,0.75117
30,AUDUSD,H1,2021-07-05 09:00:00,2021-07-05T09:00:00,2865,0.75117,0.75266,0.75095,0.75251,0.75117,0.75266,0.75095,0.75251,0.75117,0.75266,0.75095,0.75251
31,AUDUSD,H1,2021-07-05 10:00:00,2021-07-05T10:00:00,3652,0.75251,0.75311,0.75159,0.75292,0.75251,0.75311,0.75159,0.75292,0.75251,0.75311,0.75159,0.75292
32,AUDUSD,H1,2021-07-05 11:00:00,2021-07-05T11:00:00,2905,0.75292,0.7536,0.75271,0.75314,0.75292,0.7536,0.75271,0.75314,0.75292,0.7536,0.75271,0.75314
33,AUDUSD,H1,2021-07-05 12:00:00,2021-07-05T12:00:00,3156,0.75314,0.75368,0.75293,0.75331,0.75314,0.75368,0.75293,0.75331,0.75314,0.75368,0.75293,0.75331
34,AUDUSD,H1,2021-07-05 13:00:00,2021-07-05T13:00:00,2266,0.7533,0.75356,0.75259,0.7532,0.7533,0.75356,0.75259,0.7532,0.7533,0.75356,0.75259,0.7532
35,AUDUSD,H1,2021-07-05 14:00:00,2021-07-05T14:00:00,1854,0.7532,0.75366,0.75288,0.75301,0.7532,0.75366,0.75288,0.75301,0.7532,0.75366,0.75288,0.75301
36,AUDUSD,H1,2021-07-05 15:00:00,2021-07-05T15:00:00,2297,0.75301,0.75317,0.75241,0.75259,0.75301,0.75317,0.75241,0.75259,0.75301,0.75317,0.75241,0.75259
37,AUDUSD,H1,2021-07-05 16:00:00,2021-07-05T16:00:00,2284,0.75259,0.75286,0.75225,0.75256,0.75259,0.75286,0.75225,0.75256,0.75259,0.75286,0.75225,0.75256
38,AUDUSD,H1,2021-07-05 17:00:00,2021-07-05T17:00:00,1833,0.75256,0.753,0.75169,0.75296,0.75256,0.753,0.75169,0.75296,0.75256,0.753,0.75169,0.75296
39,AUDUSD,H1,2021-07-05 18:00:00,2021-07-05T18:00:00,1648,0.75296,0.75326,0.75286,0.75315,0.75296,0.75326,0.75286,0.75315,0.75296,0.75326,0.75286,0.75315
40,AUDUSD,H1,2021-07-05 19:00:00,2021-07-05T19:00:00,1001,0.75315,0.75337,0.75303,0.75328,0.75315,0.75337,0.75303,0.75328,0.75315,0.75337,0.75303,0.75328
