,instrument,granularity,time,stringTime,volume,bidOpen,bidHigh,bidLow,bidClose,midOpen,midHigh,midLow,midClose,askOpen,askHigh,askLow,askClose
0,AUDUSD,M5,2022-03-28 02:45:00,2022-03-28T02:45:00,36,0.75144,0.75153,0.75136,0.75152,0.75144,0.75153,0.75136,0.75152,0.75144,0.75153,0.75136,0.75152
1,AUDUSD,M5,2022-03-28 02:50:00,2022-03-28T02:50:00,37,0.75151,0.75158,0.75142,0.75142,0.75151,0.75158,0.75142,0.75142,0.75151,0.75158,0.75142,0.75142
2,AUDUSD,M5,2022-03-28 02:55:00,2022-03-28T02:55:00,30,0.75141,0.75153,0.75141,0.7515,0.75141,0.75153,0.75141,0.7515,0.75141,0.75153,0.75141,0.7515
3,AUDUSD,M5,2022-03-28 03:00:00,2022-03-28T03:00:00,95,0.7515,0.75159,0.75133,0.75154,0.7515,0.75159,0.75133,0.75154,0.7515,0.75159,0.75133,0.75154
4,AUDUSD,M5,2022-03-28 03:05:00,2022-03-28T03:05:00,112,0.75153,0.75174,0.75145,0.75156,0.75153,0.75174,0.75145,0.75156,0.75153,0.75174,0.75145,0.75156
5,AUDUSD,M5,2022-03-28 03:10:00,2022-03-28T03:10:00,133,0.75156,0.7518,0.75156,0.7518,0.75156,0.7518,0.75156,0.7518,0.75156,0.7518,0.75156,0.7518
6,AUDUSD,M5,2022-03-28 03:15:00,2022-03-28T03:15:00,178,0.7518,0.75209,0.75169,0.75172,0.7518,0.75209,0.75169,0.75172,0.7518,0.75209,0.75169,0.75172
7,AUDUSD,M5,2022-03-28 03:20:00,2022-03-28T03:20:00,99,0.75172,0.7518,0.75151,0.75151,0.75172,0.7518,0.75151,0.75151,0.75172,0.7518,0.75151,0.75151
8,AUDUSD,M5,2022-03-28 03:25:00,2022-03-28T03:25:00,87,0.75151,0.75155,0.75133,0.75141,0.75151,0.75155,0.75133,0.75141,0.75151,0.75155,0.75133,0.75141
9,AUDUSD,M5,2022-03-28 03:30:00,2022-03-28T03:30:00,72,0.7514,0.75146,0.7514,0.75143,0.7514,0.75146,0.7514,0.75143,0.7514,0.75146,0.7514,0.75143
10,AUDUSD,M5,2022-03-28 03:35:00,2022-03-28T03:35:00,83,0.75143,0.75162,0.75131,0.75161,0.75143,0.75162,0.75131,0.75161,0.75143,0.75162,0.75131,0.75161
11,AUDUSD,M5,2022-03-28 03:40:00,2022-03-28T03:40:00,73,0.75161,0.75172,0.75147,0.7517,0.75161,0.75172,0.75147,0.7517,0.75161,0.75172,0.75147,0.7517
12,AUDUSD,M5,2022-03-28 03:45:00,2022-03-28T03:45:00,110,0.7517,0.75183,0.75145,0.7515,0.7517,0.75183,0.75145,0.7515,0.7517,0.75183,0.75145,0.7515
13,AUDUSD,M5,2022-03-28 03:50:00,2022-03-28T03:50:00,74,0.7515,0.75171,0.7515,0.75171,0.7515,0.75171,0.7515,0.75171,0.7515,0.75171,0.7515,0.75171
14,AUDUSD,M5,2022-03-28 03:55:00,2022-03-28T03:55:00,109,0.75171,0.7518,0.75164,0.75169,0.75171,0.7518,0.75164,0.75169,0.75171,0.7518,0.75164,0.75169
15,AUDUSD,M5,2022-03-28 04:00:00,2022-03-28T04:00:00,196,0.75169,0.75203,0.75164,0.75195,0.75169,0.75203,0.75164,0.75195,0.75169,0.75203,0.75164,0.75195
16,AUDUSD,M5,2022-03-28 04:05:00,2022-03-28T04:05:00,170,0.75193,0.75228,0.75188,0.75223,0.75193,0.75228,0.75188,0.75223,0.75193,0.75228,0.75188,0.75223
17,AUDUSD,M5,2022-03-28 04:10:00,2022-03-28T04:10:00,183,0.75223,0.75235,0.75179,0.75181,0.75223,0.75235,0.75179,0.75181,0.75223,0.75235,0.75179,0.75181
18,AUDUSD,M5,2022-03-28 04:15:00,2022-03-28T04:15:00,234,0.75181,0.75188,0.75156,0.75159,0.75181,0.75188,0.75156,0.75159,0.75181,0.75188,0.75156,0.75159
19,AUDUSD,M5,2022-03-28 04:20:00,2022-03-28T04:20:00,258,0.75159,0.75172,0.75117,0.75127,0.75159,0.75172,0.75117,0.75127,0.75159,0.75172,0.75117,0.75127
20,AUDUSD,M5,2022-03-28 04:25:00,2022-03-28T04:25:00,154,0.75127,0.75164,0.75126,0.75164,0.75127,0.75164,0.75126,0.75164,0.75127,0.75164,0.75126,0.75164
21,AUDUSD,M5,2022-03-28 04:30:00,2022-03-28T04:30:00,116,0.75164,0.75168,0.75145,0.75145,0.75164,0.75168,0.75145,0.75145,0.75164,0.75168,0.75145,0.75145
22,AUDUSD,M5,2022-03-28 04:35:00,2022-03-28T04:35:00,108,0.75143,0.75143,0.75117,0.75135,0.75143,0.75143,0.75117,0.75135,0.75143,0.75143,0.75117,0.75135
23,AUDUSD,M5,2022-03-28 04:40:00,2022-03-28T04:40:00,68,0.75135,0.75146,0.75132,0.75134,0.75135,0.75146,0.75132,0.75134,0.75135,0.75146,0.75132,0.75134
24,AUDUSD,M5,2022-03-28 04:45:00,2022-03-28T04:45:00,212,0.75134,0.75154,0.751,0.75122,0.75134,0.75154,0.751,0.75122,0.75134,0.75154,0.751,0.75122
25,AUDUSD,M5,2022-03-28 04:50:00,2022-03-28T04:50:00,291,0.75122,0.75123,0.75045,0.75046,0.75122,0.75123,0.75045,0.75046,0.75122,0.75123,0.75045,0.75046
26,AUDUSD,M5,2022-03-28 04:55:00,2022-03-28T04:55:00,383,0.75046,0.75071,0.7502,0.7505,0.75046,0.75071,0.7502,0.7505,0.75046,0.75071,0.7502,0.7505
27,AUDUSD,M5,2022-03-28 05:00:00,2022-03-28T05:00:00,286,0.7505,0.75053,0.75024,0.75045,0.7505,0.75053,0.75024,0.75045,0.7505,0.75053,0.75024,0.75045
28,AUDUSD,M5,2022-03-28 05:05:00,2022-03-28T05:05:00,257,0.75044,0.75109,0.75042,0.75108,0.75044,0.75109,0.75042,0.75108,0.75044,0.75109,0.75042,0.75108
29,AUDUSD,M5,2022-03-28 05:10:00,2022-03-28T05:10:00,644,0.75109,0.75117,0.75059,0.75078,0.75109,0.75117,0.75059,0.75078,0.75109,0.75117,0.75059,0.75078
30,AUDUSD,M5,2022-03-28 05:15:00,2022-03-28T05:15:00,427,0.75078,0.75095,0.75034,0.7504,0.75078,0.75095,0.75034,0.7504,0.75078,0.75095,0.75034,0.7504
31,AUDUSD,M5,2022-03-28 05:20:00,2022-03-28T05:20:00,323,0.7504,0.75067,0.7503,0.75052,0.7504,0.75067,0.7503,0.75052,0.7504,0.75067,0.7503,0.75052
32,AUDUSD,M5,2022-03-28 05:25:00,2022-03-28T05:25:00,365,0.75052,0.75058,0.75019,0.75032,0.75052,0.75058,0.75019,0.75032,0.75052,0.75058,0.75019,0.75032
33,AUDUSD,M5,2022-03-28 05:30:00,2022-03-28T05:30:00,393,0.75032,0.75076,0.75014,0.75033,0.75032,0.75076,0.75014,0.75033,0.75032,0.75076,0.75014,0.75033
34,AUDUSD,M5,2022-03-28 05:35:00,2022-03-28T05:35:00,322,0.75033,0.75045,0.75003,0.75043,0.75033,0.75045,0.75003,0.75043,0.75033,0.75045,0.75003,0.75043
35,AUDUSD,M5,2022-03-28 05:40:00,2022-03-28T05:40:00,265,0.75043,0.75046,0.74999,0.75001,0.75043,0.75046,0.74999,0.75001,0.75043,0.75046,0.74999,0.75001
36,AUDUSD,M5,2022-03-28 05:45:00,2022-03-28T05:45:00,322,0.75001,0.75039,0.74988,0.75004,0.75001,0.75039,0.74988,0.75004,0.75001,0.75039,0.74988,0.75004
37,AUDUSD,M5,2022-03-28 05:50:00,2022-03-28T05:50:00,361,0.75004,0.75068,0.75,0.75058,0.75004,0.75068,0.75,0.75058,0.75004,0.75068,0.75,0.75058
38,AUDUSD,M5,2022-03-28 05:55:00,2022-03-28T05:55:00,320,0.75057,0.75098,0.75051,0.75087,0.75057,0.75098,0.75051,0.75087,0.75057,0.75098,0.75051,0.75087
39,AUDUSD,M5,2022-03-28 06:00:00,2022-03-28T06:00:00,587,0.75087,0.75166,0.75078,0.75162,0.75087,0.75166,0.75078,0.75162,0.75087,0.75166,0.75078,0.75162
40,AUDUSD,M5,2022-03-28 06:05:00,2022-03-28T06:05:00,477,0.75161,0.75217,0.75146,0.75213,0.75161,0.75217,0.75146,0.75213,0.75161,0.75217,0.75146,0.75213
41,AUDUSD,M5,2022-03-28 06:10:00,2022-03-28T06:10:00,480,0.75213,0.75239,0.75194,0.75206,0.75213,0.75239,0.75194,0.75206,0.75213,0.75239,0.75194,0.75206
