,instrument,granularity,time,stringTime,volume,bidOpen,bidHigh,bidLow,bidClose,midOpen,midHigh,midLow,midClose,askOpen,askHigh,askLow,askClose
0,BTCUSD,H1,2021-09-21 21:00:00,2021-09-21T21:00:00,4718,41667.5,42790.5,41604.5,42182.5,41667.5,42790.5,41604.5,42182.5,41667.5,42790.5,41604.5,42182.5
1,BTCUSD,H1,2021-09-21 22:00:00,2021-09-21T22:00:00,3598,42182.5,42449.5,41652.5,41977.5,42182.5,42449.5,41652.5,41977.5,42182.5,42449.5,41652.5,41977.5
2,BTCUSD,H1,2021-09-21 23:00:00,2021-09-21T23:00:00,6578,41980.0,42298.5,40577.5,40961.5,41980.0,42298.5,40577.5,40961.5,41980.0,42298.5,40577.5,40961.5
3,BTCUSD,H1,2021-09-22 00:00:00,2021-09-22T00:00:00,5583,40923.5,41996.5,39543.5,41363.5,40923.5,41996.5,39543.5,41363.5,40923.5,41996.5,39543.5,41363.5
4,BTCUSD,H1,2021-09-22 01:00:00,2021-09-22T01:00:00,7025,41363.5,41632.5,40440.5,40492.0,41363.5,41632.5,40440.5,40492.0,41363.5,41632.5,40440.5,40492.0
5,BTCUSD,H1,2021-09-22 02:00:00,2021-09-22T02:00:00,7261,40493.5,41033.5,40174.5,40710.5,40493.5,41033.5,40174.5,40710.5,40493.5,41033.5,40174.5,40710.5
6,BTCUSD,H1,2021-09-22 03:00:00,2021-09-22T03:00:00,5584,40710.5,41451.5,40549.5,41004.5,40710.5,41451.5,40549.5,41004.5,40710.5,41451.5,40549.5,41004.5
7,BTCUSD,H1,2021-09-22 04:00:00,2021-09-22T04:00:00,5415,41004.5,42365.5,40799.0,42188.5,41004.5,42365.5,40799.0,42188.5,41004.5,42365.5,40799.0,42188.5
8,BTCUSD,H1,2021-09-22 05:00:00,2021-09-22T05:00:00,3143,42188.5,42286.0,41888.5,42022.5,42188.5,42286.0,41888.5,42022.5,42188.5,42286.0,41888.5,42022.5
9,BTCUSD,H1,2021-09-22 06:00:00,2021-09-22T06:00:00,3404,42022.5,42404.5,41994.5,42060.5,42022.5,42404.5,41994.5,42060.5,42022.5,42404.5,41994.5,42060.5
