,instrument,granularity,time,stringTime,volume,bidOpen,bidHigh,bidLow,bidClose,midOpen,midHigh,midLow,midClose,askOpen,askHigh,askLow,askClose
0,BTCUSD,M5,2022-04-02 17:20:00,2022-04-02T17:20:00,963,46742.5,46758.0,46700.5,46708.0,46742.5,46758.0,46700.5,46708.0,46742.5,46758.0,46700.5,46708.0
1,BTCUSD,M5,2022-04-02 17:25:00,2022-04-02T17:25:00,1015,46710.5,46746.0,46696.5,46722.67,46710.5,46746.0,46696.5,46722.67,46710.5,46746.0,46696.5,46722.67
2,BTCUSD,M5,2022-04-02 17:30:00,2022-04-02T17:30:00,840,46724.18,46729.0,46629.5,46635.5,46724.18,46729.0,46629.5,46635.5,46724.18,46729.0,46629.5,46635.5
3,BTCUSD,M5,2022-04-02 17:35:00,2022-04-02T17:35:00,1115,46635.5,46668.5,46594.38,46599.5,46635.5,46668.5,46594.38,46599.5,46635.5,46668.5,46594.38,46599.5
4,BTCUSD,M5,2022-04-02 17:40:00,2022-04-02T17:40:00,860,46599.0,46642.09,46598.5,46635.25,46599.0,46642.09,46598.5,46635.25,46599.0,46642.09,46598.5,46635.25
5,BTCUSD,M5,2022-04-02 17:45:00,2022-04-02T17:45:00,876,46634.5,46670.5,46585.8,46637.51,46634.5,46670.5,46585.8,46637.51,46634.5,46670.5,46585.8,46637.51
6,BTCUSD,M5,2022-04-02 17:50:00,2022-04-02T17:50:00,980,46634.96,46666.5,46626.93,46633.0,46634.96,46666.5,46626.93,46633.0,46634.96,46666.5,46626.93,46633.0
7,BTCUSD,M5,2022-04-02 17:55:00,2022-04-02T17:55:00,970,46636.5,46675.5,46617.5,46619.5,46636.5,46675.5,46617.5,46619.5,46636.5,46675.5,46617.5,46619.5
8,BTCUSD,M5,2022-04-02 18:00:00,2022-04-02T18:00:00,939,46618.5,46620.5,46571.18,46573.5,46618.5,46620.5,46571.18,46573.5,46618.5,46620.5,46571.18,46573.5
9,BTCUSD,M5,2022-04-02 18:05:00,2022-04-02T18:05:00,1059,46571.81,46575.5,46456.65,46517.5,46571.81,46575.5,46456.65,46517.5,46571.81,46575.5,46456.65,46517.5
10,BTCUSD,M5,2022-04-02 18:10:00,2022-04-02T18:10:00,914,46518.5,46519.5,46313.16,46397.45,46518.5,46519.5,46313.16,46397.45,46518.5,46519.5,46313.16,46397.45
11,BTCUSD,M5,2022-04-02 18:15:00,2022-04-02T18:15:00,1042,46397.99,46520.0,46290.84,46473.5,46397.99,46520.0,46290.84,46473.5,46397.99,46520.0,46290.84,46473.5
12,BTCUSD,M5,2022-04-02 18:20:00,2022-04-02T18:20:00,1165,46473.5,46501.0,46402.67,46468.5,46473.5,46501.0,46402.67,46468.5,46473.5,46501.0,46402.67,46468.5
13,BTCUSD,M5,2022-04-02 18:25:00,2022-04-02T18:25:00,774,46468.0,46515.5,46450.17,46484.5,46468.0,46515.5,46450.17,46484.5,46468.0,46515.5,46450.17,46484.5
14,BTCUSD,M5,2022-04-02 18:30:00,2022-04-02T18:30:00,1022,46484.5,46513.0,46316.01,46335.96,46484.5,46513.0,46316.01,46335.96,46484.5,46513.0,46316.01,46335.96
15,BTCUSD,M5,2022-04-02 18:35:00,2022-04-02T18:35:00,1036,46336.39,46365.5,46174.34,46257.99,46336.39,46365.5,46174.34,46257.99,46336.39,46365.5,46174.34,46257.99
16,BTCUSD,M5,2022-04-02 18:40:00,2022-04-02T18:40:00,1130,46254.44,46345.5,46201.43,46269.0,46254.44,46345.5,46201.43,46269.0,46254.44,46345.5,46201.43,46269.0
17,BTCUSD,M5,2022-04-02 18:45:00,2022-04-02T18:45:00,932,46270.5,46331.0,46191.5,46191.5,46270.5,46331.0,46191.5,46191.5,46270.5,46331.0,46191.5,46191.5
18,BTCUSD,M5,2022-04-02 18:50:00,2022-04-02T18:50:00,829,46191.5,46240.0,46139.5,46218.5,46191.5,46240.0,46139.5,46218.5,46191.5,46240.0,46139.5,46218.5
19,BTCUSD,M5,2022-04-02 18:55:00,2022-04-02T18:55:00,1117,46218.0,46317.5,46194.5,46312.21,46218.0,46317.5,46194.5,46312.21,46218.0,46317.5,46194.5,46312.21
20,BTCUSD,M5,2022-04-02 19:00:00,2022-04-02T19:00:00,1106,46311.5,46369.0,46171.79,46171.79,46311.5,46369.0,46171.79,46171.79,46311.5,46369.0,46171.79,46171.79
21,BTCUSD,M5,2022-04-02 19:05:00,2022-04-02T19:05:00,1114,46174.5,46328.5,46174.5,46325.5,46174.5,46328.5,46174.5,46325.5,46174.5,46328.5,46174.5,46325.5
22,BTCUSD,M5,2022-04-02 19:10:00,2022-04-02T19:10:00,1090,46328.0,46394.0,46263.7,46347.76,46328.0,46394.0,46263.7,46347.76,46328.0,46394.0,46263.7,46347.76
23,BTCUSD,M5,2022-04-02 19:15:00,2022-04-02T19:15:00,942,46350.5,46393.0,46314.5,46334.5,46350.5,46393.0,46314.5,46334.5,46350.5,46393.0,46314.5,46334.5
24,BTCUSD,M5,2022-04-02 19:20:00,2022-04-02T19:20:00,981,46334.5,46357.0,46273.18,46317.5,46334.5,46357.0,46273.18,46317.5,46334.5,46357.0,46273.18,46317.5
25,BTCUSD,M5,2022-04-02 19:25:00,2022-04-02T19:25:00,943,46317.5,46369.0,46307.5,46367.5,46317.5,46369.0,46307.5,46367.5,46317.5,46369.0,46307.5,46367.5
26,BTCUSD,M5,2022-04-02 19:30:00,2022-04-02T19:30:00,1055,46367.5,46368.0,46278.34,46282.5,46367.5,46368.0,46278.34,46282.5,46367.5,46368.0,46278.34,46282.5
27,BTCUSD,M5,2022-04-02 19:35:00,2022-04-02T19:35:00,1240,46282.5,46325.98,46254.0,46314.5,46282.5,46325.98,46254.0,46314.5,46282.5,46325.98,46254.0,46314.5
28,BTCUSD,M5,2022-04-02 19:40:00,2022-04-02T19:40:00,814,46317.86,46378.0,46310.23,46368.61,46317.86,46378.0,46310.23,46368.61,46317.86,46378.0,46310.23,46368.61
29,BTCUSD,M5,2022-04-02 19:45:00,2022-04-02T19:45:00,884,46368.5,46441.76,46319.84,46335.0,46368.5,46441.76,46319.84,46335.0,46368.5,46441.76,46319.84,46335.0
30,BTCUSD,M5,2022-04-02 19:50:00,2022-04-02T19:50:00,885,46334.5,46372.5,46319.95,46334.5,46334.5,46372.5,46319.95,46334.5,46334.5,46372.5,46319.95,46334.5
31,BTCUSD,M5,2022-04-02 19:55:00,2022-04-02T19:55:00,1179,46334.5,46381.0,46316.34,46328.5,46334.5,46381.0,46316.34,46328.5,46334.5,46381.0,46316.34,46328.5
32,BTCUSD,M5,2022-04-02 20:00:00,2022-04-02T20:00:00,988,46328.5,46374.0,46270.35,46370.0,46328.5,46374.0,46270.35,46370.0,46328.5,46374.0,46270.35,46370.0
33,BTCUSD,M5,2022-04-02 20:05:00,2022-04-02T20:05:00,967,46370.5,46399.5,46334.2,46366.0,46370.5,46399.5,46334.2,46366.0,46370.5,46399.5,46334.2,46366.0
34,BTCUSD,M5,2022-04-02 20:10:00,2022-04-02T20:10:00,747,46364.6,46378.0,46325.5,46346.0,46364.6,46378.0,46325.5,46346.0,46364.6,46378.0,46325.5,46346.0
35,BTCUSD,M5,2022-04-02 20:15:00,2022-04-02T20:15:00,1025,46346.5,46391.25,46342.79,46362.0,46346.5,46391.25,46342.79,46362.0,46346.5,46391.25,46342.79,46362.0
36,BTCUSD,M5,2022-04-02 20:20:00,2022-04-02T20:20:00,1093,46364.0,46388.53,46339.0,46376.5,46364.0,46388.53,46339.0,46376.5,46364.0,46388.53,46339.0,46376.5
37,BTCUSD,M5,2022-04-02 20:25:00,2022-04-02T20:25:00,1055,46373.3,46399.0,46368.5,46387.11,46373.3,46399.0,46368.5,46387.11,46373.3,46399.0,46368.5,46387.11
38,BTCUSD,M5,2022-04-02 20:30:00,2022-04-02T20:30:00,1030,46388.5,46444.0,46388.5,46414.5,46388.5,46444.0,46388.5,46414.5,46388.5,46444.0,46388.5,46414.5
39,BTCUSD,M5,2022-04-02 20:35:00,2022-04-02T20:35:00,979,46413.77,46436.5,46374.41,46417.5,46413.77,46436.5,46374.41,46417.5,46413.77,46436.5,46374.41,46417.5
40,BTCUSD,M5,2022-04-02 20:40:00,2022-04-02T20:40:00,773,46418.5,46439.5,46410.5,46433.5,46418.5,46439.5,46410.5,46433.5,46418.5,46439.5,46410.5,46433.5
41,BTCUSD,M5,2022-04-02 20:45:00,2022-04-02T20:45:00,951,46433.5,46442.0,46403.0,46437.5,46433.5,46442.0,46403.0,46437.5,46433.5,46442.0,46403.0,46437.5
