,instrument,granularity,time,stringTime,volume,bidOpen,bidHigh,bidLow,bidClose,midOpen,midHigh,midLow,midClose,askOpen,askHigh,askLow,askClose
0,EURJPY,D1,2003-01-22,2003-01-22T00:00:00,11765,126.73,127.07,126.21,126.92,126.73,127.07,126.21,126.92,126.73,127.07,126.21,126.92
1,EURJPY,D1,2003-01-23,2003-01-23T00:00:00,12571,126.93,127.27,126.51,126.86,126.93,127.27,126.51,126.86,126.93,127.27,126.51,126.86
2,EURJPY,D1,2003-01-24,2003-01-24T00:00:00,12557,126.89,127.82,126.8,127.58,126.89,127.82,126.8,127.58,126.89,127.82,126.8,127.58
3,EURJPY,D1,2003-01-27,2003-01-27T00:00:00,12853,127.72,129.01,127.51,128.53,127.72,129.01,127.51,128.53,127.72,129.01,127.51,128.53
4,EURJPY,D1,2003-01-28,2003-01-28T00:00:00,11291,128.6,128.76,128.01,128.44,128.6,128.76,128.01,128.44,128.6,128.76,128.01,128.44
5,EURJPY,D1,2003-01-29,2003-01-29T00:00:00,11376,128.44,128.68,127.87,128.27,128.44,128.68,127.87,128.27,128.44,128.68,127.87,128.27
6,EURJPY,D1,2003-01-30,2003-01-30T00:00:00,12139,128.28,128.96,127.73,128.72,128.28,128.96,127.73,128.72,128.28,128.96,127.73,128.72
7,EURJPY,D1,2003-01-31,2003-01-31T00:00:00,12494,128.74,129.42,128.6,129.16,128.74,129.42,128.6,129.16,128.74,129.42,128.6,129.16
8,EURJPY,D1,2003-02-03,2003-02-03T00:00:00,12739,129.36,129.88,128.69,129.75,129.36,129.88,128.69,129.75,129.36,129.88,128.69,129.75
9,EURJPY,D1,2003-02-04,2003-02-04T00:00:00,11761,129.75,130.49,129.39,130.3,129.75,130.49,129.39,130.3,129.75,130.49,129.39,130.3
10,EURJPY,D1,2003-02-05,2003-02-05T00:00:00,13211,130.38,130.58,128.96,129.5,130.38,130.58,128.96,129.5,130.38,130.58,128.96,129.5
11,EURJPY,D1,2003-02-06,2003-02-06T00:00:00,11979,129.48,130.15,129.16,129.82,129.48,130.15,129.16,129.82,129.48,130.15,129.16,129.82
12,EURJPY,D1,2003-02-07,2003-02-07T00:00:00,9334,129.85,130.31,128.95,130.1,129.85,130.31,128.95,130.1,129.85,130.31,128.95,130.1
13,EURJPY,D1,2003-02-10,2003-02-10T00:00:00,12524,130.1,130.52,129.86,129.99,130.1,130.52,129.86,129.99,130.1,130.52,129.86,129.99
14,EURJPY,D1,2003-02-11,2003-02-11T00:00:00,11648,129.99,130.36,129.57,130.0,129.99,130.36,129.57,130.0,129.99,130.36,129.57,130.0
15,EURJPY,D1,2003-02-12,2003-02-12T00:00:00,11703,130.02,130.33,129.46,130.03,130.02,130.33,129.46,130.03,130.02,130.33,129.46,130.03
16,EURJPY,D1,2003-02-13,2003-02-13T00:00:00,12432,130.06,130.82,129.75,130.64,130.06,130.82,129.75,130.64,130.06,130.82,129.75,130.64
17,EURJPY,D1,2003-02-14,2003-02-14T00:00:00,11626,130.65,130.84,129.46,129.87,130.65,130.84,129.46,129.87,130.65,130.84,129.46,129.87
18,EURJPY,D1,2003-02-17,2003-02-17T00:00:00,9719,129.83,129.88,128.45,129.05,129.83,129.88,128.45,129.05,129.83,129.88,128.45,129.05
19,EURJPY,D1,2003-02-18,2003-02-18T00:00:00,11902,129.05,129.13,126.92,127.25,129.05,129.13,126.92,127.25,129.05,129.13,126.92,127.25
20,EURJPY,D1,2003-02-19,2003-02-19T00:00:00,11539,127.25,127.85,126.91,127.6,127.25,127.85,126.91,127.6,127.25,127.85,126.91,127.6
21,EURJPY,D1,2003-02-20,2003-02-20T00:00:00,11200,127.57,128.24,127.43,128.08,127.57,128.24,127.43,128.08,127.57,128.24,127.43,128.08
22,EURJPY,D1,2003-02-21,2003-02-21T00:00:00,10858,128.06,128.78,127.66,127.81,128.06,128.78,127.66,127.81,128.06,128.78,127.66,127.81
23,EURJPY,D1,2003-02-24,2003-02-24T00:00:00,10671,127.42,127.61,126.25,127.17,127.42,127.61,126.25,127.17,127.42,127.61,126.25,127.17
24,EURJPY,D1,2003-02-25,2003-02-25T00:00:00,11970,127.11,127.73,126.01,126.34,127.11,127.73,126.01,126.34,127.11,127.73,126.01,126.34
25,EURJPY,D1,2003-02-26,2003-02-26T00:00:00,10510,126.38,126.64,126.04,126.36,126.38,126.64,126.04,126.36,126.38,126.64,126.04,126.36
26,EURJPY,D1,2003-02-27,2003-02-27T00:00:00,11484,126.39,126.85,126.09,126.49,126.39,126.85,126.09,126.49,126.39,126.85,126.09,126.49
27,EURJPY,D1,2003-02-28,2003-02-28T00:00:00,9721,126.5,127.72,126.41,127.63,126.5,127.72,126.41,127.63,126.5,127.72,126.41,127.63
28,EURJPY,D1,2003-03-03,2003-03-03T00:00:00,9282,127.42,128.23,127.18,128.12,127.42,128.23,127.18,128.12,127.42,128.23,127.18,128.12
29,EURJPY,D1,2003-03-04,2003-03-04T00:00:00,10509,128.16,128.79,128.0,128.57,128.16,128.79,128.0,128.57,128.16,128.79,128.0,128.57
30,EURJPY,D1,2003-03-05,2003-03-05T00:00:00,10425,128.6,129.0,128.43,128.59,128.6,129.0,128.43,128.59,128.6,129.0,128.43,128.59
31,EURJPY,D1,2003-03-06,2003-03-06T00:00:00,10152,128.61,129.02,128.41,128.73,128.61,129.02,128.41,128.73,128.61,129.02,128.41,128.73
