,instrument,granularity,time,stringTime,volume,bidOpen,bidHigh,bidLow,bidClose,midOpen,midHigh,midLow,midClose,askOpen,askHigh,askLow,askClose
0,EURJPY,H1,2021-07-01 17:00:00,2021-07-01T17:00:00,13824,132.296,132.399,132.206,132.366,132.296,132.399,132.206,132.366,132.296,132.399,132.206,132.366
1,EURJPY,H1,2021-07-01 18:00:00,2021-07-01T18:00:00,11341,132.365,132.368,132.19,132.259,132.365,132.368,132.19,132.259,132.365,132.368,132.19,132.259
2,EURJPY,H1,2021-07-01 19:00:00,2021-07-01T19:00:00,4873,132.259,132.281,132.182,132.196,132.259,132.281,132.182,132.196,132.259,132.281,132.182,132.196
3,EURJPY,H1,2021-07-01 20:00:00,2021-07-01T20:00:00,3284,132.196,132.277,132.193,132.23,132.196,132.277,132.193,132.23,132.196,132.277,132.193,132.23
4,EURJPY,H1,2021-07-01 21:00:00,2021-07-01T21:00:00,5461,132.23,132.259,132.161,132.171,132.23,132.259,132.161,132.171,132.23,132.259,132.161,132.171
5,EURJPY,H1,2021-07-01 22:00:00,2021-07-01T22:00:00,4936,132.171,132.177,132.127,132.148,132.171,132.177,132.127,132.148,132.171,132.177,132.127,132.148
6,EURJPY,H1,2021-07-01 23:00:00,2021-07-01T23:00:00,2103,132.148,132.185,132.129,132.129,132.148,132.185,132.129,132.129,132.148,132.185,132.129,132.129
7,EURJPY,H1,2021-07-02 00:00:00,2021-07-02T00:00:00,117,132.129,132.161,132.013,132.129,132.129,132.161,132.013,132.129,132.129,132.161,132.013,132.129
8,EURJPY,H1,2021-07-02 01:00:00,2021-07-02T01:00:00,1293,132.129,132.174,132.091,132.133,132.129,132.174,132.091,132.133,132.129,132.174,132.091,132.133
9,EURJPY,H1,2021-07-02 02:00:00,2021-07-02T02:00:00,3237,132.133,132.164,132.114,132.16,132.133,132.164,132.114,132.16,132.133,132.164,132.114,132.16
10,EURJPY,H1,2021-07-02 03:00:00,2021-07-02T03:00:00,4136,132.16,132.223,132.091,132.214,132.16,132.223,132.091,132.214,132.16,132.223,132.091,132.214
11,EURJPY,H1,2021-07-02 04:00:00,2021-07-02T04:00:00,5048,132.214,132.225,132.141,132.157,132.214,132.225,132.141,132.157,132.214,132.225,132.141,132.157
12,EURJPY,H1,2021-07-02 05:00:00,2021-07-02T05:00:00,3987,132.158,132.201,132.117,132.126,132.158,132.201,132.117,132.126,132.158,132.201,132.117,132.126
13,EURJPY,H1,2021-07-02 06:00:00,2021-07-02T06:00:00,2037,132.126,132.155,132.105,132.132,132.126,132.155,132.105,132.132,132.126,132.155,132.105,132.132
14,EURJPY,H1,2021-07-02 07:00:00,2021-07-02T07:00:00,1636,132.132,132.175,132.119,132.165,132.132,132.175,132.119,132.165,132.132,132.175,132.119,132.165
15,EURJPY,H1,2021-07-02 08:00:00,2021-07-02T08:00:00,1534,132.165,132.187,132.132,132.157,132.165,132.187,132.132,132.157,132.165,132.187,132.132,132.157
16,EURJPY,H1,2021-07-02 09:00:00,2021-07-02T09:00:00,4636,132.156,132.164,132.076,132.148,132.156,132.164,132.076,132.148,132.156,132.164,132.076,132.148
17,EURJPY,H1,2021-07-02 10:00:00,2021-07-02T10:00:00,9212,132.148,132.154,131.911,131.923,132.148,132.154,131.911,131.923,132.148,132.154,131.911,131.923
18,EURJPY,H1,2021-07-02 11:00:00,2021-07-02T11:00:00,7180,131.923,131.944,131.795,131.843,131.923,131.944,131.795,131.843,131.923,131.944,131.795,131.843
19,EURJPY,H1,2021-07-02 12:00:00,2021-07-02T12:00:00,4990,131.843,131.876,131.787,131.814,131.843,131.876,131.787,131.814,131.843,131.876,131.787,131.814
20,EURJPY,H1,2021-07-02 13:00:00,2021-07-02T13:00:00,5460,131.814,131.882,131.791,131.805,131.814,131.882,131.791,131.805,131.814,131.882,131.791,131.805
21,EURJPY,H1,2021-07-02 14:00:00,2021-07-02T14:00:00,6359,131.805,131.842,131.693,131.741,131.805,131.842,131.693,131.741,131.805,131.842,131.693,131.741
22,EURJPY,H1,2021-07-02 15:00:00,2021-07-02T15:00:00,31141,131.741,132.049,131.695,131.813,131.741,132.049,131.695,131.813,131.741,132.049,131.695,131.813
23,EURJPY,H1,2021-07-02 16:00:00,2021-07-02T16:00:00,20348,131.814,131.883,131.673,131.759,131.814,131.883,131.673,131.759,131.814,131.883,131.673,131.759
24,EURJPY,H1,2021-07-02 17:00:00,2021-07-02T17:00:00,13098,131.758,131.847,131.684,131.818,131.758,131.847,131.684,131.818,131.758,131.847,131.684,131.818
25,EURJPY,H1,2021-07-02 18:00:00,2021-07-02T18:00:00,9519,131.817,131.875,131.794,131.848,131.817,131.875,131.794,131.848,131.817,131.875,131.794,131.848
26,EURJPY,H1,2021-07-02 19:00:00,2021-07-02T19:00:00,4707,131.848,131.874,131.713,131.718,131.848,131.874,131.713,131.718,131.848,131.874,131.713,131.718
27,EURJPY,H1,2021-07-02 20:00:00,2021-07-02T20:00:00,7387,131.717,131.82,131.71,131.775,131.717,131.82,131.71,131.775,131.717,131.82,131.71,131.775
28,EURJPY,H1,2021-07-02 21:00:00,2021-07-02T21:00:00,4336,131.775,131.817,131.728,131.795,131.775,131.817,131.728,131.795,131.775,131.817,131.728,131.795
29,EURJPY,H1,2021-07-02 22:00:00,2021-07-02T22:00:00,2610,131.795,131.805,131.718,131.73,131.795,131.805,131.718,131.73,131.795,131.805,131.718,131.73
30,EURJPY,H1,2021-07-02 23:00:00,2021-07-02T23:00:00,2024,131.73,131.75,131.699,131.736,131.73,131.75,131.699,131.736,131.73,131.75,131.699,131.736
31,EURJPY,H1,2021-07-05 00:00:00,2021-07-05T00:00:00,531,131.532,131.723,131.532,131.709,131.532,131.723,131.532,131.709,131.532,131.723,131.532,131.709
32,EURJPY,H1,2021-07-05 01:00:00,2021-07-05T01:00:00,5039,131.709,131.811,131.658,131.804,131.709,131.811,131.658,131.804,131.709,131.811,131.658,131.804
33,EURJPY,H1,2021-07-05 02:00:00,2021-07-05T02:00:00,1864,131.804,131.817,131.759,131.761,131.804,131.817,131.759,131.761,131.804,131.817,131.759,131.761
34,EURJPY,H1,2021-07-05 03:00:00,2021-07-05T03:00:00,5067,131.761,131.862,131.739,131.78,131.761,131.862,131.739,131.78,131.761,131.862,131.739,131.78
35,EURJPY,H1,2021-07-05 04:00:00,2021-07-05T04:00:00,3328,131.78,131.804,131.707,131.711,131.78,131.804,131.707,131.711,131.78,131.804,131.707,131.711
36,EURJPY,H1,2021-07-05 05:00:00,2021-07-05T05:00:00,2050,131.711,131.733,131.661,131.674,131.711,131.733,131.661,131.674,131.711,131.733,131.661,131.674
37,EURJPY,H1,2021-07-05 06:00:00,2021-07-05T06:00:00,1371,131.674,131.729,131.673,131.704,131.674,131.729,131.673,131.704,131.674,131.729,131.673,131.704
38,EURJPY,H1,2021-07-05 07:00:00,2021-07-05T07:00:00,1638,131.704,131.773,131.701,131.769,131.704,131.773,131.701,131.769,131.704,131.773,131.701,131.769
39,EURJPY,H1,2021-07-05 08:00:00,2021-07-05T08:00:00,1568,131.769,131.772,131.725,131.729,131.769,131.772,131.725,131.729,131.769,131.772,131.725,131.729
40,EURJPY,H1,2021-07-05 09:00:00,2021-07-05T09:00:00,5653,131.729,131.772,131.632,131.642,131.729,131.772,131.632,131.642,131.729,131.772,131.632,131.642
41,EURJPY,H1,2021-07-05 10:00:00,2021-07-05T10:00:00,7046,131.642,131.752,131.605,131.666,131.642,131.752,131.605,131.666,131.642,131.752,131.605,131.666
42,EURJPY,H1,2021-07-05 11:00:00,2021-07-05T11:00:00,4975,131.666,131.668,131.577,131.639,131.666,131.668,131.577,131.639,131.666,131.668,131.577,131.639
43,EURJPY,H1,2021-07-05 12:00:00,2021-07-05T12:00:00,4286,131.639,131.672,131.616,131.627,131.639,131.672,131.616,131.627,131.639,131.672,131.616,131.627
44,EURJPY,H1,2021-07-05 13:00:00,2021-07-05T13:00:00,3628,131.627,131.642,131.549,131.615,131.627,131.642,131.549,131.615,131.627,131.642,131.549,131.615
45,EURJPY,H1,2021-07-05 14:00:00,2021-07-05T14:00:00,4273,131.615,131.642,131.563,131.595,131.615,131.642,131.563,131.595,131.615,131.642,131.563,131.595
46,EURJPY,H1,2021-07-05 15:00:00,2021-07-05T15:00:00,4788,131.595,131.632,131.541,131.588,131.595,131.632,131.541,131.588,131.595,131.632,131.541,131.588
47,EURJPY,H1,2021-07-05 16:00:00,2021-07-05T16:00:00,3458,131.588,131.653,131.563,131.646,131.588,131.653,131.563,131.646,131.588,131.653,131.563,131.646
48,EURJPY,H1,2021-07-05 17:00:00,2021-07-05T17:00:00,3885,131.646,131.647,131.56,131.592,131.646,131.647,131.56,131.592,131.646,131.647,131.56,131.592
49,EURJPY,H1,2021-07-05 18:00:00,2021-07-05T18:00:00,3069,131.592,131.626,131.574,131.601,131.592,131.626,131.574,131.601,131.592,131.626,131.574,131.601
50,EURJPY,H1,2021-07-05 19:00:00,2021-07-05T19:00:00,1538,131.601,131.634,131.583,131.604,131.601,131.634,131.583,131.604,131.601,131.634,131.583,131.604
51,EURJPY,H1,2021-07-05 20:00:00,2021-07-05T20:00:00,5654,131.604,131.63,131.571,131.615,131.604,131.63,131.571,131.615,131.604,131.63,131.571,131.615
52,EURJPY,H1,2021-07-05 21:00:00,2021-07-05T21:00:00,6256,131.615,131.627,131.582,131.609,131.615,131.627,131.582,131.609,131.615,131.627,131.582,131.609
53,EURJPY,H1,2021-07-05 22:00:00,2021-07-05T22:00:00,23944,131.607,131.682,131.596,131.628,131.607,131.682,131.596,131.628,131.607,131.682,131.596,131.628
54,EURJPY,H1,2021-07-05 23:00:00,2021-07-05T23:00:00,4111,131.628,131.661,131.586,131.61,131.628,131.661,131.586,131.61,131.628,131.661,131.586,131.61
55,EURJPY,H1,2021-07-06 00:00:00,2021-07-06T00:00:00,292,131.61,131.621,131.554,131.615,131.61,131.621,131.554,131.615,131.61,131.621,131.554,131.615
56,EURJPY,H1,2021-07-06 01:00:00,2021-07-06T01:00:00,1787,131.615,131.653,131.552,131.602,131.615,131.653,131.552,131.602,131.615,131.653,131.552,131.602
57,EURJPY,H1,2021-07-06 02:00:00,2021-07-06T02:00:00,3112,131.602,131.629,131.567,131.569,131.602,131.629,131.567,131.569,131.602,131.629,131.567,131.569
58,EURJPY,H1,2021-07-06 03:00:00,2021-07-06T03:00:00,4662,131.569,131.576,131.457,131.486,131.569,131.576,131.457,131.486,131.569,131.576,131.457,131.486
59,EURJPY,H1,2021-07-06 04:00:00,2021-07-06T04:00:00,3334,131.486,131.506,131.421,131.486,131.486,131.506,131.421,131.486,131.486,131.506,131.421,131.486
60,EURJPY,H1,2021-07-06 05:00:00,2021-07-06T05:00:00,3608,131.486,131.602,131.482,131.598,131.486,131.602,131.482,131.598,131.486,131.602,131.482,131.598
61,EURJPY,H1,2021-07-06 06:00:00,2021-07-06T06:00:00,4156,131.598,131.654,131.577,131.608,131.598,131.654,131.577,131.608,131.598,131.654,131.577,131.608
62,EURJPY,H1,2021-07-06 07:00:00,2021-07-06T07:00:00,3082,131.608,131.629,131.582,131.599,131.608,131.629,131.582,131.599,131.608,131.629,131.582,131.599
63,EURJPY,H1,2021-07-06 08:00:00,2021-07-06T08:00:00,2498,131.6,131.679,131.597,131.675,131.6,131.679,131.597,131.675,131.6,131.679,131.597,131.675
64,EURJPY,H1,2021-07-06 09:00:00,2021-07-06T09:00:00,11217,131.675,131.834,131.651,131.825,131.675,131.834,131.651,131.825,131.675,131.834,131.651,131.825
65,EURJPY,H1,2021-07-06 10:00:00,2021-07-06T10:00:00,11074,131.825,131.858,131.486,131.509,131.825,131.858,131.486,131.509,131.825,131.858,131.486,131.509
66,EURJPY,H1,2021-07-06 11:00:00,2021-07-06T11:00:00,11538,131.509,131.512,131.214,131.226,131.509,131.512,131.214,131.226,131.509,131.512,131.214,131.226
67,EURJPY,H1,2021-07-06 12:00:00,2021-07-06T12:00:00,8597,131.226,131.293,131.112,131.176,131.226,131.293,131.112,131.176,131.226,131.293,131.112,131.176
68,EURJPY,H1,2021-07-06 13:00:00,2021-07-06T13:00:00,5670,131.176,131.248,131.053,131.061,131.176,131.248,131.053,131.061,131.176,131.248,131.053,131.061
69,EURJPY,H1,2021-07-06 14:00:00,2021-07-06T14:00:00,5926,131.061,131.112,130.974,131.013,131.061,131.112,130.974,131.013,131.061,131.112,130.974,131.013
70,EURJPY,H1,2021-07-06 15:00:00,2021-07-06T15:00:00,11745,131.013,131.074,130.965,131.041,131.013,131.074,130.965,131.041,131.013,131.074,130.965,131.041
71,EURJPY,H1,2021-07-06 16:00:00,2021-07-06T16:00:00,15451,131.041,131.097,130.922,131.024,131.041,131.097,130.922,131.024,131.041,131.097,130.922,131.024
72,EURJPY,H1,2021-07-06 17:00:00,2021-07-06T17:00:00,20546,131.022,131.038,130.732,130.788,131.022,131.038,130.732,130.788,131.022,131.038,130.732,130.788
