,instrument,granularity,time,stringTime,volume,bidOpen,bidHigh,bidLow,bidClose,midOpen,midHigh,midLow,midClose,askOpen,askHigh,askLow,askClose
0,EURJPY,M5,2022-03-28 02:40:00,2022-03-28T02:40:00,366,134.263,134.281,134.229,134.255,134.263,134.281,134.229,134.255,134.263,134.281,134.229,134.255
1,EURJPY,M5,2022-03-28 02:45:00,2022-03-28T02:45:00,431,134.255,134.265,134.227,134.261,134.255,134.265,134.227,134.261,134.255,134.265,134.227,134.261
2,EURJPY,M5,2022-03-28 02:50:00,2022-03-28T02:50:00,268,134.261,134.304,134.248,134.266,134.261,134.304,134.248,134.266,134.261,134.304,134.248,134.266
3,EURJPY,M5,2022-03-28 02:55:00,2022-03-28T02:55:00,124,134.266,134.277,134.259,134.272,134.266,134.277,134.259,134.272,134.266,134.277,134.259,134.272
4,EURJPY,M5,2022-03-28 03:00:00,2022-03-28T03:00:00,539,134.272,134.356,134.26,134.283,134.272,134.356,134.26,134.283,134.272,134.356,134.26,134.283
5,EURJPY,M5,2022-03-28 03:05:00,2022-03-28T03:05:00,388,134.283,134.339,134.281,134.326,134.283,134.339,134.281,134.326,134.283,134.339,134.281,134.326
6,EURJPY,M5,2022-03-28 03:10:00,2022-03-28T03:10:00,200,134.326,134.331,134.292,134.314,134.326,134.331,134.292,134.314,134.326,134.331,134.292,134.314
7,EURJPY,M5,2022-03-28 03:15:00,2022-03-28T03:15:00,343,134.314,134.328,134.26,134.265,134.314,134.328,134.26,134.265,134.314,134.328,134.26,134.265
8,EURJPY,M5,2022-03-28 03:20:00,2022-03-28T03:20:00,312,134.262,134.296,134.262,134.277,134.262,134.296,134.262,134.277,134.262,134.296,134.262,134.277
9,EURJPY,M5,2022-03-28 03:25:00,2022-03-28T03:25:00,368,134.277,134.279,134.226,134.26,134.277,134.279,134.226,134.26,134.277,134.279,134.226,134.26
10,EURJPY,M5,2022-03-28 03:30:00,2022-03-28T03:30:00,348,134.26,134.288,134.233,134.246,134.26,134.288,134.233,134.246,134.26,134.288,134.233,134.246
11,EURJPY,M5,2022-03-28 03:35:00,2022-03-28T03:35:00,288,134.246,134.277,134.241,134.262,134.246,134.277,134.241,134.262,134.246,134.277,134.241,134.262
12,EURJPY,M5,2022-03-28 03:40:00,2022-03-28T03:40:00,363,134.262,134.287,134.254,134.286,134.262,134.287,134.254,134.286,134.262,134.287,134.254,134.286
13,EURJPY,M5,2022-03-28 03:45:00,2022-03-28T03:45:00,412,134.286,134.305,134.252,134.264,134.286,134.305,134.252,134.264,134.286,134.305,134.252,134.264
14,EURJPY,M5,2022-03-28 03:50:00,2022-03-28T03:50:00,445,134.267,134.326,134.267,134.325,134.267,134.326,134.267,134.325,134.267,134.326,134.267,134.325
15,EURJPY,M5,2022-03-28 03:55:00,2022-03-28T03:55:00,429,134.325,134.325,134.262,134.266,134.325,134.325,134.262,134.266,134.325,134.325,134.262,134.266
16,EURJPY,M5,2022-03-28 04:00:00,2022-03-28T04:00:00,757,134.266,134.305,134.207,134.232,134.266,134.305,134.207,134.232,134.266,134.305,134.207,134.232
17,EURJPY,M5,2022-03-28 04:05:00,2022-03-28T04:05:00,675,134.232,134.246,134.144,134.212,134.232,134.246,134.144,134.212,134.232,134.246,134.144,134.212
18,EURJPY,M5,2022-03-28 04:10:00,2022-03-28T04:10:00,460,134.211,134.22,134.148,134.148,134.211,134.22,134.148,134.148,134.211,134.22,134.148,134.148
19,EURJPY,M5,2022-03-28 04:15:00,2022-03-28T04:15:00,645,134.147,134.217,134.142,134.215,134.147,134.217,134.142,134.215,134.147,134.217,134.142,134.215
20,EURJPY,M5,2022-03-28 04:20:00,2022-03-28T04:20:00,663,134.215,134.248,134.175,134.247,134.215,134.248,134.175,134.247,134.215,134.248,134.175,134.247
21,EURJPY,M5,2022-03-28 04:25:00,2022-03-28T04:25:00,675,134.247,134.255,134.207,134.24,134.247,134.255,134.207,134.24,134.247,134.255,134.207,134.24
22,EURJPY,M5,2022-03-28 04:30:00,2022-03-28T04:30:00,454,134.239,134.244,134.188,134.22,134.239,134.244,134.188,134.22,134.239,134.244,134.188,134.22
23,EURJPY,M5,2022-03-28 04:35:00,2022-03-28T04:35:00,248,134.22,134.233,134.183,134.189,134.22,134.233,134.183,134.189,134.22,134.233,134.183,134.189
24,EURJPY,M5,2022-03-28 04:40:00,2022-03-28T04:40:00,443,134.189,134.242,134.182,134.218,134.189,134.242,134.182,134.218,134.189,134.242,134.182,134.218
25,EURJPY,M5,2022-03-28 04:45:00,2022-03-28T04:45:00,665,134.218,134.225,134.049,134.118,134.218,134.225,134.049,134.118,134.218,134.225,134.049,134.118
26,EURJPY,M5,2022-03-28 04:50:00,2022-03-28T04:50:00,1026,134.118,134.136,134.06,134.067,134.118,134.136,134.06,134.067,134.118,134.136,134.06,134.067
27,EURJPY,M5,2022-03-28 04:55:00,2022-03-28T04:55:00,794,134.064,134.103,134.041,134.094,134.064,134.103,134.041,134.094,134.064,134.103,134.041,134.094
28,EURJPY,M5,2022-03-28 05:00:00,2022-03-28T05:00:00,769,134.094,134.143,134.056,134.134,134.094,134.143,134.056,134.134,134.094,134.143,134.056,134.134
29,EURJPY,M5,2022-03-28 05:05:00,2022-03-28T05:05:00,451,134.134,134.148,134.062,134.086,134.134,134.148,134.062,134.086,134.134,134.148,134.062,134.086
30,EURJPY,M5,2022-03-28 05:10:00,2022-03-28T05:10:00,2366,134.086,134.615,134.084,134.475,134.086,134.615,134.084,134.475,134.086,134.615,134.084,134.475
31,EURJPY,M5,2022-03-28 05:15:00,2022-03-28T05:15:00,1687,134.477,134.587,134.425,134.517,134.477,134.587,134.425,134.517,134.477,134.587,134.425,134.517
32,EURJPY,M5,2022-03-28 05:20:00,2022-03-28T05:20:00,1684,134.517,134.743,134.495,134.683,134.517,134.743,134.495,134.683,134.517,134.743,134.495,134.683
33,EURJPY,M5,2022-03-28 05:25:00,2022-03-28T05:25:00,1667,134.685,134.779,134.545,134.577,134.685,134.779,134.545,134.577,134.685,134.779,134.545,134.577
34,EURJPY,M5,2022-03-28 05:30:00,2022-03-28T05:30:00,1321,134.577,134.663,134.566,134.636,134.577,134.663,134.566,134.636,134.577,134.663,134.566,134.636
35,EURJPY,M5,2022-03-28 05:35:00,2022-03-28T05:35:00,967,134.635,134.688,134.617,134.685,134.635,134.688,134.617,134.685,134.635,134.688,134.617,134.685
36,EURJPY,M5,2022-03-28 05:40:00,2022-03-28T05:40:00,751,134.685,134.685,134.61,134.612,134.685,134.685,134.61,134.612,134.685,134.685,134.61,134.612
37,EURJPY,M5,2022-03-28 05:45:00,2022-03-28T05:45:00,843,134.612,134.663,134.604,134.629,134.612,134.663,134.604,134.629,134.612,134.663,134.604,134.629
38,EURJPY,M5,2022-03-28 05:50:00,2022-03-28T05:50:00,744,134.629,134.679,134.62,134.669,134.629,134.679,134.62,134.669,134.629,134.679,134.62,134.669
39,EURJPY,M5,2022-03-28 05:55:00,2022-03-28T05:55:00,810,134.669,134.729,134.652,134.697,134.669,134.729,134.652,134.697,134.669,134.729,134.652,134.697
40,EURJPY,M5,2022-03-28 06:00:00,2022-03-28T06:00:00,1511,134.697,134.842,134.688,134.723,134.697,134.842,134.688,134.723,134.697,134.842,134.688,134.723
41,EURJPY,M5,2022-03-28 06:05:00,2022-03-28T06:05:00,1061,134.722,134.824,134.722,134.759,134.722,134.824,134.722,134.759,134.722,134.824,134.722,134.759
42,EURJPY,M5,2022-03-28 06:10:00,2022-03-28T06:10:00,967,134.759,134.788,134.69,134.699,134.759,134.788,134.69,134.699,134.759,134.788,134.69,134.699
