,instrument,granularity,time,stringTime,volume,bidOpen,bidHigh,bidLow,bidClose,midOpen,midHigh,midLow,midClose,askOpen,askHigh,askLow,askClose
0,GBPUSD,H1,2021-07-02 03:00:00,2021-07-02T03:00:00,2293,1.37583,1.3772199999999999,1.3757,1.376,1.37583,1.3772199999999999,1.3757,1.376,1.37583,1.3772199999999999,1.3757,1.376
1,GBPUSD,H1,2021-07-02 04:00:00,2021-07-02T04:00:00,3061,1.376,1.37656,1.37568,1.37621,1.376,1.37656,1.37568,1.37621,1.376,1.37656,1.37568,1.37621
2,GBPUSD,H1,2021-07-02 05:00:00,2021-07-02T05:00:00,1432,1.37622,1.37682,1.37602,1.3768,1.37622,1.37682,1.37602,1.3768,1.37622,1.37682,1.37602,1.3768
3,GBPUSD,H1,2021-07-02 06:00:00,2021-07-02T06:00:00,1498,1.3768,1.37693,1.3764,1.37672,1.3768,1.37693,1.3764,1.37672,1.3768,1.37693,1.3764,1.37672
4,GBPUSD,H1,2021-07-02 07:00:00,2021-07-02T07:00:00,961,1.37672,1.37757,1.37671,1.37703,1.37672,1.37757,1.37671,1.37703,1.37672,1.37757,1.37671,1.37703
5,GBPUSD,H1,2021-07-02 08:00:00,2021-07-02T08:00:00,1042,1.37703,1.3773,1.37628,1.37667,1.37703,1.3773,1.37628,1.37667,1.37703,1.3773,1.37628,1.37667
6,GBPUSD,H1,2021-07-02 09:00:00,2021-07-02T09:00:00,3969,1.37666,1.37668,1.37494,1.37531,1.37666,1.37668,1.37494,1.37531,1.37666,1.37668,1.37494,1.37531
7,GBPUSD,H1,2021-07-02 10:00:00,2021-07-02T10:00:00,6474,1.37531,1.37605,1.37432,1.37594,1.37531,1.37605,1.37432,1.37594,1.37531,1.37605,1.37432,1.37594
8,GBPUSD,H1,2021-07-02 11:00:00,2021-07-02T11:00:00,4544,1.37594,1.37668,1.37531,1.37543,1.37594,1.37668,1.37531,1.37543,1.37594,1.37668,1.37531,1.37543
9,GBPUSD,H1,2021-07-02 12:00:00,2021-07-02T12:00:00,3366,1.37543,1.37612,1.37489,1.37491,1.37543,1.37612,1.37489,1.37491,1.37543,1.37612,1.37489,1.37491
