,instrument,granularity,time,stringTime,volume,bidOpen,bidHigh,bidLow,bidClose,midOpen,midHigh,midLow,midClose,askOpen,askHigh,askLow,askClose
0,TSLA,D1,2021-09-03,2021-09-03T00:00:00,55064,729.09,733.31,724.1,730.82,729.09,733.31,724.1,730.82,729.09,733.31,724.1,730.82
1,TSLA,D1,2021-09-07,2021-09-07T00:00:00,81568,748.01,760.15,748.0,752.1,748.01,760.15,748.0,752.1,748.01,760.15,748.0,752.1
2,TSLA,D1,2021-09-08,2021-09-08T00:00:00,62640,757.61,761.19,740.84,753.74,757.61,761.19,740.84,753.74,757.61,761.19,740.84,753.74
3,TSLA,D1,2021-09-09,2021-09-09T00:00:00,48271,759.66,761.96,751.5,754.84,759.66,761.96,751.5,754.84,759.66,761.96,751.5,754.84
4,TSLA,D1,2021-09-10,2021-09-10T00:00:00,40520,758.59,759.98,734.49,735.21,758.59,759.98,734.49,735.21,758.59,759.98,734.49,735.21
5,TSLA,D1,2021-09-13,2021-09-13T00:00:00,62017,734.69,744.73,708.3,744.03,734.69,744.73,708.3,744.03,734.69,744.73,708.3,744.03
6,TSLA,D1,2021-09-14,2021-09-14T00:00:00,65247,748.2,754.37,736.37,744.94,748.2,754.37,736.37,744.94,748.2,754.37,736.37,744.94
7,TSLA,D1,2021-09-15,2021-09-15T00:00:00,55628,743.91,756.81,738.24,755.71,743.91,756.81,738.24,755.71,743.91,756.81,738.24,755.71
8,TSLA,D1,2021-09-16,2021-09-16T00:00:00,38814,753.76,758.87,747.5,757.83,753.76,758.87,747.5,757.83,753.76,758.87,747.5,757.83
9,TSLA,D1,2021-09-17,2021-09-17T00:00:00,39588,755.77,760.86,750.06,758.0,755.77,760.86,750.06,758.0,755.77,760.86,750.06,758.0
10,TSLA,D1,2021-09-20,2021-09-20T00:00:00,49313,738.14,741.12,718.57,726.0,738.14,741.12,718.57,726.0,738.14,741.12,718.57,726.0
11,TSLA,D1,2021-09-21,2021-09-21T00:00:00,60952,733.39,744.62,733.07,740.1,733.39,744.62,733.07,740.1,733.39,744.62,733.07,740.1
12,TSLA,D1,2021-09-22,2021-09-22T00:00:00,29655,741.23,753.61,739.22,751.69,741.23,753.61,739.22,751.69,741.23,753.61,739.22,751.69
13,TSLA,D1,2021-09-23,2021-09-23T00:00:00,16239,753.11,756.15,747.77,754.54,753.11,756.15,747.77,754.54,753.11,756.15,747.77,754.54
14,TSLA,D1,2021-09-24,2021-09-24T00:00:00,22487,748.51,773.12,745.61,773.06,748.51,773.12,745.61,773.06,748.51,773.12,745.61,773.06
15,TSLA,D1,2021-09-27,2021-09-27T00:00:00,24201,772.65,798.98,769.18,790.23,772.65,798.98,769.18,790.23,772.65,798.98,769.18,790.23
16,TSLA,D1,2021-09-28,2021-09-28T00:00:00,26092,788.95,795.5,766.22,778.88,788.95,795.5,766.22,778.88,788.95,795.5,766.22,778.88
17,TSLA,D1,2021-09-29,2021-09-29T00:00:00,20687,782.02,793.36,770.56,782.28,782.02,793.36,770.56,782.28,782.02,793.36,770.56,782.28
18,TSLA,D1,2021-09-30,2021-09-30T00:00:00,18912,781.41,789.03,775.3,775.61,781.41,789.03,775.3,775.61,781.41,789.03,775.3,775.61
19,TSLA,D1,2021-10-01,2021-10-01T00:00:00,19611,775.57,779.57,763.38,775.24,775.57,779.57,763.38,775.24,775.57,779.57,763.38,775.24
20,TSLA,D1,2021-10-04,2021-10-04T00:00:00,28802,800.54,806.8,776.0,778.4,800.54,806.8,776.0,778.4,800.54,806.8,776.0,778.4
21,TSLA,D1,2021-10-05,2021-10-05T00:00:00,20509,784.76,797.2,774.1,781.42,784.76,797.2,774.1,781.42,784.76,797.2,774.1,781.42
22,TSLA,D1,2021-10-06,2021-10-06T00:00:00,20924,783.56,786.37,773.0,781.61,783.56,786.37,773.0,781.61,783.56,786.37,773.0,781.61
23,TSLA,D1,2021-10-07,2021-10-07T00:00:00,20679,785.91,804.98,783.2,793.32,785.91,804.98,783.2,793.32,785.91,804.98,783.2,793.32
24,TSLA,D1,2021-10-08,2021-10-08T00:00:00,22657,790.47,793.5,781.7,785.4,790.47,793.5,781.7,785.4,790.47,793.5,781.7,785.4
25,TSLA,D1,2021-10-11,2021-10-11T00:00:00,17965,789.59,801.07,789.59,792.16,789.59,801.07,789.59,792.16,789.59,801.07,789.59,792.16
26,TSLA,D1,2021-10-12,2021-10-12T00:00:00,18939,801.0,812.25,799.8,805.41,801.0,812.25,799.8,805.41,801.0,812.25,799.8,805.41
27,TSLA,D1,2021-10-13,2021-10-13T00:00:00,15615,807.0,815.38,805.72,810.07,807.0,815.38,805.72,810.07,807.0,815.38,805.72,810.07
28,TSLA,D1,2021-10-14,2021-10-14T00:00:00,13640,814.78,820.13,814.0,818.14,814.78,820.13,814.0,818.14,814.78,820.13,814.0,818.14
29,TSLA,D1,2021-10-15,2021-10-15T00:00:00,17406,824.1,842.42,823.22,841.45,824.1,842.42,823.22,841.45,824.1,842.42,823.22,841.45
30,TSLA,D1,2021-10-18,2021-10-18T00:00:00,20875,857.22,875.0,855.0,870.36,857.22,875.0,855.0,870.36,857.22,875.0,855.0,870.36
31,TSLA,D1,2021-10-19,2021-10-19T00:00:00,15689,871.51,875.91,862.5,864.21,871.51,875.91,862.5,864.21,871.51,875.91,862.5,864.21
32,TSLA,D1,2021-10-20,2021-10-20T00:00:00,15239,862.28,869.35,857.24,865.49,862.28,869.35,857.24,865.49,862.28,869.35,857.24,865.49
33,TSLA,D1,2021-10-21,2021-10-21T00:00:00,23534,867.94,899.87,867.54,894.21,867.94,899.87,867.54,894.21,867.94,899.87,867.54,894.21
34,TSLA,D1,2021-10-22,2021-10-22T00:00:00,22172,901.81,909.95,895.61,909.7,901.81,909.95,895.61,909.7,901.81,909.95,895.61,909.7
35,TSLA,D1,2021-10-25,2021-10-25T00:00:00,35632,960.41,1044.63,944.18,1027.27,960.41,1044.63,944.18,1027.27,960.41,1044.63,944.18,1027.27
36,TSLA,D1,2021-10-26,2021-10-26T00:00:00,36085,1036.81,1094.76,1001.0,1020.16,1036.81,1094.76,1001.0,1020.16,1036.81,1094.76,1001.0,1020.16
37,TSLA,D1,2021-10-27,2021-10-27T00:00:00,23479,1038.12,1070.28,1030.27,1034.84,1038.12,1070.28,1030.27,1034.84,1038.12,1070.28,1030.27,1034.84
38,TSLA,D1,2021-10-28,2021-10-28T00:00:00,18557,1065.7,1079.35,1054.0,1075.45,1065.7,1079.35,1054.0,1075.45,1065.7,1079.35,1054.0,1075.45
39,TSLA,D1,2021-10-29,2021-10-29T00:00:00,21255,1076.65,1110.79,1073.3,1110.72,1076.65,1110.79,1073.3,1110.72,1076.65,1110.79,1073.3,1110.72
40,TSLA,D1,2021-11-01,2021-11-01T00:00:00,28733,1133.06,1201.54,1118.65,1198.16,1133.06,1201.54,1118.65,1198.16,1133.06,1201.54,1118.65,1198.16
41,TSLA,D1,2021-11-02,2021-11-02T00:00:00,35729,1156.48,1208.22,1152.29,1171.58,1156.48,1208.22,1152.29,1171.58,1156.48,1208.22,1152.29,1171.58
42,TSLA,D1,2021-11-03,2021-11-03T00:00:00,31757,1187.0,1211.63,1152.6,1210.87,1187.0,1211.63,1152.6,1210.87,1187.0,1211.63,1152.6,1210.87
43,TSLA,D1,2021-11-04,2021-11-04T00:00:00,27555,1228.48,1242.99,1216.8,1236.25,1228.48,1242.99,1216.8,1236.25,1228.48,1242.99,1216.8,1236.25
44,TSLA,D1,2021-11-05,2021-11-05T00:00:00,23864,1228.45,1239.69,1207.25,1225.12,1228.45,1239.69,1207.25,1225.12,1228.45,1239.69,1207.25,1225.12
45,TSLA,D1,2021-11-08,2021-11-08T00:00:00,21920,1166.83,1196.77,1159.85,1163.22,1166.83,1196.77,1159.85,1163.22,1166.83,1196.77,1159.85,1163.22
46,TSLA,D1,2021-11-09,2021-11-09T00:00:00,33163,1160.59,1160.59,1011.67,1020.99,1160.59,1160.59,1011.67,1020.99,1160.59,1160.59,1011.67,1020.99
47,TSLA,D1,2021-11-10,2021-11-10T00:00:00,27722,997.29,1077.63,996.38,1073.38,997.29,1077.63,996.38,1073.38,997.29,1077.63,996.38,1073.38
48,TSLA,D1,2021-11-11,2021-11-11T00:00:00,20794,1086.33,1094.4,1054.29,1061.0,1086.33,1094.4,1054.29,1061.0,1086.33,1094.4,1054.29,1061.0
49,TSLA,D1,2021-11-12,2021-11-12T00:00:00,22166,1048.56,1051.86,1019.21,1034.44,1048.56,1051.86,1019.21,1034.44,1048.56,1051.86,1019.21,1034.44
50,TSLA,D1,2021-11-15,2021-11-15T00:00:00,26609,1006.12,1031.79,978.52,1010.14,1006.12,1031.79,978.52,1010.14,1006.12,1031.79,978.52,1010.14
51,TSLA,D1,2021-11-16,2021-11-16T00:00:00,20887,1022.0,1056.93,1019.38,1055.55,1022.0,1056.93,1019.38,1055.55,1022.0,1056.93,1019.38,1055.55
52,TSLA,D1,2021-11-17,2021-11-17T00:00:00,26579,1060.57,1119.46,1057.25,1089.52,1060.57,1119.46,1057.25,1089.52,1060.57,1119.46,1057.25,1089.52
53,TSLA,D1,2021-11-18,2021-11-18T00:00:00,18794,1098.27,1111.44,1075.01,1096.6,1098.27,1111.44,1075.01,1096.6,1098.27,1111.44,1075.01,1096.6
54,TSLA,D1,2021-11-19,2021-11-19T00:00:00,19951,1094.6,1138.3,1093.12,1133.97,1094.6,1138.3,1093.12,1133.97,1094.6,1138.3,1093.12,1133.97
55,TSLA,D1,2021-11-22,2021-11-22T00:00:00,24167,1173.27,1201.64,1132.01,1157.0,1173.27,1201.64,1132.01,1157.0,1173.27,1201.64,1132.01,1157.0
56,TSLA,D1,2021-11-23,2021-11-23T00:00:00,28460,1159.0,1180.07,1062.52,1108.25,1159.0,1180.07,1062.52,1108.25,1159.0,1180.07,1062.52,1108.25
57,TSLA,D1,2021-11-24,2021-11-24T00:00:00,18594,1063.0,1132.1,1061.0,1114.47,1063.0,1132.1,1061.0,1114.47,1063.0,1132.1,1061.0,1114.47
58,TSLA,D1,2021-11-26,2021-11-26T00:00:00,11924,1095.15,1106.27,1080.87,1081.66,1095.15,1106.27,1080.87,1081.66,1095.15,1106.27,1080.87,1081.66
59,TSLA,D1,2021-11-29,2021-11-29T00:00:00,18213,1112.75,1142.53,1108.55,1133.32,1112.75,1142.53,1108.55,1133.32,1112.75,1142.53,1108.55,1133.32
