,instrument,granularity,time,stringTime,volume,bidOpen,bidHigh,bidLow,bidClose,midOpen,midHigh,midLow,midClose,askOpen,askHigh,askLow,askClose
0,TSLA,H1,2021-09-03 16:00:00,2021-09-03T16:00:00,7204,729.09,732.03,727.38,731.54,729.09,732.03,727.38,731.54,729.09,732.03,727.38,731.54
1,TSLA,H1,2021-09-03 17:00:00,2021-09-03T17:00:00,11003,731.81,733.31,728.08,730.18,731.81,733.31,728.08,730.18,731.81,733.31,728.08,730.18
2,TSLA,H1,2021-09-03 18:00:00,2021-09-03T18:00:00,8209,730.01,730.21,725.44,725.98,730.01,730.21,725.44,725.98,730.01,730.21,725.44,725.98
3,TSLA,H1,2021-09-03 19:00:00,2021-09-03T19:00:00,8238,725.98,730.43,724.1,730.14,725.98,730.43,724.1,730.14,725.98,730.43,724.1,730.14
4,TSLA,H1,2021-09-03 20:00:00,2021-09-03T20:00:00,6779,730.06,730.91,725.5,726.37,730.06,730.91,725.5,726.37,730.06,730.91,725.5,726.37
5,TSLA,H1,2021-09-03 21:00:00,2021-09-03T21:00:00,5337,726.37,727.48,725.5,726.75,726.37,727.48,725.5,726.75,726.37,727.48,725.5,726.75
6,TSLA,H1,2021-09-03 22:00:00,2021-09-03T22:00:00,8294,726.75,731.47,726.49,730.82,726.75,731.47,726.49,730.82,726.75,731.47,726.49,730.82
7,TSLA,H1,2021-09-07 16:00:00,2021-09-07T16:00:00,11065,748.01,756.4,748.0,754.21,748.01,756.4,748.0,754.21,748.01,756.4,748.0,754.21
8,TSLA,H1,2021-09-07 17:00:00,2021-09-07T17:00:00,19220,754.0,760.15,753.0,754.87,754.0,760.15,753.0,754.87,754.0,760.15,753.0,754.87
9,TSLA,H1,2021-09-07 18:00:00,2021-09-07T18:00:00,14335,754.93,755.2,748.53,750.63,754.93,755.2,748.53,750.63,754.93,755.2,748.53,750.63
10,TSLA,H1,2021-09-07 19:00:00,2021-09-07T19:00:00,10545,750.63,753.22,749.03,750.45,750.63,753.22,749.03,750.45,750.63,753.22,749.03,750.45
11,TSLA,H1,2021-09-07 20:00:00,2021-09-07T20:00:00,7757,750.51,754.55,750.0,754.23,750.51,754.55,750.0,754.23,750.51,754.55,750.0,754.23
12,TSLA,H1,2021-09-07 21:00:00,2021-09-07T21:00:00,9410,754.23,755.19,751.6,754.76,754.23,755.19,751.6,754.76,754.23,755.19,751.6,754.76
13,TSLA,H1,2021-09-07 22:00:00,2021-09-07T22:00:00,9236,754.84,755.56,751.11,752.1,754.84,755.56,751.11,752.1,754.84,755.56,751.11,752.1
14,TSLA,H1,2021-09-08 16:00:00,2021-09-08T16:00:00,6329,757.61,761.19,753.5,755.3,757.61,761.19,753.5,755.3,757.61,761.19,753.5,755.3
