,instrument,granularity,time,stringTime,volume,bidOpen,bidHigh,bidLow,bidClose,midOpen,midHigh,midLow,midClose,askOpen,askHigh,askLow,askClose
0,TSLA,M5,2022-01-13 16:35:00,2022-01-13T16:35:00,1110,1103.81,1108.51,1098.88,1106.95,1103.81,1108.51,1098.88,1106.95,1103.81,1108.51,1098.88,1106.95
1,TSLA,M5,2022-01-13 16:40:00,2022-01-13T16:40:00,913,1107.0,1110.71,1102.12,1105.52,1107.0,1110.71,1102.12,1105.52,1107.0,1110.71,1102.12,1105.52
2,TSLA,M5,2022-01-13 16:45:00,2022-01-13T16:45:00,870,1105.53,1107.15,1100.81,1102.9,1105.53,1107.15,1100.81,1102.9,1105.53,1107.15,1100.81,1102.9
3,TSLA,M5,2022-01-13 16:50:00,2022-01-13T16:50:00,1041,1102.42,1110.73,1102.42,1107.75,1102.42,1110.73,1102.42,1107.75,1102.42,1110.73,1102.42,1107.75
4,TSLA,M5,2022-01-13 16:55:00,2022-01-13T16:55:00,1027,1107.7,1115.39,1107.47,1110.8,1107.7,1115.39,1107.47,1110.8,1107.7,1115.39,1107.47,1110.8
5,TSLA,M5,2022-01-13 17:00:00,2022-01-13T17:00:00,703,1110.68,1112.19,1104.31,1104.76,1110.68,1112.19,1104.31,1104.76,1110.68,1112.19,1104.31,1104.76
6,TSLA,M5,2022-01-13 17:05:00,2022-01-13T17:05:00,785,1104.73,1106.11,1101.4,1102.0,1104.73,1106.11,1101.4,1102.0,1104.73,1106.11,1101.4,1102.0
7,TSLA,M5,2022-01-13 17:10:00,2022-01-13T17:10:00,886,1101.3,1103.02,1098.12,1099.04,1101.3,1103.02,1098.12,1099.04,1101.3,1103.02,1098.12,1099.04
8,TSLA,M5,2022-01-13 17:15:00,2022-01-13T17:15:00,1149,1099.05,1099.05,1087.16,1090.69,1099.05,1099.05,1087.16,1090.69,1099.05,1099.05,1087.16,1090.69
9,TSLA,M5,2022-01-13 17:20:00,2022-01-13T17:20:00,979,1090.68,1095.59,1090.0,1095.0,1090.68,1095.59,1090.0,1095.0,1090.68,1095.59,1090.0,1095.0
10,TSLA,M5,2022-01-13 17:25:00,2022-01-13T17:25:00,885,1095.01,1098.5,1090.67,1097.57,1095.01,1098.5,1090.67,1097.57,1095.01,1098.5,1090.67,1097.57
11,TSLA,M5,2022-01-13 17:30:00,2022-01-13T17:30:00,918,1097.41,1098.81,1088.1,1090.6,1097.41,1098.81,1088.1,1090.6,1097.41,1098.81,1088.1,1090.6
12,TSLA,M5,2022-01-13 17:35:00,2022-01-13T17:35:00,856,1090.6,1093.09,1085.22,1087.7,1090.6,1093.09,1085.22,1087.7,1090.6,1093.09,1085.22,1087.7
13,TSLA,M5,2022-01-13 17:40:00,2022-01-13T17:40:00,1061,1087.71,1089.16,1078.36,1082.09,1087.71,1089.16,1078.36,1082.09,1087.71,1089.16,1078.36,1082.09
14,TSLA,M5,2022-01-13 17:45:00,2022-01-13T17:45:00,887,1082.09,1084.04,1078.62,1078.88,1082.09,1084.04,1078.62,1078.88,1082.09,1084.04,1078.62,1078.88
15,TSLA,M5,2022-01-13 17:50:00,2022-01-13T17:50:00,1283,1078.65,1078.9,1069.09,1070.93,1078.65,1078.9,1069.09,1070.93,1078.65,1078.9,1069.09,1070.93
16,TSLA,M5,2022-01-13 17:55:00,2022-01-13T17:55:00,1037,1071.2,1075.22,1070.22,1073.43,1071.2,1075.22,1070.22,1073.43,1071.2,1075.22,1070.22,1073.43
