,instrument,granularity,time,stringTime,volume,bidOpen,bidHigh,bidLow,bidClose,midOpen,midHigh,midLow,midClose,askOpen,askHigh,askLow,askClose
0,USDCAD,D1,2003-01-22,2003-01-22T00:00:00,5380,1.5323,1.5348000000000002,1.5288,1.5309,1.5323,1.5348000000000002,1.5288,1.5309,1.5323,1.5348000000000002,1.5288,1.5309
1,USDCAD,D1,2003-01-23,2003-01-23T00:00:00,5769,1.5309,1.5314,1.5224,1.5244,1.5309,1.5314,1.5224,1.5244,1.5309,1.5314,1.5224,1.5244
2,USDCAD,D1,2003-01-24,2003-01-24T00:00:00,6543,1.5244,1.5257,1.518,1.5189,1.5244,1.5257,1.518,1.5189,1.5244,1.5257,1.518,1.5189
3,USDCAD,D1,2003-01-27,2003-01-27T00:00:00,7995,1.5184,1.528,1.5171999999999999,1.5263,1.5184,1.528,1.5171999999999999,1.5263,1.5184,1.528,1.5171999999999999,1.5263
4,USDCAD,D1,2003-01-28,2003-01-28T00:00:00,7589,1.5262,1.5366,1.5242,1.5279,1.5262,1.5366,1.5242,1.5279,1.5262,1.5366,1.5242,1.5279
5,USDCAD,D1,2003-01-29,2003-01-29T00:00:00,7036,1.5283,1.5293,1.5183,1.5187,1.5283,1.5293,1.5183,1.5187,1.5283,1.5293,1.5183,1.5187
6,USDCAD,D1,2003-01-30,2003-01-30T00:00:00,6672,1.5187,1.5325,1.5181,1.5287,1.5187,1.5325,1.5181,1.5287,1.5187,1.5325,1.5181,1.5287
7,USDCAD,D1,2003-01-31,2003-01-31T00:00:00,6891,1.5288,1.5345,1.5192,1.5199,1.5288,1.5345,1.5192,1.5199,1.5288,1.5345,1.5192,1.5199
8,USDCAD,D1,2003-02-03,2003-02-03T00:00:00,7081,1.5202,1.5238,1.5154,1.5171999999999999,1.5202,1.5238,1.5154,1.5171999999999999,1.5202,1.5238,1.5154,1.5171999999999999
9,USDCAD,D1,2003-02-04,2003-02-04T00:00:00,6762,1.5169000000000001,1.5201,1.5133999999999999,1.5152999999999999,1.5169000000000001,1.5201,1.5133999999999999,1.5152999999999999,1.5169000000000001,1.5201,1.5133999999999999,1.5152999999999999
10,USDCAD,D1,2003-02-05,2003-02-05T00:00:00,5875,1.5152,1.5232999999999999,1.5128,1.521,1.5152,1.5232999999999999,1.5128,1.521,1.5152,1.5232999999999999,1.5128,1.521
11,USDCAD,D1,2003-02-06,2003-02-06T00:00:00,5408,1.5211000000000001,1.5268000000000002,1.5161,1.5173,1.5211000000000001,1.5268000000000002,1.5161,1.5173,1.5211000000000001,1.5268000000000002,1.5161,1.5173
12,USDCAD,D1,2003-02-07,2003-02-07T00:00:00,5375,1.5171999999999999,1.5255,1.5171999999999999,1.5208,1.5171999999999999,1.5255,1.5171999999999999,1.5208,1.5171999999999999,1.5255,1.5171999999999999,1.5208
13,USDCAD,D1,2003-02-10,2003-02-10T00:00:00,6055,1.5211000000000001,1.532,1.5211000000000001,1.5298,1.5211000000000001,1.532,1.5211000000000001,1.5298,1.5211000000000001,1.532,1.5211000000000001,1.5298
14,USDCAD,D1,2003-02-11,2003-02-11T00:00:00,6733,1.5295,1.5333,1.5261,1.5274,1.5295,1.5333,1.5261,1.5274,1.5295,1.5333,1.5261,1.5274
15,USDCAD,D1,2003-02-12,2003-02-12T00:00:00,7081,1.5274,1.5322,1.5255,1.5308000000000002,1.5274,1.5322,1.5255,1.5308000000000002,1.5274,1.5322,1.5255,1.5308000000000002
16,USDCAD,D1,2003-02-13,2003-02-13T00:00:00,7458,1.5312000000000001,1.5327,1.5156,1.5169000000000001,1.5312000000000001,1.5327,1.5156,1.5169000000000001,1.5312000000000001,1.5327,1.5156,1.5169000000000001
17,USDCAD,D1,2003-02-14,2003-02-14T00:00:00,7638,1.5168,1.5245,1.5133,1.5227,1.5168,1.5245,1.5133,1.5227,1.5168,1.5245,1.5133,1.5227
18,USDCAD,D1,2003-02-17,2003-02-17T00:00:00,5860,1.5232,1.5257,1.52,1.5211000000000001,1.5232,1.5257,1.52,1.5211000000000001,1.5232,1.5257,1.52,1.5211000000000001
19,USDCAD,D1,2003-02-18,2003-02-18T00:00:00,6016,1.5197,1.5242,1.5138,1.5165,1.5197,1.5242,1.5138,1.5165,1.5197,1.5242,1.5138,1.5165
20,USDCAD,D1,2003-02-19,2003-02-19T00:00:00,6516,1.5163,1.5179,1.5110999999999999,1.5122,1.5163,1.5179,1.5110999999999999,1.5122,1.5163,1.5179,1.5110999999999999,1.5122
21,USDCAD,D1,2003-02-20,2003-02-20T00:00:00,6482,1.5125,1.5129000000000001,1.5038,1.5056,1.5125,1.5129000000000001,1.5038,1.5056,1.5125,1.5129000000000001,1.5038,1.5056
22,USDCAD,D1,2003-02-21,2003-02-21T00:00:00,6836,1.5055,1.508,1.5030999999999999,1.5043,1.5055,1.508,1.5030999999999999,1.5043,1.5055,1.508,1.5030999999999999,1.5043
23,USDCAD,D1,2003-02-24,2003-02-24T00:00:00,7053,1.5039,1.5044,1.4877,1.4922,1.5039,1.5044,1.4877,1.4922,1.5039,1.5044,1.4877,1.4922
24,USDCAD,D1,2003-02-25,2003-02-25T00:00:00,7328,1.4922,1.4971999999999999,1.4874,1.4967,1.4922,1.4971999999999999,1.4874,1.4967,1.4922,1.4971999999999999,1.4874,1.4967
25,USDCAD,D1,2003-02-26,2003-02-26T00:00:00,6119,1.4965,1.4973,1.4919,1.4926,1.4965,1.4973,1.4919,1.4926,1.4965,1.4973,1.4919,1.4926
26,USDCAD,D1,2003-02-27,2003-02-27T00:00:00,6828,1.4926,1.496,1.4884,1.4936,1.4926,1.496,1.4884,1.4936,1.4926,1.496,1.4884,1.4936
27,USDCAD,D1,2003-02-28,2003-02-28T00:00:00,7420,1.4935,1.4958,1.4828999999999999,1.4835,1.4935,1.4958,1.4828999999999999,1.4835,1.4935,1.4958,1.4828999999999999,1.4835
28,USDCAD,D1,2003-03-03,2003-03-03T00:00:00,7234,1.4833,1.488,1.4826,1.4848,1.4833,1.488,1.4826,1.4848,1.4833,1.488,1.4826,1.4848
29,USDCAD,D1,2003-03-04,2003-03-04T00:00:00,7746,1.4848,1.4885,1.4731,1.4734,1.4848,1.4885,1.4731,1.4734,1.4848,1.4885,1.4731,1.4734
30,USDCAD,D1,2003-03-05,2003-03-05T00:00:00,7314,1.4732,1.4751,1.4677,1.4689,1.4732,1.4751,1.4677,1.4689,1.4732,1.4751,1.4677,1.4689
31,USDCAD,D1,2003-03-06,2003-03-06T00:00:00,6875,1.4687000000000001,1.4753,1.4676,1.4712,1.4687000000000001,1.4753,1.4676,1.4712,1.4687000000000001,1.4753,1.4676,1.4712
32,USDCAD,D1,2003-03-07,2003-03-07T00:00:00,6498,1.4714,1.4731,1.4604,1.4653,1.4714,1.4731,1.4604,1.4653,1.4714,1.4731,1.4604,1.4653
