,instrument,granularity,time,stringTime,volume,bidOpen,bidHigh,bidLow,bidClose,midOpen,midHigh,midLow,midClose,askOpen,askHigh,askLow,askClose
0,USDCAD,H1,2021-07-01 17:00:00,2021-07-01T17:00:00,8798,1.23673,1.23908,1.23673,1.23883,1.23673,1.23908,1.23673,1.23883,1.23673,1.23908,1.23673,1.23883
1,USDCAD,H1,2021-07-01 18:00:00,2021-07-01T18:00:00,9585,1.23883,1.24273,1.23882,1.24049,1.23883,1.24273,1.23882,1.24049,1.23883,1.24273,1.23882,1.24049
2,USDCAD,H1,2021-07-01 19:00:00,2021-07-01T19:00:00,4554,1.24049,1.2427,1.24041,1.24252,1.24049,1.2427,1.24041,1.24252,1.24049,1.2427,1.24041,1.24252
3,USDCAD,H1,2021-07-01 20:00:00,2021-07-01T20:00:00,3298,1.24252,1.24341,1.24198,1.24331,1.24252,1.24341,1.24198,1.24331,1.24252,1.24341,1.24198,1.24331
4,USDCAD,H1,2021-07-01 21:00:00,2021-07-01T21:00:00,3197,1.2433,1.24453,1.24291,1.24435,1.2433,1.24453,1.24291,1.24435,1.2433,1.24453,1.24291,1.24435
5,USDCAD,H1,2021-07-01 22:00:00,2021-07-01T22:00:00,2072,1.24435,1.24452,1.24377,1.24384,1.24435,1.24452,1.24377,1.24384,1.24435,1.24452,1.24377,1.24384
6,USDCAD,H1,2021-07-01 23:00:00,2021-07-01T23:00:00,1390,1.2438500000000001,1.24431,1.24285,1.24285,1.2438500000000001,1.24431,1.24285,1.24285,1.2438500000000001,1.24431,1.24285,1.24285
7,USDCAD,H1,2021-07-02 00:00:00,2021-07-02T00:00:00,221,1.24285,1.24394,1.24243,1.2439,1.24285,1.24394,1.24243,1.2439,1.24285,1.24394,1.24243,1.2439
8,USDCAD,H1,2021-07-02 01:00:00,2021-07-02T01:00:00,498,1.2439,1.24431,1.24354,1.24395,1.2439,1.24431,1.24354,1.24395,1.2439,1.24431,1.24354,1.24395
9,USDCAD,H1,2021-07-02 02:00:00,2021-07-02T02:00:00,1522,1.24395,1.24428,1.24376,1.24402,1.24395,1.24428,1.24376,1.24402,1.24395,1.24428,1.24376,1.24402
10,USDCAD,H1,2021-07-02 03:00:00,2021-07-02T03:00:00,1760,1.24402,1.2441200000000001,1.24355,1.24411,1.24402,1.2441200000000001,1.24355,1.24411,1.24402,1.2441200000000001,1.24355,1.24411
11,USDCAD,H1,2021-07-02 04:00:00,2021-07-02T04:00:00,2019,1.24411,1.2444,1.24355,1.2438500000000001,1.24411,1.2444,1.24355,1.2438500000000001,1.24411,1.2444,1.24355,1.2438500000000001
12,USDCAD,H1,2021-07-02 05:00:00,2021-07-02T05:00:00,1745,1.2438500000000001,1.24407,1.24306,1.24329,1.2438500000000001,1.24407,1.24306,1.24329,1.2438500000000001,1.24407,1.24306,1.24329
13,USDCAD,H1,2021-07-02 06:00:00,2021-07-02T06:00:00,1133,1.24329,1.24347,1.24298,1.24306,1.24329,1.24347,1.24298,1.24306,1.24329,1.24347,1.24298,1.24306
14,USDCAD,H1,2021-07-02 07:00:00,2021-07-02T07:00:00,881,1.24306,1.24313,1.24274,1.24305,1.24306,1.24313,1.24274,1.24305,1.24306,1.24313,1.24274,1.24305
15,USDCAD,H1,2021-07-02 08:00:00,2021-07-02T08:00:00,1383,1.24305,1.24366,1.24275,1.24353,1.24305,1.24366,1.24275,1.24353,1.24305,1.24366,1.24275,1.24353
16,USDCAD,H1,2021-07-02 09:00:00,2021-07-02T09:00:00,2900,1.24354,1.2444,1.24317,1.24424,1.24354,1.2444,1.24317,1.24424,1.24354,1.2444,1.24317,1.24424
17,USDCAD,H1,2021-07-02 10:00:00,2021-07-02T10:00:00,4293,1.24423,1.24491,1.24355,1.24398,1.24423,1.24491,1.24355,1.24398,1.24423,1.24491,1.24355,1.24398
