,instrument,granularity,time,stringTime,volume,bidOpen,bidHigh,bidLow,bidClose,midOpen,midHigh,midLow,midClose,askOpen,askHigh,askLow,askClose
0,USDCHF,D1,2003-01-17,2003-01-17T00:00:00,13671,1.3749,1.3765,1.3660999999999999,1.3692,1.3749,1.3765,1.3660999999999999,1.3692,1.3749,1.3765,1.3660999999999999,1.3692
1,USDCHF,D1,2003-01-20,2003-01-20T00:00:00,12726,1.3705,1.3740999999999999,1.3666,1.3674,1.3705,1.3740999999999999,1.3666,1.3674,1.3705,1.3740999999999999,1.3666,1.3674
2,USDCHF,D1,2003-01-21,2003-01-21T00:00:00,13474,1.3675,1.3749,1.3607,1.363,1.3675,1.3749,1.3607,1.363,1.3675,1.3749,1.3607,1.363
3,USDCHF,D1,2003-01-22,2003-01-22T00:00:00,13472,1.3633,1.3692,1.3609,1.3645,1.3633,1.3692,1.3609,1.3645,1.3633,1.3692,1.3609,1.3645
4,USDCHF,D1,2003-01-23,2003-01-23T00:00:00,13428,1.3642,1.3673,1.3571,1.3629,1.3642,1.3673,1.3571,1.3629,1.3642,1.3673,1.3571,1.3629
5,USDCHF,D1,2003-01-24,2003-01-24T00:00:00,13294,1.3629,1.3636,1.3498,1.3534,1.3629,1.3636,1.3498,1.3534,1.3629,1.3636,1.3498,1.3534
6,USDCHF,D1,2003-01-27,2003-01-27T00:00:00,14090,1.3523,1.3611,1.3456000000000001,1.3534,1.3523,1.3611,1.3456000000000001,1.3534,1.3523,1.3611,1.3456000000000001,1.3534
7,USDCHF,D1,2003-01-28,2003-01-28T00:00:00,14103,1.3535,1.3629,1.3532,1.3562,1.3535,1.3629,1.3532,1.3562,1.3535,1.3629,1.3532,1.3562
8,USDCHF,D1,2003-01-29,2003-01-29T00:00:00,14596,1.3566,1.3602,1.3473,1.3574,1.3566,1.3602,1.3473,1.3574,1.3566,1.3602,1.3473,1.3574
9,USDCHF,D1,2003-01-30,2003-01-30T00:00:00,14745,1.3575,1.3706,1.3545,1.3555,1.3575,1.3706,1.3545,1.3555,1.3575,1.3706,1.3545,1.3555
10,USDCHF,D1,2003-01-31,2003-01-31T00:00:00,13746,1.3556,1.37,1.3541,1.3637000000000001,1.3556,1.37,1.3541,1.3637000000000001,1.3556,1.37,1.3541,1.3637000000000001
