,instrument,granularity,time,stringTime,volume,bidOpen,bidHigh,bidLow,bidClose,midOpen,midHigh,midLow,midClose,askOpen,askHigh,askLow,askClose
0,USDCHF,H1,2021-07-02 03:00:00,2021-07-02T03:00:00,1133,0.9259,0.92609,0.92566,0.92586,0.9259,0.92609,0.92566,0.92586,0.9259,0.92609,0.92566,0.92586
1,USDCHF,H1,2021-07-02 04:00:00,2021-07-02T04:00:00,1932,0.92586,0.92616,0.92564,0.9261,0.92586,0.92616,0.92564,0.9261,0.92586,0.92616,0.92564,0.9261
2,USDCHF,H1,2021-07-02 05:00:00,2021-07-02T05:00:00,1525,0.9261,0.92644,0.92603,0.92633,0.9261,0.92644,0.92603,0.92633,0.9261,0.92644,0.92603,0.92633
3,USDCHF,H1,2021-07-02 06:00:00,2021-07-02T06:00:00,1466,0.92634,0.9264,0.92604,0.92612,0.92634,0.9264,0.92604,0.92612,0.92634,0.9264,0.92604,0.92612
4,USDCHF,H1,2021-07-02 07:00:00,2021-07-02T07:00:00,1031,0.92612,0.9262,0.92601,0.92613,0.92612,0.9262,0.92601,0.92613,0.92612,0.9262,0.92601,0.92613
5,USDCHF,H1,2021-07-02 08:00:00,2021-07-02T08:00:00,1339,0.92613,0.92619,0.92574,0.92611,0.92613,0.92619,0.92574,0.92611,0.92613,0.92619,0.92574,0.92611
6,USDCHF,H1,2021-07-02 09:00:00,2021-07-02T09:00:00,2724,0.92611,0.92641,0.92585,0.92621,0.92611,0.92641,0.92585,0.92621,0.92611,0.92641,0.92585,0.92621
7,USDCHF,H1,2021-07-02 10:00:00,2021-07-02T10:00:00,4996,0.92621,0.92739,0.9262,0.92724,0.92621,0.92739,0.9262,0.92724,0.92621,0.92739,0.9262,0.92724
8,USDCHF,H1,2021-07-02 11:00:00,2021-07-02T11:00:00,4566,0.92724,0.92725,0.9257,0.92601,0.92724,0.92725,0.9257,0.92601,0.92724,0.92725,0.9257,0.92601
9,USDCHF,H1,2021-07-02 12:00:00,2021-07-02T12:00:00,3284,0.92601,0.92715,0.92578,0.9268,0.92601,0.92715,0.92578,0.9268,0.92601,0.92715,0.92578,0.9268
10,USDCHF,H1,2021-07-02 13:00:00,2021-07-02T13:00:00,3848,0.9268,0.92696,0.92478,0.92528,0.9268,0.92696,0.92478,0.92528,0.9268,0.92696,0.92478,0.92528
11,USDCHF,H1,2021-07-02 14:00:00,2021-07-02T14:00:00,3733,0.92528,0.92552,0.92432,0.92544,0.92528,0.92552,0.92432,0.92544,0.92528,0.92552,0.92432,0.92544
