,instrument,granularity,time,stringTime,volume,bidOpen,bidHigh,bidLow,bidClose,midOpen,midHigh,midLow,midClose,askOpen,askHigh,askLow,askClose
0,USDCHF,M5,2022-03-25 16:10:00,2022-03-25T16:10:00,375,0.92731,0.92786,0.92729,0.92773,0.92731,0.92786,0.92729,0.92773,0.92731,0.92786,0.92729,0.92773
1,USDCHF,M5,2022-03-25 16:15:00,2022-03-25T16:15:00,222,0.92774,0.92798,0.92764,0.92781,0.92774,0.92798,0.92764,0.92781,0.92774,0.92798,0.92764,0.92781
2,USDCHF,M5,2022-03-25 16:20:00,2022-03-25T16:20:00,706,0.92781,0.92842,0.92779,0.92827,0.92781,0.92842,0.92779,0.92827,0.92781,0.92842,0.92779,0.92827
3,USDCHF,M5,2022-03-25 16:25:00,2022-03-25T16:25:00,800,0.92826,0.92878,0.92816,0.92853,0.92826,0.92878,0.92816,0.92853,0.92826,0.92878,0.92816,0.92853
4,USDCHF,M5,2022-03-25 16:30:00,2022-03-25T16:30:00,1078,0.92854,0.92862,0.92776,0.92812,0.92854,0.92862,0.92776,0.92812,0.92854,0.92862,0.92776,0.92812
5,USDCHF,M5,2022-03-25 16:35:00,2022-03-25T16:35:00,719,0.92811,0.9285,0.9279,0.92815,0.92811,0.9285,0.9279,0.92815,0.92811,0.9285,0.9279,0.92815
6,USDCHF,M5,2022-03-25 16:40:00,2022-03-25T16:40:00,624,0.92815,0.92858,0.92797,0.9283,0.92815,0.92858,0.92797,0.9283,0.92815,0.92858,0.92797,0.9283
7,USDCHF,M5,2022-03-25 16:45:00,2022-03-25T16:45:00,443,0.9283,0.92864,0.92795,0.92829,0.9283,0.92864,0.92795,0.92829,0.9283,0.92864,0.92795,0.92829
8,USDCHF,M5,2022-03-25 16:50:00,2022-03-25T16:50:00,466,0.92829,0.92871,0.92811,0.92832,0.92829,0.92871,0.92811,0.92832,0.92829,0.92871,0.92811,0.92832
9,USDCHF,M5,2022-03-25 16:55:00,2022-03-25T16:55:00,584,0.92833,0.92904,0.92808,0.92871,0.92833,0.92904,0.92808,0.92871,0.92833,0.92904,0.92808,0.92871
