,instrument,granularity,time,stringTime,volume,bidOpen,bidHigh,bidLow,bidClose,midOpen,midHigh,midLow,midClose,askOpen,askHigh,askLow,askClose
0,USDJPY,D1,2003-01-20,2003-01-20T00:00:00,9087,118.03,118.36,117.83,118.01,118.03,118.36,117.83,118.01,118.03,118.36,117.83,118.01
1,USDJPY,D1,2003-01-21,2003-01-21T00:00:00,9861,118.01,119.17,117.99,118.17,118.01,119.17,117.99,118.17,118.01,119.17,117.99,118.17
2,USDJPY,D1,2003-01-22,2003-01-22T00:00:00,9665,118.15,118.57,117.94,118.32,118.15,118.57,117.94,118.32,118.15,118.57,117.94,118.32
3,USDJPY,D1,2003-01-23,2003-01-23T00:00:00,10028,118.34,118.85,117.61,118.07,118.34,118.85,117.61,118.07,118.34,118.85,117.61,118.07
4,USDJPY,D1,2003-01-24,2003-01-24T00:00:00,8799,118.07,118.23,117.53,117.85,118.07,118.23,117.53,117.85,118.07,118.23,117.53,117.85
5,USDJPY,D1,2003-01-27,2003-01-27T00:00:00,10019,117.83,119.32,117.53,118.52,117.83,119.32,117.53,118.52,117.83,119.32,117.53,118.52
6,USDJPY,D1,2003-01-28,2003-01-28T00:00:00,9411,118.55,118.96,118.32,118.66,118.55,118.96,118.32,118.66,118.55,118.96,118.32,118.66
7,USDJPY,D1,2003-01-29,2003-01-29T00:00:00,10161,118.67,118.77,117.85,118.47,118.67,118.77,117.85,118.47,118.67,118.77,117.85,118.47
8,USDJPY,D1,2003-01-30,2003-01-30T00:00:00,10869,118.49,119.51,118.4,118.97,118.49,119.51,118.4,118.97,118.49,119.51,118.4,118.97
9,USDJPY,D1,2003-01-31,2003-01-31T00:00:00,9829,118.97,120.09,118.85,119.94,118.97,120.09,118.85,119.94,118.97,120.09,118.85,119.94
10,USDJPY,D1,2003-02-03,2003-02-03T00:00:00,10303,119.9,120.92,119.79,120.26,119.9,120.92,119.79,120.26,119.9,120.92,119.79,120.26
11,USDJPY,D1,2003-02-04,2003-02-04T00:00:00,10423,120.26,120.6,119.59,119.66,120.26,120.6,119.59,119.66,120.26,120.6,119.59,119.66
12,USDJPY,D1,2003-02-05,2003-02-05T00:00:00,10815,119.65,120.43,119.05,120.04,119.65,120.43,119.05,120.04,119.65,120.43,119.05,120.04
13,USDJPY,D1,2003-02-06,2003-02-06T00:00:00,9319,120.09,120.29,119.56,119.86,120.09,120.29,119.56,119.86,120.09,120.29,119.56,119.86
14,USDJPY,D1,2003-02-07,2003-02-07T00:00:00,8625,119.86,120.45,119.59,120.25,119.86,120.45,119.59,120.25,119.86,120.45,119.59,120.25
15,USDJPY,D1,2003-02-10,2003-02-10T00:00:00,10044,120.29,121.43,120.25,121.31,120.29,121.43,120.25,121.31,120.29,121.43,120.25,121.31
16,USDJPY,D1,2003-02-11,2003-02-11T00:00:00,9788,121.27,121.78,120.9,121.08,121.27,121.78,120.9,121.08,121.27,121.78,120.9,121.08
17,USDJPY,D1,2003-02-12,2003-02-12T00:00:00,9900,121.08,121.5,120.46,121.43,121.08,121.5,120.46,121.43,121.08,121.5,120.46,121.43
18,USDJPY,D1,2003-02-13,2003-02-13T00:00:00,9972,121.44,121.5,120.22,120.51,121.44,121.5,120.22,120.51,121.44,121.5,120.22,120.51
19,USDJPY,D1,2003-02-14,2003-02-14T00:00:00,10227,120.51,120.87,120.11,120.32,120.51,120.87,120.11,120.32,120.51,120.87,120.11,120.32
20,USDJPY,D1,2003-02-17,2003-02-17T00:00:00,8674,120.53,120.82,119.99,120.38,120.53,120.82,119.99,120.38,120.53,120.82,119.99,120.38
21,USDJPY,D1,2003-02-18,2003-02-18T00:00:00,10659,120.36,120.39,118.67,119.07,120.36,120.39,118.67,119.07,120.36,120.39,118.67,119.07
22,USDJPY,D1,2003-02-19,2003-02-19T00:00:00,9485,119.05,119.24,118.56,118.71,119.05,119.24,118.56,118.71,119.05,119.24,118.56,118.71
23,USDJPY,D1,2003-02-20,2003-02-20T00:00:00,9675,118.7,119.1,118.1,118.37,118.7,119.1,118.1,118.37,118.7,119.1,118.1,118.37
24,USDJPY,D1,2003-02-21,2003-02-21T00:00:00,9901,118.38,118.94,118.17,118.64,118.38,118.94,118.17,118.64,118.38,118.94,118.17,118.64
25,USDJPY,D1,2003-02-24,2003-02-24T00:00:00,9120,118.86,118.86,117.53,117.86,118.86,118.86,117.53,117.86,118.86,118.86,117.53,117.86
26,USDJPY,D1,2003-02-25,2003-02-25T00:00:00,10161,117.84,118.25,116.96,117.47,117.84,118.25,116.96,117.47,117.84,118.25,116.96,117.47
27,USDJPY,D1,2003-02-26,2003-02-26T00:00:00,9706,117.47,117.67,116.96,117.12,117.47,117.67,116.96,117.12,117.47,117.67,116.96,117.12
28,USDJPY,D1,2003-02-27,2003-02-27T00:00:00,9458,117.16,117.81,116.8,117.69,117.16,117.81,116.8,117.69,117.16,117.81,116.8,117.69
29,USDJPY,D1,2003-02-28,2003-02-28T00:00:00,8901,117.71,118.33,117.6,118.14,117.71,118.33,117.6,118.14,117.71,118.33,117.6,118.14
30,USDJPY,D1,2003-03-03,2003-03-03T00:00:00,8324,118.22,118.34,117.07,117.63,118.22,118.34,117.07,117.63,118.22,118.34,117.07,117.63
31,USDJPY,D1,2003-03-04,2003-03-04T00:00:00,9183,117.63,118.12,117.31,117.38,117.63,118.12,117.31,117.38,117.63,118.12,117.31,117.38
32,USDJPY,D1,2003-03-05,2003-03-05T00:00:00,9881,117.37,117.67,117.0,117.28,117.37,117.67,117.0,117.28,117.37,117.67,117.0,117.28
33,USDJPY,D1,2003-03-06,2003-03-06T00:00:00,9175,117.27,117.63,117.13,117.36,117.27,117.63,117.13,117.36,117.27,117.63,117.13,117.36
34,USDJPY,D1,2003-03-07,2003-03-07T00:00:00,9544,117.37,117.52,116.35,117.07,117.37,117.52,116.35,117.07,117.37,117.52,116.35,117.07
35,USDJPY,D1,2003-03-10,2003-03-10T00:00:00,9055,117.14,117.17,116.4,116.92,117.14,117.17,116.4,116.92,117.14,117.17,116.4,116.92
36,USDJPY,D1,2003-03-11,2003-03-11T00:00:00,9541,116.92,117.34,116.64,117.12,116.92,117.34,116.64,117.12,116.92,117.34,116.64,117.12
