,instrument,granularity,time,stringTime,volume,bidOpen,bidHigh,bidLow,bidClose,midOpen,midHigh,midLow,midClose,askOpen,askHigh,askLow,askClose
0,USDJPY,H1,2021-07-02 03:00:00,2021-07-02T03:00:00,3759,111.565,111.647,111.543,111.638,111.565,111.647,111.543,111.638,111.565,111.647,111.543,111.638
1,USDJPY,H1,2021-07-02 04:00:00,2021-07-02T04:00:00,4038,111.638,111.652,111.558,111.583,111.638,111.652,111.558,111.583,111.638,111.652,111.558,111.583
2,USDJPY,H1,2021-07-02 05:00:00,2021-07-02T05:00:00,2497,111.583,111.618,111.571,111.576,111.583,111.618,111.571,111.576,111.583,111.618,111.571,111.576
3,USDJPY,H1,2021-07-02 06:00:00,2021-07-02T06:00:00,1575,111.576,111.596,111.56,111.571,111.576,111.596,111.56,111.571,111.576,111.596,111.56,111.571
4,USDJPY,H1,2021-07-02 07:00:00,2021-07-02T07:00:00,1412,111.571,111.581,111.55,111.581,111.571,111.581,111.55,111.581,111.571,111.581,111.55,111.581
5,USDJPY,H1,2021-07-02 08:00:00,2021-07-02T08:00:00,1400,111.581,111.603,111.561,111.601,111.581,111.603,111.561,111.601,111.581,111.603,111.561,111.601
6,USDJPY,H1,2021-07-02 09:00:00,2021-07-02T09:00:00,3149,111.601,111.624,111.565,111.621,111.601,111.624,111.565,111.621,111.601,111.624,111.565,111.621
7,USDJPY,H1,2021-07-02 10:00:00,2021-07-02T10:00:00,5388,111.621,111.653,111.553,111.567,111.621,111.653,111.553,111.567,111.621,111.653,111.553,111.567
8,USDJPY,H1,2021-07-02 11:00:00,2021-07-02T11:00:00,3988,111.567,111.58,111.402,111.467,111.567,111.58,111.402,111.467,111.567,111.58,111.402,111.467
9,USDJPY,H1,2021-07-02 12:00:00,2021-07-02T12:00:00,3809,111.466,111.503,111.402,111.492,111.466,111.503,111.402,111.492,111.466,111.503,111.402,111.492
10,USDJPY,H1,2021-07-02 13:00:00,2021-07-02T13:00:00,3946,111.492,111.512,111.399,111.443,111.492,111.512,111.399,111.443,111.492,111.512,111.399,111.443
11,USDJPY,H1,2021-07-02 14:00:00,2021-07-02T14:00:00,4024,111.443,111.452,111.372,111.437,111.443,111.452,111.372,111.437,111.443,111.452,111.372,111.437
12,USDJPY,H1,2021-07-02 15:00:00,2021-07-02T15:00:00,16982,111.437,111.6,111.239,111.258,111.437,111.6,111.239,111.258,111.437,111.6,111.239,111.258
13,USDJPY,H1,2021-07-02 16:00:00,2021-07-02T16:00:00,11825,111.258,111.358,111.146,111.235,111.258,111.358,111.146,111.235,111.258,111.358,111.146,111.235
14,USDJPY,H1,2021-07-02 17:00:00,2021-07-02T17:00:00,5913,111.235,111.373,111.218,111.305,111.235,111.373,111.218,111.305,111.235,111.373,111.218,111.305
15,USDJPY,H1,2021-07-02 18:00:00,2021-07-02T18:00:00,3074,111.305,111.333,111.263,111.287,111.305,111.333,111.263,111.287,111.305,111.333,111.263,111.287
16,USDJPY,H1,2021-07-02 19:00:00,2021-07-02T19:00:00,1596,111.287,111.294,111.214,111.214,111.287,111.294,111.214,111.214,111.287,111.294,111.214,111.214
17,USDJPY,H1,2021-07-02 20:00:00,2021-07-02T20:00:00,2482,111.214,111.236,111.032,111.037,111.214,111.236,111.032,111.037,111.214,111.236,111.032,111.037
18,USDJPY,H1,2021-07-02 21:00:00,2021-07-02T21:00:00,2258,111.037,111.054,110.945,111.047,111.037,111.054,110.945,111.047,111.037,111.054,110.945,111.047
19,USDJPY,H1,2021-07-02 22:00:00,2021-07-02T22:00:00,978,111.047,111.062,111.017,111.025,111.047,111.062,111.017,111.025,111.047,111.062,111.017,111.025
