,instrument,granularity,time,stringTime,volume,bidOpen,bidHigh,bidLow,bidClose,midOpen,midHigh,midLow,midClose,askOpen,askHigh,askLow,askClose
0,USDJPY,M5,2022-03-28 02:45:00,2022-03-28T02:45:00,321,122.244,122.251,122.235,122.244,122.244,122.251,122.235,122.244,122.244,122.251,122.235,122.244
1,USDJPY,M5,2022-03-28 02:50:00,2022-03-28T02:50:00,169,122.243,122.291,122.239,122.277,122.243,122.291,122.239,122.277,122.243,122.291,122.239,122.277
2,USDJPY,M5,2022-03-28 02:55:00,2022-03-28T02:55:00,81,122.277,122.279,122.264,122.273,122.277,122.279,122.264,122.273,122.277,122.279,122.264,122.273
3,USDJPY,M5,2022-03-28 03:00:00,2022-03-28T03:00:00,406,122.273,122.36,122.266,122.324,122.273,122.36,122.266,122.324,122.273,122.36,122.266,122.324
4,USDJPY,M5,2022-03-28 03:05:00,2022-03-28T03:05:00,305,122.325,122.353,122.316,122.338,122.325,122.353,122.316,122.338,122.325,122.353,122.316,122.338
5,USDJPY,M5,2022-03-28 03:10:00,2022-03-28T03:10:00,123,122.338,122.343,122.294,122.31,122.338,122.343,122.294,122.31,122.338,122.343,122.294,122.31
6,USDJPY,M5,2022-03-28 03:15:00,2022-03-28T03:15:00,207,122.309,122.314,122.25,122.254,122.309,122.314,122.25,122.254,122.309,122.314,122.25,122.254
7,USDJPY,M5,2022-03-28 03:20:00,2022-03-28T03:20:00,183,122.254,122.264,122.25,122.262,122.254,122.264,122.25,122.262,122.254,122.264,122.25,122.262
8,USDJPY,M5,2022-03-28 03:25:00,2022-03-28T03:25:00,243,122.262,122.265,122.22,122.248,122.262,122.265,122.22,122.248,122.262,122.265,122.22,122.248
9,USDJPY,M5,2022-03-28 03:30:00,2022-03-28T03:30:00,270,122.248,122.284,122.222,122.236,122.248,122.284,122.222,122.236,122.248,122.284,122.222,122.236
10,USDJPY,M5,2022-03-28 03:35:00,2022-03-28T03:35:00,192,122.235,122.27,122.228,122.237,122.235,122.27,122.228,122.237,122.235,122.27,122.228,122.237
