,instrument,granularity,time,stringTime,volume,bidOpen,bidHigh,bidLow,bidClose,midOpen,midHigh,midLow,midClose,askOpen,askHigh,askLow,askClose
0,XAUUSD,H1,2021-06-16 10:00:00,2021-06-16T10:00:00,15006,1860.45,1861.06,1856.95,1860.28,1860.45,1861.06,1856.95,1860.28,1860.45,1861.06,1856.95,1860.28
1,XAUUSD,H1,2021-06-16 11:00:00,2021-06-16T11:00:00,8022,1860.27,1860.58,1858.58,1860.01,1860.27,1860.58,1858.58,1860.01,1860.27,1860.58,1858.58,1860.01
2,XAUUSD,H1,2021-06-16 12:00:00,2021-06-16T12:00:00,7549,1859.97,1860.6,1857.88,1860.44,1859.97,1860.6,1857.88,1860.44,1859.97,1860.6,1857.88,1860.44
3,XAUUSD,H1,2021-06-16 13:00:00,2021-06-16T13:00:00,9287,1860.45,1860.57,1855.02,1855.08,1860.45,1860.57,1855.02,1855.08,1860.45,1860.57,1855.02,1855.08
4,XAUUSD,H1,2021-06-16 14:00:00,2021-06-16T14:00:00,12759,1855.08,1856.09,1852.84,1854.96,1855.08,1856.09,1852.84,1854.96,1855.08,1856.09,1852.84,1854.96
5,XAUUSD,H1,2021-06-16 15:00:00,2021-06-16T15:00:00,19440,1854.95,1859.39,1854.07,1857.77,1854.95,1859.39,1854.07,1857.77,1854.95,1859.39,1854.07,1857.77
6,XAUUSD,H1,2021-06-16 16:00:00,2021-06-16T16:00:00,27604,1857.76,1859.76,1856.01,1858.97,1857.76,1859.76,1856.01,1858.97,1857.76,1859.76,1856.01,1858.97
7,XAUUSD,H1,2021-06-16 17:00:00,2021-06-16T17:00:00,22037,1858.97,1861.63,1855.03,1856.46,1858.97,1861.63,1855.03,1856.46,1858.97,1861.63,1855.03,1856.46
8,XAUUSD,H1,2021-06-16 18:00:00,2021-06-16T18:00:00,10990,1856.46,1859.99,1855.48,1859.85,1856.46,1859.99,1855.48,1859.85,1856.46,1859.99,1855.48,1859.85
9,XAUUSD,H1,2021-06-16 19:00:00,2021-06-16T19:00:00,13602,1859.86,1860.92,1857.72,1859.3,1859.86,1860.92,1857.72,1859.3,1859.86,1860.92,1857.72,1859.3
10,XAUUSD,H1,2021-06-16 20:00:00,2021-06-16T20:00:00,9252,1859.3,1863.65,1857.65,1861.8,1859.3,1863.65,1857.65,1861.8,1859.3,1863.65,1857.65,1861.8
11,XAUUSD,H1,2021-06-16 21:00:00,2021-06-16T21:00:00,149644,1861.77,1861.87,1830.93,1835.18,1861.77,1861.87,1830.93,1835.18,1861.77,1861.87,1830.93,1835.18
12,XAUUSD,H1,2021-06-16 22:00:00,2021-06-16T22:00:00,50887,1835.18,1840.26,1827.21,1828.21,1835.18,1840.26,1827.21,1828.21,1835.18,1840.26,1827.21,1828.21
