,instrument,granularity,time,stringTime,volume,bidOpen,bidHigh,bidLow,bidClose,midOpen,midHigh,midLow,midClose,askOpen,askHigh,askLow,askClose
0,XAUUSD,M5,2022-03-24 06:40:00,2022-03-24T06:40:00,152,1940.77,1941.27,1940.69,1941.07,1940.77,1941.27,1940.69,1941.07,1940.77,1941.27,1940.69,1941.07
1,XAUUSD,M5,2022-03-24 06:45:00,2022-03-24T06:45:00,169,1941.07,1941.08,1940.27,1940.47,1941.07,1941.08,1940.27,1940.47,1941.07,1941.08,1940.27,1940.47
2,XAUUSD,M5,2022-03-24 06:50:00,2022-03-24T06:50:00,206,1940.47,1940.67,1939.51,1939.51,1940.47,1940.67,1939.51,1939.51,1940.47,1940.67,1939.51,1939.51
3,XAUUSD,M5,2022-03-24 06:55:00,2022-03-24T06:55:00,289,1939.51,1939.64,1938.73,1938.87,1939.51,1939.64,1938.73,1938.87,1939.51,1939.64,1938.73,1938.87
4,XAUUSD,M5,2022-03-24 07:00:00,2022-03-24T07:00:00,345,1938.87,1938.96,1937.83,1938.61,1938.87,1938.96,1937.83,1938.61,1938.87,1938.96,1937.83,1938.61
5,XAUUSD,M5,2022-03-24 07:05:00,2022-03-24T07:05:00,268,1938.56,1938.66,1937.76,1938.33,1938.56,1938.66,1937.76,1938.33,1938.56,1938.66,1937.76,1938.33
6,XAUUSD,M5,2022-03-24 07:10:00,2022-03-24T07:10:00,275,1938.33,1939.65,1938.31,1939.64,1938.33,1939.65,1938.31,1939.64,1938.33,1939.65,1938.31,1939.64
7,XAUUSD,M5,2022-03-24 07:15:00,2022-03-24T07:15:00,192,1939.59,1940.31,1939.53,1940.15,1939.59,1940.31,1939.53,1940.15,1939.59,1940.31,1939.53,1940.15
8,XAUUSD,M5,2022-03-24 07:20:00,2022-03-24T07:20:00,182,1940.15,1940.66,1940.13,1940.47,1940.15,1940.66,1940.13,1940.47,1940.15,1940.66,1940.13,1940.47
9,XAUUSD,M5,2022-03-24 07:25:00,2022-03-24T07:25:00,291,1940.47,1940.47,1939.25,1939.41,1940.47,1940.47,1939.25,1939.41,1940.47,1940.47,1939.25,1939.41
10,XAUUSD,M5,2022-03-24 07:30:00,2022-03-24T07:30:00,160,1939.41,1939.52,1939.17,1939.52,1939.41,1939.52,1939.17,1939.52,1939.41,1939.52,1939.17,1939.52
11,XAUUSD,M5,2022-03-24 07:35:00,2022-03-24T07:35:00,204,1939.52,1939.8,1938.73,1938.99,1939.52,1939.8,1938.73,1938.99,1939.52,1939.8,1938.73,1938.99
12,XAUUSD,M5,2022-03-24 07:40:00,2022-03-24T07:40:00,151,1938.99,1939.08,1938.56,1938.81,1938.99,1939.08,1938.56,1938.81,1938.99,1939.08,1938.56,1938.81
13,XAUUSD,M5,2022-03-24 07:45:00,2022-03-24T07:45:00,132,1938.81,1939.61,1938.71,1939.5,1938.81,1939.61,1938.71,1939.5,1938.81,1939.61,1938.71,1939.5
14,XAUUSD,M5,2022-03-24 07:50:00,2022-03-24T07:50:00,75,1939.5,1939.8,1939.49,1939.69,1939.5,1939.8,1939.49,1939.69,1939.5,1939.8,1939.49,1939.69
15,XAUUSD,M5,2022-03-24 07:55:00,2022-03-24T07:55:00,141,1939.69,1940.35,1939.69,1940.25,1939.69,1940.35,1939.69,1940.25,1939.69,1940.35,1939.69,1940.25
16,XAUUSD,M5,2022-03-24 08:00:00,2022-03-24T08:00:00,263,1940.27,1940.42,1939.71,1940.28,1940.27,1940.42,1939.71,1940.28,1940.27,1940.42,1939.71,1940.28
17,XAUUSD,M5,2022-03-24 08:05:00,2022-03-24T08:05:00,242,1940.28,1940.49,1940.02,1940.03,1940.28,1940.49,1940.02,1940.03,1940.28,1940.49,1940.02,1940.03
18,XAUUSD,M5,2022-03-24 08:10:00,2022-03-24T08:10:00,236,1940.05,1940.08,1939.6,1939.85,1940.05,1940.08,1939.6,1939.85,1940.05,1940.08,1939.6,1939.85
19,XAUUSD,M5,2022-03-24 08:15:00,2022-03-24T08:15:00,166,1939.85,1940.25,1939.52,1939.99,1939.85,1940.25,1939.52,1939.99,1939.85,1940.25,1939.52,1939.99
20,XAUUSD,M5,2022-03-24 08:20:00,2022-03-24T08:20:00,160,1939.97,1940.22,1939.81,1939.83,1939.97,1940.22,1939.81,1939.83,1939.97,1940.22,1939.81,1939.83
21,XAUUSD,M5,2022-03-24 08:25:00,2022-03-24T08:25:00,330,1939.85,1940.33,1939.6,1939.86,1939.85,1940.33,1939.6,1939.86,1939.85,1940.33,1939.6,1939.86
22,XAUUSD,M5,2022-03-24 08:30:00,2022-03-24T08:30:00,365,1939.85,1940.19,1938.79,1938.79,1939.85,1940.19,1938.79,1938.79,1939.85,1940.19,1938.79,1938.79
23,XAUUSD,M5,2022-03-24 08:35:00,2022-03-24T08:35:00,463,1938.79,1939.1,1938.17,1938.81,1938.79,1939.1,1938.17,1938.81,1938.79,1939.1,1938.17,1938.81
24,XAUUSD,M5,2022-03-24 08:40:00,2022-03-24T08:40:00,339,1938.81,1939.4,1938.79,1939.24,1938.81,1939.4,1938.79,1939.24,1938.81,1939.4,1938.79,1939.24
25,XAUUSD,M5,2022-03-24 08:45:00,2022-03-24T08:45:00,397,1939.25,1940.39,1938.42,1938.46,1939.25,1940.39,1938.42,1938.46,1939.25,1940.39,1938.42,1938.46
26,XAUUSD,M5,2022-03-24 08:50:00,2022-03-24T08:50:00,423,1938.46,1939.12,1938.37,1938.44,1938.46,1939.12,1938.37,1938.44,1938.46,1939.12,1938.37,1938.44
27,XAUUSD,M5,2022-03-24 08:55:00,2022-03-24T08:55:00,329,1938.44,1938.66,1937.76,1938.27,1938.44,1938.66,1937.76,1938.27,1938.44,1938.66,1937.76,1938.27
