,Unnamed: 0,instrument,granularity,time,stringTime,volume,bidOpen,bidHigh,bidLow,bidClose,midOpen,midHigh,midLow,midClose,askOpen,askHigh,askLow,askClose,openCloseDelta,target
0,0,AUDUSD,H1,2021-07-02 03:00:00,2021-07-02T03:00:00,2027,0.74649,0.74686,0.74624,0.74624,0.74649,0.74686,0.74624,0.74624,0.74649,0.74686,0.74624,0.74624,-0.00024999999999997247,0.74625
1,1,AUDUSD,H1,2021-07-02 04:00:00,2021-07-02T04:00:00,3057,0.74624,0.74676,0.74599,0.74616,0.74624,0.74676,0.74599,0.74616,0.74624,0.74676,0.74599,0.74616,-7.999999999996898e-05,0.7463
2,2,AUDUSD,H1,2021-07-02 05:00:00,2021-07-02T05:00:00,1878,0.74616,0.74641,0.74598,0.74625,0.74616,0.74641,0.74598,0.74625,0.74616,0.74641,0.74598,0.74625,8.999999999992347e-05,0.74661
3,3,AUDUSD,H1,2021-07-02 06:00:00,2021-07-02T06:00:00,1043,0.74625,0.74641,0.74616,0.7463,0.74625,0.74641,0.74616,0.7463,0.74625,0.74641,0.74616,0.7463,4.999999999999449e-05,0.74656
4,4,AUDUSD,H1,2021-07-02 07:00:00,2021-07-02T07:00:00,909,0.7463,0.74682,0.74627,0.74661,0.7463,0.74682,0.74627,0.74661,0.7463,0.74682,0.74627,0.74661,0.00031000000000003247,0.74614
5,5,AUDUSD,H1,2021-07-02 08:00:00,2021-07-02T08:00:00,973,0.74661,0.74703,0.74646,0.74656,0.74661,0.74703,0.74646,0.74656,0.74661,0.74703,0.74646,0.74656,-4.999999999999449e-05,0.74522
6,6,AUDUSD,H1,2021-07-02 09:00:00,2021-07-02T09:00:00,2052,0.74656,0.74682,0.74587,0.74614,0.74656,0.74682,0.74587,0.74614,0.74656,0.74682,0.74587,0.74614,-0.00041999999999997595,0.74522
7,7,AUDUSD,H1,2021-07-02 10:00:00,2021-07-02T10:00:00,3286,0.74614,0.74617,0.74498,0.74522,0.74614,0.74617,0.74498,0.74522,0.74614,0.74617,0.74498,0.74522,-0.0009200000000000319,0.74493
8,8,AUDUSD,H1,2021-07-02 11:00:00,2021-07-02T11:00:00,3341,0.74522,0.74634,0.74503,0.74522,0.74522,0.74634,0.74503,0.74522,0.74522,0.74634,0.74503,0.74522,0.0,0.74628
9,9,AUDUSD,H1,2021-07-02 12:00:00,2021-07-02T12:00:00,3393,0.74522,0.74557,0.74486,0.74493,0.74522,0.74557,0.74486,0.74493,0.74522,0.74557,0.74486,0.74493,-0.00029000000000001247,0.74635
10,10,AUDUSD,H1,2021-07-02 13:00:00,2021-07-02T13:00:00,1902,0.74493,0.74656,0.74485,0.74628,0.74493,0.74656,0.74485,0.74628,0.74493,0.74656,0.74485,0.74628,0.0013500000000000734,0.74888
